SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
780.0,FWD,1337935.2438,6070317.8998,1427877.9884,1337935.5599,6070317.2377,1427877.5071,-316.124,+662.075,+481.319,+451.219,+338.597,+672.086,877.466,7,0,0,2.0909,0.1201,2.2110,1877.19,1544.112
810.0,FWD,1337935.2221,6070317.8080,1427878.0011,1337935.5599,6070317.2377,1427877.5071,-337.802,+570.299,+493.969,+452.636,+372.167,+583.069,826.654,7,0,0,2.0909,0.1201,2.2109,1741.28,1374.524
840.0,FWD,1337935.2083,6070317.7820,1427878.0117,1337935.5599,6070317.2377,1427877.5071,-351.648,+544.346,+504.565,+460.571,+388.872,+557.860,821.313,7,0,0,2.0909,0.1201,2.2109,1010.23,1463.933
870.0,FWD,1337935.1703,6070317.7177,1427878.0617,1337935.5599,6070317.2377,1427877.5071,-389.560,+480.038,+554.565,+483.752,+453.575,+499.989,830.503,7,0,0,2.0909,0.1201,2.2109,1539.38,1380.136
900.0,FWD,1337935.1612,6070317.7016,1427878.1002,1337935.5599,6070317.2377,1427877.5071,-398.738,+463.906,+593.063,+489.243,+495.077,+491.389,852.012,7,2,0,2.0909,0.1201,2.2109,949.09,1564.229
930.0,FWD,1337935.2035,6070317.6738,1427878.1327,1337935.5599,6070317.2377,1427877.5071,-356.399,+436.079,+625.558,+441.907,+530.806,+481.114,841.729,7,2,0,2.0909,0.1201,2.2109,1602.07,1437.783
960.0,FWD,1337935.2327,6070317.7165,1427878.1040,1337935.5599,6070317.2377,1427877.5071,-327.230,+478.764,+596.873,+422.609,+492.053,+521.381,832.198,7,2,0,2.0909,0.1201,2.2109,1440.14,1433.202
990.0,FWD,1337935.2670,6070317.6990,1427878.1542,1337935.5599,6070317.2377,1427877.5071,-292.876,+461.339,+647.112,+385.310,+543.168,+523.325,846.974,8,2,0,2.0909,0.1201,2.2109,2328.77,1858.107
1020.0,FWD,1337935.2788,6070317.8326,1427878.2137,1337935.5599,6070317.2377,1427877.5071,-281.050,+594.948,+706.565,+402.519,+571.120,+666.322,965.498,8,2,0,2.0909,0.1201,2.2109,2551.13,1538.432
1050.0,FWD,1337935.3146,6070317.9112,1427878.1733,1337935.5599,6070317.2377,1427877.5071,-245.277,+673.497,+666.232,+384.492,+512.806,+739.473,978.583,8,2,0,2.0909,0.1201,2.2109,2394.38,1541.891
1080.0,FWD,1337935.3271,6070317.9438,1427878.1635,1337935.5599,6070317.2377,1427877.5071,-232.772,+706.144,+656.415,+379.306,+495.452,+770.945,991.818,10,2,0,2.0909,0.1201,2.2109,1829.98,3375.073
1110.0,FWD,1337935.3352,6070317.9667,1427878.1692,1337935.5599,6070317.2377,1427877.5071,-224.682,+729.019,+662.054,+376.330,+495.521,+795.676,1010.082,10,2,0,2.0909,0.1201,2.2109,907.70,3395.443
1140.0,FWD,1337935.3422,6070317.8842,1427878.1679,1337935.5599,6070317.2377,1427877.5071,-217.687,+646.546,+660.800,+351.748,+512.106,+718.392,949.772,10,2,0,2.0909,0.1201,2.2109,1689.87,3392.055
1170.0,FWD,1337935.3124,6070317.7810,1427878.1410,1337935.5599,6070317.2377,1427877.5071,-247.470,+543.265,+633.900,+358.602,+510.067,+607.819,870.751,10,2,0,2.0909,0.1200,2.2109,1869.68,3431.339
1200.0,FWD,1337935.3016,6070317.7237,1427878.1442,1337935.5599,6070317.2377,1427877.5071,-258.271,+485.953,+637.100,+356.814,+526.319,+551.745,841.873,10,2,0,2.0909,0.1200,2.2109,3648.91,3251.275
1230.0,FWD,1337935.2721,6070317.6779,1427878.1538,1337935.5599,6070317.2377,1427877.5071,-287.780,+440.203,+646.674,+375.784,+547.144,+504.186,833.537,10,2,0,2.0909,0.1200,2.2109,1539.52,3412.242
1260.0,FWD,1337935.2851,6070317.6781,1427878.1752,1337935.5599,6070317.2377,1427877.5071,-274.784,+440.363,+668.082,+363.127,+567.337,+511.886,846.026,10,2,0,2.0909,0.1200,2.2109,1824.01,3402.411
1290.0,FWD,1337935.3163,6070317.6832,1427878.1906,1337935.5599,6070317.2377,1427877.5071,-243.569,+445.545,+683.519,+333.760,+579.722,+526.841,851.490,10,2,0,2.0909,0.1200,2.2109,1400.71,3263.039
1320.0,FWD,1337935.2806,6070317.6432,1427878.1921,1337935.5599,6070317.2377,1427877.5071,-279.328,+405.517,+685.034,+360.064,+591.740,+481.599,843.647,10,2,0,2.0909,0.1200,2.2109,1658.58,3444.829
1350.0,FWD,1337935.2804,6070317.6150,1427878.1786,1337935.5599,6070317.2377,1427877.5071,-279.471,+377.276,+671.533,+354.126,+584.807,+451.657,819.389,10,2,0,2.0909,0.1200,2.2109,1308.45,3252.095
1380.0,FWD,1337935.3025,6070317.6043,1427878.1770,1337935.5599,6070317.2377,1427877.5071,-257.359,+366.563,+669.927,+330.226,+584.527,+445.739,805.856,10,2,0,2.0909,0.1200,2.2109,1454.40,3278.156
1410.0,FWD,1337935.3381,6070317.5992,1427878.1811,1337935.5599,6070317.2377,1427877.5071,-221.761,+361.471,+673.966,+294.366,+587.857,+449.270,796.285,10,2,0,2.0909,0.1200,2.2109,1704.51,3225.565
1440.0,FWD,1337935.3716,6070317.5722,1427878.2141,1337935.5599,6070317.2377,1427877.5071,-188.310,+334.514,+707.037,+255.897,+624.387,+438.087,804.526,10,2,0,2.0909,0.1200,2.2109,1973.42,3223.252
1470.0,FWD,1337935.3843,6070317.6237,1427878.2145,1337935.5599,6070317.2377,1427877.5071,-175.586,+385.952,+707.407,+254.543,+612.812,+489.779,824.751,9,2,0,2.0909,0.1200,2.2108,1768.04,3470.999
1500.0,FWD,1337935.4171,6070317.6481,1427878.1925,1337935.5599,6070317.2377,1427877.5071,-142.830,+410.397,+685.439,+227.816,+584.441,+514.957,811.574,9,2,0,2.0909,0.1200,2.2108,2427.90,3388.798
1530.0,FWD,1337935.4383,6070317.5974,1427878.1580,1337935.5599,6070317.2377,1427877.5071,-121.563,+359.743,+650.935,+196.145,+560.939,+463.448,753.598,9,2,0,2.0909,0.1200,2.2108,1892.23,3381.822
1560.0,FWD,1337935.4387,6070317.6121,1427878.1578,1337935.5599,6070317.2377,1427877.5071,-121.235,+374.421,+650.690,+198.984,+557.454,+477.427,760.452,9,2,0,2.0909,0.1200,2.2108,696.20,3366.679
1590.0,FWD,1337935.4419,6070317.6235,1427878.1492,1337935.5599,6070317.2377,1427877.5071,-117.979,+385.773,+642.106,+198.248,+546.436,+486.977,758.314,9,2,0,2.0909,0.1200,2.2108,1417.58,3391.172
1620.0,FWD,1337935.4163,6070317.5985,1427878.1300,1337935.5599,6070317.2377,1427877.5071,-143.575,+360.774,+622.907,+217.862,+534.471,+453.498,734.019,9,2,0,2.0909,0.1200,2.2109,1727.58,3362.975
1650.0,FWD,1337935.4074,6070317.5817,1427878.1221,1337935.5599,6070317.2377,1427877.5071,-152.470,+344.023,+615.034,+222.944,+530.919,+433.922,721.018,9,2,0,2.0909,0.1200,2.2109,1834.76,3380.675
1680.0,FWD,1337935.4082,6070317.5418,1427878.1153,1337935.5599,6070317.2377,1427877.5071,-151.654,+304.087,+608.166,+213.551,+532.975,+394.547,696.659,9,2,0,2.0909,0.1200,2.2109,1547.31,3362.321
1710.0,FWD,1337935.3853,6070317.5477,1427878.1078,1337935.5599,6070317.2377,1427877.5071,-174.598,+309.999,+600.726,+237.230,+525.538,+393.685,698.181,9,2,0,2.0909,0.1200,2.2109,3023.83,3338.556
1740.0,FWD,1337935.3750,6070317.5863,1427878.1145,1337935.5599,6070317.2377,1427877.5071,-184.887,+348.624,+607.401,+255.591,+524.042,+429.781,724.333,9,2,0,2.0909,0.1200,2.2109,1496.38,3654.981
1770.0,FWD,1337935.3842,6070317.6244,1427878.1171,1337935.5599,6070317.2377,1427877.5071,-175.731,+386.678,+610.033,+254.840,+517.788,+468.500,743.331,9,2,0,2.0909,0.1200,2.2109,2749.86,3567.875
1800.0,FWD,1337935.4215,6070317.6480,1427878.1225,1337935.5599,6070317.2377,1427877.5071,-138.444,+410.275,+615.374,+223.507,+515.992,+499.975,752.448,10,2,0,2.0909,0.1200,2.2109,2592.04,3397.218
1830.0,FWD,1337935.4334,6070317.6333,1427878.1463,1337935.5599,6070317.2377,1427877.5071,-126.486,+395.640,+639.211,+208.679,+541.856,+493.929,762.312,10,2,0,2.0909,0.1200,2.2109,1934.40,3279.050
1860.0,FWD,1337935.4253,6070317.5995,1427878.1271,1337935.5599,6070317.2377,1427877.5071,-134.587,+361.759,+619.994,+209.298,+530.981,+455.663,730.326,10,2,0,2.0909,0.1200,2.2109,2521.08,2023.780
1890.0,FWD,1337935.4221,6070317.5594,1427878.1142,1337935.5599,6070317.2377,1427877.5071,-137.803,+321.723,+607.100,+203.821,+527.384,+413.992,700.761,10,2,0,2.0909,0.1200,2.2108,1845.69,1905.929
1920.0,FWD,1337935.4022,6070317.5392,1427878.1169,1337935.5599,6070317.2377,1427877.5071,-157.692,+301.526,+609.770,+218.896,+535.394,+391.206,698.286,9,2,0,2.0909,0.1200,2.2108,1133.06,2013.016
1950.0,FWD,1337935.4038,6070317.5257,1427878.1168,1337935.5599,6070317.2377,1427877.5071,-156.081,+287.989,+609.740,+214.410,+538.265,+378.657,692.158,8,2,0,2.0909,0.1200,2.2108,816.61,1759.116
1980.0,FWD,1337935.4046,6070317.5296,1427878.1057,1337935.5599,6070317.2377,1427877.5071,-155.262,+291.929,+598.561,+214.457,+526.466,+380.059,683.815,8,2,0,2.0909,0.1200,2.2108,1451.06,1635.572
2010.0,FWD,1337935.4075,6070317.5235,1427878.1014,1337935.5599,6070317.2377,1427877.5071,-152.437,+285.819,+594.322,+210.384,+523.544,+373.883,676.867,8,2,0,2.0909,0.1200,2.2108,1338.52,1723.867
2040.0,FWD,1337935.3933,6070317.4938,1427878.0973,1337935.5599,6070317.2377,1427877.5071,-166.560,+256.082,+590.212,+217.775,+526.767,+341.702,664.583,8,2,0,2.0909,0.1200,2.2108,1838.65,1723.953
2070.0,FWD,1337935.3867,6070317.5173,1427878.1057,1337935.5599,6070317.2377,1427877.5071,-173.177,+279.594,+598.603,+229.298,+530.090,+364.576,683.000,8,2,0,2.0909,0.1200,2.2108,1625.92,1627.873
2100.0,FWD,1337935.4038,6070317.5428,1427878.1084,1337935.5599,6070317.2377,1427877.5071,-156.135,+305.107,+601.331,+218.146,+526.308,+393.038,692.147,8,2,0,2.0909,0.1200,2.2108,1385.62,1634.746
2130.0,FWD,1337935.4039,6070317.5623,1427878.0920,1337935.5599,6070317.2377,1427877.5071,-156.035,+324.595,+584.903,+222.244,+506.010,+407.900,686.892,8,2,0,2.0909,0.1200,2.2108,1461.40,1599.992
2160.0,FWD,1337935.3936,6070317.5651,1427878.0812,1337935.5599,6070317.2377,1427877.5071,-166.274,+327.419,+574.134,+232.851,+495.393,+406.013,681.528,9,2,0,2.0909,0.1200,2.2108,1254.20,3730.232
2190.0,FWD,1337935.3814,6070317.5712,1427878.0847,1337935.5599,6070317.2377,1427877.5071,-178.485,+333.464,+577.601,+246.077,+498.033,+409.985,690.419,9,2,0,2.0909,0.1200,2.2108,1658.42,3777.644
2220.0,FWD,1337935.3917,6070317.6013,1427878.0911,1337935.5599,6070317.2377,1427877.5071,-168.199,+363.568,+584.046,+242.511,+497.190,+442.237,708.225,9,2,0,2.0909,0.1200,2.2108,1894.25,3698.706
2250.0,FWD,1337935.3948,6070317.5936,1427878.0829,1337935.5599,6070317.2377,1427877.5071,-165.135,+355.911,+575.792,+237.871,+490.684,+433.734,696.763,10,2,0,2.0909,0.1200,2.2108,1315.12,3660.594
2280.0,FWD,1337935.3683,6070317.5754,1427878.0634,1337935.5599,6070317.2377,1427877.5071,-191.593,+337.696,+556.252,+259.788,+476.938,+406.453,678.353,10,2,0,2.0909,0.1200,2.2108,2531.86,3468.678
2310.0,FWD,1337935.3541,6070317.5614,1427878.0562,1337935.5599,6070317.2377,1427877.5071,-205.760,+323.678,+549.094,+270.606,+473.735,+388.532,669.783,10,2,0,2.0909,0.1200,2.2108,2022.48,3436.408
2340.0,FWD,1337935.3440,6070317.5510,1427878.0566,1337935.5599,6070317.2377,1427877.5071,-215.913,+313.319,+549.522,+278.291,+476.923,+376.642,668.402,9,2,0,2.0909,0.1200,2.2108,1471.35,1593.130
2370.0,FWD,1337935.3483,6070317.5247,1427878.0595,1337935.5599,6070317.2377,1427877.5071,-211.623,+287.036,+552.386,+268.445,+485.288,+353.181,657.498,10,2,0,2.0909,0.1200,2.2108,1867.91,4328.695
2400.0,FWD,1337935.3376,6070317.5249,1427878.0529,1337935.5599,6070317.2377,1427877.5071,-222.346,+287.155,+545.773,+278.942,+479.339,+349.555,655.564,10,2,0,2.0909,0.1200,2.2108,1560.49,4244.896
2430.0,FWD,1337935.3394,6070317.5072,1427878.0526,1337935.5599,6070317.2377,1427877.5071,-220.501,+269.494,+545.531,+273.338,+482.900,+333.084,647.187,10,2,0,2.0909,0.1200,2.2108,1062.28,4283.518
2460.0,FWD,1337935.3244,6070317.4956,1427878.0498,1337935.5599,6070317.2377,1427877.5071,-235.523,+257.893,+542.699,+285.512,+483.422,+318.258,645.370,10,2,0,2.0909,0.1200,2.2108,1496.28,4297.970
2490.0,FWD,1337935.3156,6070317.4665,1427878.0524,1337935.5599,6070317.2377,1427877.5071,-244.262,+228.812,+545.347,+287.787,+492.825,+289.353,639.861,9,2,0,2.0909,0.1199,2.2108,1234.18,1580.697
2520.0,FWD,1337935.3138,6070317.4411,1427878.0556,1337935.5599,6070317.2377,1427877.5071,-246.120,+203.408,+548.519,+284.132,+501.595,+265.507,634.683,9,2,0,2.0909,0.1199,2.2108,1287.53,1632.635
2550.0,FWD,1337935.3036,6070317.4324,1427878.0544,1337935.5599,6070317.2377,1427877.5071,-256.265,+194.653,+547.281,+292.155,+502.807,+254.771,634.884,9,2,0,2.0909,0.1199,2.2108,1455.76,1623.071
2580.0,FWD,1337935.2911,6070317.3915,1427878.0598,1337935.5599,6070317.2377,1427877.5071,-268.838,+153.834,+552.739,+295.648,+517.716,+214.527,633.608,9,2,0,2.0909,0.1199,2.2108,2267.72,1730.830
2610.0,FWD,1337935.2760,6070317.3524,1427878.0647,1337935.5599,6070317.2377,1427877.5071,-283.857,+114.730,+557.612,+301.898,+531.796,+175.270,636.136,9,2,0,2.0909,0.1199,2.2108,1408.89,1567.171
2640.0,FWD,1337935.2725,6070317.3310,1427878.0775,1337935.5599,6070317.2377,1427877.5071,-287.406,+93.255,+570.395,+300.742,+549.148,+156.973,645.484,9,2,0,2.0909,0.1199,2.2108,1974.29,1563.702
2670.0,FWD,1337935.2864,6070317.3410,1427878.0729,1337935.5599,6070317.2377,1427877.5071,-273.493,+103.317,+565.768,+289.321,+541.751,+168.422,636.841,9,2,0,2.0909,0.1199,2.2108,1327.83,1614.432
2700.0,FWD,1337935.3018,6070317.3371,1427878.0539,1337935.5599,6070317.2377,1427877.5071,-258.086,+99.408,+546.764,+273.434,+523.349,+163.651,612.733,9,2,0,2.0909,0.1199,2.2108,1751.05,1670.597
2730.0,FWD,1337935.3048,6070317.3101,1427878.0484,1337935.5599,6070317.2377,1427877.5071,-255.147,+72.446,+541.270,+264.760,+523.785,+137.377,602.761,9,2,0,2.0909,0.1199,2.2108,1972.10,1493.758
2760.0,FWD,1337935.3090,6070317.3109,1427878.0457,1337935.5599,6070317.2377,1427877.5071,-250.942,+73.161,+538.648,+260.807,+520.870,+138.348,598.720,9,2,0,2.0909,0.1199,2.2108,1532.60,1533.004
2790.0,FWD,1337935.2986,6070317.3266,1427878.0219,1337935.5599,6070317.2377,1427877.5071,-261.347,+88.926,+514.840,+274.362,+494.710,+145.802,584.184,9,2,0,2.0909,0.1199,2.2108,1774.40,1620.230
2820.0,FWD,1337935.2796,6070317.3076,1427878.0131,1337935.5599,6070317.2377,1427877.5071,-280.302,+69.863,+505.996,+288.769,+491.207,+121.696,582.651,9,2,0,2.0909,0.1199,2.2108,1731.18,1732.346
2850.0,FWD,1337935.2705,6070317.2984,1427878.0036,1337935.5599,6070317.2377,1427877.5071,-289.445,+60.748,+496.513,+295.736,+484.417,+108.971,577.922,9,2,0,2.0909,0.1199,2.2108,1764.48,1552.413
2880.0,FWD,1337935.2819,6070317.2962,1427878.0078,1337935.5599,6070317.2377,1427877.5071,-278.011,+58.494,+500.651,+284.085,+488.390,+110.156,575.642,9,2,0,2.0909,0.1199,2.2107,2410.98,1615.791
2910.0,FWD,1337935.2876,6070317.3011,1427878.0123,1337935.5599,6070317.2377,1427877.5071,-272.310,+63.446,+505.172,+279.583,+491.428,+117.082,577.388,9,2,0,2.0909,0.1199,2.2107,1315.70,1400.657
2940.0,FWD,1337935.2833,6070317.3038,1427878.0012,1337935.5599,6070317.2377,1427877.5071,-276.576,+66.071,+494.066,+284.314,+480.237,+116.183,570.053,9,2,0,2.0909,0.1199,2.2108,1796.52,1392.299
2970.0,FWD,1337935.2926,6070317.3046,1427877.9916,1337935.5599,6070317.2377,1427877.5071,-267.343,+66.866,+484.542,+275.469,+470.335,+116.729,557.426,9,2,0,2.0909,0.1199,2.2108,1364.48,1411.835
3000.0,FWD,1337935.2982,6070317.3082,1427877.9793,1337935.5599,6070317.2377,1427877.5071,-261.703,+70.536,+472.156,+270.751,+457.187,+118.612,544.422,9,2,0,2.0909,0.1199,2.2108,2381.38,1361.329
3030.0,FWD,1337935.3038,6070317.3254,1427877.9683,1337935.5599,6070317.2377,1427877.5071,-256.146,+87.720,+461.211,+269.023,+442.473,+133.662,534.810,9,2,0,2.0909,0.1199,2.2108,1115.73,1325.097
3060.0,FWD,1337935.2982,6070317.3434,1427877.9637,1337935.5599,6070317.2377,1427877.5071,-261.710,+105.671,+456.600,+278.320,+434.300,+148.536,536.789,9,2,0,2.0909,0.1199,2.2108,2845.22,959.986
3090.0,FWD,1337935.2962,6070317.3467,1427877.9498,1337935.5599,6070317.2377,1427877.5071,-263.691,+108.987,+442.682,+280.969,+420.107,+148.140,526.667,9,2,0,2.0909,0.1199,2.2108,2827.26,900.301
3120.0,FWD,1337935.3007,6070317.3757,1427877.9292,1337935.5599,6070317.2377,1427877.5071,-259.196,+138.047,+422.058,+282.834,+393.401,+172.084,514.171,9,2,0,2.0909,0.1199,2.2108,3453.56,881.003
3150.0,FWD,1337935.3094,6070317.3902,1427877.9199,1337935.5599,6070317.2377,1427877.5071,-250.501,+152.518,+412.781,+277.458,+380.757,+185.586,506.361,9,2,0,2.0909,0.1199,2.2108,2586.88,890.921
