sat,sod,epoch,generation,slip_reason,rec_clk_pre_mm,rec_clk_post_mm,dclk_epoch_mm,N_postfit_mm,N_prefit_mm,birth_sigma_mm,old_N_mm,old_sigma_mm,PIF_mm,LIFc_mm,rp_prefit_mm,rp_postfit_mm,code_res_mm,phase_res_mm,elevation_deg,code_rms_mm,phase_rms_mm,cm_ratio,mean_ph_innov_mm,n_accepted_phase,ph_innov_sign_majority,slip_detected_this_epoch,n_sats,classification
G09,2670.0,89,3,rebirth,-1352.9796,-1495.7230,-142.7433,-1480.0095,-1623.9990,20000.0000,nan,nan,23778796270.6437,23778796625.7083,23778798249.7072,23778798105.7178,-1835.0741,0.0000,16.093,nan,nan,nan,-199.5121,8,-1,1,9,GEOMETRY_DRIVEN
G04,2730.0,91,2,rebirth,-1180.3469,-1493.9794,-313.6325,4916.7508,4596.8466,20000.0000,nan,nan,22069627026.1590,22069631967.9413,22069627371.0947,22069627051.1905,-25.0314,0.0000,38.992,nan,nan,nan,-485.8737,8,-1,0,9,GEOMETRY_DRIVEN
G26,2910.0,97,2,rebirth,-1132.2685,-1365.8576,-233.5891,4491.6274,4260.1285,20000.0000,nan,nan,23519419589.0157,23519422957.4983,23519418697.3697,23519418465.8709,1123.1448,0.0000,20.382,nan,nan,nan,-359.6407,8,-1,1,9,GEOMETRY_DRIVEN
G07,3060.0,102,2,rebirth,-1113.9734,-1097.5290,16.4444,-984.8442,-964.5581,20000.0000,nan,nan,24482238689.4820,24482236351.1694,24482237315.7274,24482237336.0136,1353.4684,0.0000,16.039,nan,nan,nan,5.2242,8,1,1,9,GEOMETRY_DRIVEN
G01,3330.0,111,2,rebirth,-1206.3540,-1130.6408,75.7131,3375.2019,3452.4227,20000.0000,nan,nan,24062765784.6578,24062770191.7721,24062766739.3493,24062766816.5701,-1031.9124,0.0000,15.398,nan,nan,nan,111.9919,8,1,1,9,GEOMETRY_DRIVEN
G03,3660.0,122,3,rebirth,-1322.4871,-1057.5318,264.9553,3706.1178,3972.3007,20000.0000,nan,nan,20496960051.4242,20496963007.1704,20496959034.8697,20496959301.0526,750.3716,0.0000,65.657,nan,nan,nan,548.3644,5,1,0,8,GEOMETRY_DRIVEN
G16,3660.0,122,3,rebirth,-1322.4871,-1057.5318,264.9553,4110.8591,4377.2903,20000.0000,nan,nan,20939769813.1816,20939773343.3042,20939768966.0138,20939769232.4451,580.7365,0.0000,49.250,nan,nan,nan,548.3644,5,1,0,8,GEOMETRY_DRIVEN
G27,3660.0,122,2,rebirth,-1322.4871,-1057.5318,264.9553,11864.2347,12131.1552,20000.0000,nan,nan,22215573182.0600,22215584705.1576,22215572574.0024,22215572840.9229,341.1371,0.0000,34.647,nan,nan,nan,548.3644,5,1,0,8,GEOMETRY_DRIVEN
G04,5760.0,192,3,rebirth,-1060.9246,-1359.6674,-298.7427,4686.2150,4384.3847,20000.0000,nan,nan,20932342838.0564,20932348109.0391,20932343724.6544,20932343422.8240,-584.7676,0.0000,56.914,nan,nan,nan,-536.8873,1,-1,0,7,GEOMETRY_DRIVEN
G08,5760.0,192,8,rebirth,-1060.9246,-1359.6674,-298.7427,2682.5019,2380.0725,20000.0000,nan,nan,21326622808.9621,21326625782.2428,21326623402.1703,21326623099.7410,-290.7789,0.0000,44.545,nan,nan,nan,-536.8873,1,-1,0,7,GEOMETRY_DRIVEN
G09,5760.0,192,4,rebirth,-1060.9246,-1359.6674,-298.7427,-1684.0112,-1987.3219,20000.0000,nan,nan,22111788582.3491,22111789283.5744,22111791270.8963,22111790967.5856,-2385.2364,0.0000,34.456,nan,nan,nan,-536.8873,1,-1,0,7,GEOMETRY_DRIVEN
