SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+529.129,+332.052,+1429.290,1559.841,10,0,0,0.1206,2608.48,nan
60.0,FWD,+223.556,+530.708,+1150.683,1286.740,10,0,0,0.1205,2498.32,nan
90.0,FWD,+149.475,+479.657,+763.935,914.336,10,0,0,0.1204,2181.76,214.728
120.0,FWD,+373.956,+131.467,+213.909,450.426,10,0,0,0.1204,2666.66,585.849
150.0,FWD,+505.965,+37.531,+164.465,533.346,10,0,0,0.1203,2133.42,272.165
180.0,FWD,+395.438,+121.051,+51.534,416.749,10,0,0,0.1203,2453.47,282.893
210.0,FWD,+375.793,+81.546,+19.788,385.048,10,0,0,0.1203,2223.71,275.607
240.0,FWD,+288.839,-81.229,+1561.656,1590.219,10,0,0,0.1210,2287.41,936.922
270.0,FWD,+345.157,-80.709,+1395.563,1439.876,11,0,0,0.1210,2558.82,311.688
300.0,FWD,+427.059,+25.323,+1391.446,1455.728,11,0,0,0.1209,2176.79,95.048
330.0,FWD,+22.850,+40.945,+4133.949,4134.215,11,0,0,0.1219,2010.03,1709.866
360.0,FWD,+59.176,+48.663,+4008.055,4008.787,11,0,0,0.1218,2340.73,376.522
390.0,FWD,+231.516,-280.967,+3738.287,3755.973,11,0,0,0.1217,2476.40,540.931
420.0,FWD,+246.329,-269.280,+3671.163,3689.258,11,0,0,0.1217,2206.23,319.185
450.0,FWD,+558.065,-323.693,+3152.432,3217.770,11,0,0,0.1192,2412.08,547.283
480.0,FWD,+567.821,-310.197,+2921.189,2991.987,11,0,0,0.1186,2712.28,420.184
510.0,FWD,+561.468,-301.778,+2891.648,2961.071,11,0,0,0.1188,2483.26,365.548
540.0,FWD,+573.162,-275.894,+2500.013,2579.670,11,0,0,0.1201,2521.33,500.775
570.0,FWD,+459.132,-107.808,+603.467,765.896,11,0,0,0.1220,3436.27,1394.077
600.0,FWD,+409.865,-72.771,+6.810,416.331,12,0,0,0.1209,2618.61,880.427
630.0,FWD,+410.471,-72.215,+9.999,416.895,12,0,0,0.1209,2584.82,801.611
660.0,FWD,+322.088,-27.979,-389.419,506.133,11,0,0,0.1209,2740.40,892.777
690.0,FWD,+329.088,-24.367,-582.449,669.432,11,0,0,0.1203,2459.09,906.581
720.0,FWD,+326.650,-24.091,-583.283,668.954,11,0,0,0.1203,2593.36,864.881
750.0,FWD,+263.263,-12.000,-674.930,724.557,11,0,0,0.1229,2474.24,908.732
780.0,FWD,+161.319,-1.448,-732.435,749.991,11,0,0,0.1230,2835.71,932.496
810.0,FWD,+161.438,-0.972,-732.829,750.401,11,0,0,0.1229,2610.36,935.005
840.0,FWD,+162.304,-0.678,-732.218,749.991,11,0,0,0.1228,2368.78,923.780
870.0,FWD,+164.838,+0.041,-732.460,750.779,11,2,0,0.1227,2548.85,921.627
900.0,FWD,+193.378,+3.995,-722.799,748.231,11,2,0,0.1228,2268.36,945.140
930.0,FWD,+191.413,+4.564,-722.411,747.354,11,2,0,0.1227,2676.77,1123.926
960.0,FWD,+191.784,+4.289,-721.350,746.421,11,2,0,0.1226,2646.64,981.526
990.0,FWD,+190.210,+4.807,-721.543,746.209,12,2,0,0.1225,3262.33,1044.027
1020.0,FWD,+191.817,+5.414,-718.161,743.356,12,2,0,0.1224,3147.33,941.175
1050.0,FWD,+83.365,+22.784,-638.554,644.376,12,2,0,0.1225,2842.15,929.570
1080.0,FWD,+83.948,+22.879,-637.113,643.027,14,2,0,0.1224,2524.65,912.823
1110.0,FWD,+84.509,+23.088,-635.659,641.667,14,2,0,0.1223,2356.19,924.164
1140.0,FWD,+46.528,-5.823,-378.600,381.493,14,2,0,0.1197,2406.94,882.319
1170.0,FWD,+46.862,-5.750,-379.281,382.208,14,2,0,0.1197,2725.29,952.864
1200.0,FWD,+12.164,-16.812,-334.170,334.814,14,2,0,0.1178,3948.16,876.948
1230.0,FWD,+13.566,-16.630,-334.828,335.515,14,2,0,0.1178,2600.41,843.976
1260.0,FWD,+13.670,-16.480,-334.642,335.326,14,2,0,0.1179,2981.41,854.206
1290.0,FWD,+13.145,-16.238,-334.538,335.189,14,2,0,0.1179,2446.60,910.275
1320.0,FWD,+14.142,-16.009,-335.098,335.778,14,2,0,0.1180,2579.25,892.198
1350.0,FWD,+14.128,-15.943,-335.269,335.945,14,2,0,0.1180,2385.58,859.922
1380.0,FWD,+13.346,-15.818,-335.122,335.760,14,2,0,0.1181,2461.09,861.240
1410.0,FWD,+12.237,-15.630,-334.990,335.578,14,2,0,0.1181,2433.24,964.163
1440.0,FWD,+11.209,-15.225,-334.889,335.422,14,2,0,0.1181,2708.61,866.202
1470.0,FWD,+11.244,-15.096,-334.396,334.925,14,2,0,0.1182,2710.25,969.956
1500.0,FWD,+9.922,-15.046,-334.290,334.775,14,2,0,0.1182,2947.48,1023.111
1530.0,FWD,+9.094,-14.958,-334.810,335.267,14,2,0,0.1182,2588.53,921.802
1560.0,FWD,+9.780,-14.800,-334.761,335.231,14,2,0,0.1183,2456.15,840.412
1590.0,FWD,+10.206,-14.604,-334.635,335.109,14,2,0,0.1183,2725.20,859.686
1620.0,FWD,+11.637,-14.584,-335.154,335.673,14,2,0,0.1183,3032.73,850.016
1650.0,FWD,+11.910,-14.470,-335.058,335.582,14,2,0,0.1183,3336.07,805.369
1680.0,FWD,+11.614,-14.384,-335.011,335.520,14,2,0,0.1184,2905.67,824.666
1710.0,FWD,+12.612,-14.350,-335.316,335.860,14,2,0,0.1184,3390.16,881.371
1740.0,FWD,+13.725,-14.158,-335.082,335.662,14,2,0,0.1184,2524.34,830.617
1770.0,FWD,+13.857,-14.071,-334.834,335.416,14,2,0,0.1184,2759.01,842.963
1800.0,FWD,+13.026,-13.921,-334.574,335.117,15,2,0,0.1185,2820.07,835.207
1830.0,FWD,+12.588,-13.603,-334.408,334.921,15,2,0,0.1185,2603.02,835.574
1860.0,FWD,+3.976,+2.013,-338.949,338.979,15,2,0,0.1175,3291.08,896.881
1890.0,FWD,+4.239,+2.080,-339.396,339.429,15,2,0,0.1175,2750.74,854.879
1920.0,FWD,+5.096,+2.199,-339.998,340.043,14,5,0,0.1176,2627.21,864.932
1950.0,FWD,+5.257,+2.294,-340.412,340.461,13,5,0,0.1176,2383.46,879.765
1980.0,FWD,+5.511,+2.324,-340.753,340.805,13,5,0,0.1176,2501.02,947.316
