sod,sat,const,phase_cycles_L1,phase_cycles_L2,lambda1,lambda2,PPP_phase_range_L1,PPP_phase_range_L2,independent_phase_range_L1,independent_phase_range_L2,difference_L1_mm,difference_L2_mm,PASS
90.0,G04,G,121548251.3180,94712923.1180,0.190293673,0.244210213,23129863.1655,23129863.1687,23129863.1655,23129863.1687,0.0000,0.0000,1
90.0,G08,G,125704357.9490,97951457.1220,0.190293673,0.244210213,23920743.9609,23920746.2490,23920743.9609,23920746.2490,0.0000,0.0000,1
90.0,G16,G,105485630.4170,82196601.0350,0.190293673,0.244210213,20073248.0395,20073249.4815,20073248.0395,20073249.4815,0.0000,0.0000,1
90.0,G26,G,114774386.3100,89434607.0070,0.190293673,0.244210213,21840839.5141,21840844.4647,21840839.5141,21840844.4647,0.0000,0.0000,1
90.0,G27,G,123297435.0560,96075912.4440,0.190293673,0.244210213,23462721.7634,23462719.0829,23462721.7634,23462719.0829,0.0000,0.0000,1
90.0,G31,G,121625585.6900,94773182.1610,0.190293673,0.244210213,23144579.4072,23144579.0425,23144579.4072,23144579.0425,0.0000,0.0000,1
120.0,E04,E,138740099.2020,103604641.5520,0.190293673,0.254828049,26401363.0416,26401368.6524,26401363.0416,26401368.6524,0.0000,0.0000,1
120.0,E05,E,141039806.0800,105321916.5040,0.190293673,0.254828049,26838982.7097,26838978.4776,26838982.7097,26838978.4776,0.0000,0.0000,1
120.0,E09,E,131602521.2970,98274647.1950,0.190293673,0.254828049,25043127.1271,25043136.5903,25043127.1271,25043136.5903,0.0000,0.0000,1
120.0,E16,E,124976774.7810,93326799.2970,0.190293673,0.254828049,23782289.4876,23782286.1648,23782289.4876,23782286.1648,0.0000,0.0000,1
120.0,G01,G,121472084.7770,94653561.9360,0.190293673,0.244210213,23115369.1547,23115366.5618,23115369.1547,23115366.5618,0.0000,0.0000,1
120.0,G03,G,108066069.5170,84207328.3330,0.190293673,0.244210213,20564289.2733,20564289.6241,20564289.2733,20564289.6241,0.0000,0.0000,1
120.0,G04,G,121487968.2910,94665949.3470,0.190293673,0.244210213,23118391.6869,23118391.6941,23118391.6869,23118391.6941,0.0000,0.0000,1
120.0,G08,G,125635666.8790,97897931.6890,0.190293673,0.244210213,23907672.4849,23907674.7916,23907672.4849,23907674.7916,0.0000,0.0000,1
120.0,G16,G,105487992.9060,82198441.9420,0.190293673,0.244210213,20073697.6062,20073699.0498,20073697.6062,20073699.0498,0.0000,0.0000,1
120.0,G26,G,114854630.2880,89497134.7830,0.190293673,0.244210213,21856109.4354,21856114.3862,21856109.4354,21856114.3862,0.0000,0.0000,1
120.0,G27,G,123236975.3580,96028801.0490,0.190293673,0.244210213,23451216.6654,23451213.9991,23451216.6654,23451213.9991,0.0000,0.0000,1
120.0,G31,G,121696474.2830,94828420.0200,0.190293673,0.244210213,23158069.0579,23158068.6918,23158069.0579,23158068.6918,0.0000,0.0000,1
150.0,E04,E,138749075.4150,103611344.5410,0.190293673,0.254828049,26403071.1581,26403076.7620,26403071.1581,26403076.7620,0.0000,0.0000,1
150.0,E05,E,141002367.8160,105293959.3600,0.190293673,0.254828049,26831858.4450,26831854.2132,26831858.4450,26831854.2132,0.0000,0.0000,1
150.0,E09,E,131581244.0990,98258758.3700,0.190293673,0.254828049,25039078.2110,25039087.6720,25039078.2110,25039087.6720,0.0000,0.0000,1
150.0,E16,E,124931722.8600,93293156.6540,0.190293673,0.254828049,23773716.3921,23773713.0757,23773716.3921,23773713.0757,0.0000,0.0000,1
150.0,G01,G,121518381.8720,94689637.6270,0.190293673,0.244210213,23124179.1989,23124176.6140,23124179.1989,23124176.6140,0.0000,0.0000,1
150.0,G03,G,108029095.4840,84178517.3880,0.190293673,0.244210213,20557253.3487,20557253.6971,20557253.3487,20557253.6971,0.0000,0.0000,1
150.0,G04,G,121427575.7430,94618890.2280,0.190293673,0.244210213,23106899.3671,23106899.3766,23106899.3671,23106899.3766,0.0000,0.0000,1
150.0,G08,G,125566783.6240,97844256.4640,0.190293673,0.244210213,23894564.4373,23894566.7534,23894564.4373,23894566.7534,0.0000,0.0000,1
150.0,G16,G,105490992.1670,82200779.0380,0.190293673,0.244210213,20074268.3466,20074269.7925,20074268.3466,20074269.7925,0.0000,0.0000,1
150.0,G26,G,114935250.0670,89559955.3940,0.190293673,0.244210213,21871450.8692,21871455.8211,21871450.8692,21871455.8211,0.0000,0.0000,1
150.0,G27,G,123176490.4130,95981669.9920,0.190293673,0.244210213,23439706.7631,23439704.1136,23439706.7631,23439704.1136,0.0000,0.0000,1
150.0,G31,G,121767276.9890,94883590.9470,0.190293673,0.244210213,23171542.3649,23171541.9957,23171542.3649,23171541.9957,0.0000,0.0000,1
180.0,E04,E,138758125.9860,103618103.0840,0.190293673,0.254828049,26404793.4245,26404799.0283,26404793.4245,26404799.0283,0.0000,0.0000,1
180.0,E05,E,140964786.2970,105265895.2220,0.190293673,0.254828049,26824706.9197,26824702.6836,26824706.9197,26824702.6836,0.0000,0.0000,1
180.0,E09,E,131559915.8900,98242831.4530,0.190293673,0.254828049,25035019.5878,25035029.0469,25035019.5878,25035029.0469,0.0000,0.0000,1
180.0,E16,E,124887001.7600,93259761.0570,0.190293673,0.254828049,23765206.2497,23765202.9409,23765206.2497,23765202.9409,0.0000,0.0000,1
180.0,G01,G,121564775.7390,94725788.7050,0.190293673,0.244210213,23133007.6583,23133005.0765,23133007.6583,23133005.0765,0.0000,0.0000,1
180.0,G03,G,107992676.9350,84150139.2920,0.190293673,0.244210213,20550323.1293,20550323.4762,20550323.1293,20550323.4762,0.0000,0.0000,1
180.0,G04,G,121367080.6650,94571751.2230,0.190293673,0.244210213,23095387.5366,23095387.5501,23095387.5366,23095387.5501,0.0000,0.0000,1
