SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+529.123,+332.031,+1429.189,1559.742,10,0,0,0.1206,2616.00,nan
60.0,FWD,+223.549,+530.686,+1150.579,1286.636,10,0,0,0.1205,2501.70,nan
90.0,FWD,+149.468,+479.634,+763.823,914.230,10,0,0,0.1204,2186.00,214.540
120.0,FWD,+373.950,+131.450,+213.822,450.375,10,0,0,0.1204,2666.44,581.241
150.0,FWD,+505.960,+37.511,+164.325,533.296,10,0,0,0.1203,2134.27,272.469
180.0,FWD,+395.448,+121.020,+51.331,416.725,10,0,0,0.1203,2455.75,283.233
210.0,FWD,+507.882,-186.440,+584.469,796.435,10,0,0,0.1202,2068.37,427.620
240.0,FWD,+453.236,-353.778,+496.091,759.400,10,0,0,0.1201,2448.24,364.315
270.0,FWD,+497.643,-329.880,+417.752,728.688,11,0,0,0.1201,2585.97,499.189
300.0,FWD,+572.273,-201.480,+509.127,792.023,11,0,0,0.1201,2264.95,329.791
330.0,FWD,+196.210,+6.672,+2303.002,2311.355,11,0,0,0.1205,1783.36,1163.594
360.0,FWD,+112.199,+53.590,+2497.795,2500.888,11,0,0,0.1211,2215.92,347.965
390.0,FWD,+104.486,-126.303,+2340.002,2345.736,11,0,0,0.1211,2402.27,402.539
420.0,FWD,+151.585,-123.251,+2261.210,2269.634,11,0,0,0.1208,2227.38,301.831
450.0,FWD,+299.997,-155.120,+3534.447,3550.546,11,0,0,0.1203,2155.47,874.342
480.0,FWD,+290.467,-168.931,+3377.833,3394.506,11,0,0,0.1203,2725.68,240.035
510.0,FWD,+299.223,-168.121,+3342.630,3360.204,11,0,0,0.1203,2501.51,331.710
540.0,FWD,+335.354,-146.066,+2314.125,2342.855,11,0,0,0.1212,2710.87,639.753
570.0,FWD,+405.200,-139.831,+789.634,898.477,11,0,0,0.1179,3241.95,991.666
600.0,FWD,+421.429,-131.954,+281.546,523.720,12,0,0,0.1153,2575.62,404.111
630.0,FWD,+421.809,-131.339,+283.744,525.055,12,0,0,0.1155,2486.02,179.041
660.0,FWD,+426.239,-130.067,+288.898,531.093,11,0,0,0.1157,2528.66,209.172
690.0,FWD,+410.930,-139.316,+3.750,433.920,11,0,0,0.1138,2456.94,327.659
720.0,FWD,+407.897,-139.420,+1.295,431.068,11,0,0,0.1141,2571.31,205.169
750.0,FWD,+387.359,-91.896,-359.735,536.564,11,0,0,0.1170,2541.09,370.662
780.0,FWD,+280.015,-71.385,-464.067,546.683,11,0,0,0.1176,2852.08,278.118
810.0,FWD,+280.108,-71.133,-465.185,547.648,11,0,0,0.1177,2556.16,233.933
840.0,FWD,+208.178,-50.827,-514.022,556.902,11,0,0,0.1201,2446.18,228.303
870.0,FWD,+210.700,-50.291,-514.521,558.262,11,2,0,0.1201,2519.02,203.948
900.0,FWD,+134.298,-44.925,-468.142,489.092,11,2,0,0.1222,2243.05,196.174
930.0,FWD,+133.132,-44.697,-467.814,488.439,11,2,0,0.1222,2637.87,513.650
960.0,FWD,+133.430,-44.761,-467.409,488.138,11,2,0,0.1221,2608.27,261.599
990.0,FWD,+132.544,-44.568,-467.454,487.922,12,2,0,0.1221,3219.54,386.073
1020.0,FWD,+134.232,-43.935,-465.290,486.254,12,2,0,0.1220,3092.59,190.446
1050.0,FWD,+96.557,-53.017,-371.415,387.406,12,2,0,0.1204,2770.63,169.986
1080.0,FWD,+97.139,-52.825,-370.737,386.875,14,2,0,0.1204,2486.44,175.859
