SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
780.0,FWD,1337935.2562,6070317.8050,1427878.0702,1337935.5599,6070317.2377,1427877.5071,-303.725,+567.266,+563.098,+418.705,+438.533,+602.905,855.055,7,0,0,2.0909,0.1196,2.2104,1831.84,1545.614
810.0,FWD,1337935.2341,6070317.7174,1427878.0794,1337935.5599,6070317.2377,1427877.5071,-325.778,+479.720,+572.322,+421.397,+467.852,+517.063,814.749,7,0,0,2.0909,0.1196,2.2104,1696.99,1432.427
840.0,FWD,1337935.2191,6070317.6975,1427878.0888,1337935.5599,6070317.2377,1427877.5071,-340.775,+459.800,+581.675,+431.755,+482.075,+497.072,816.021,7,0,0,2.0909,0.1196,2.2105,1016.44,1538.314
870.0,FWD,1337935.1809,6070317.6373,1427878.1354,1337935.5599,6070317.2377,1427877.5071,-379.030,+399.594,+628.334,+456.155,+542.636,+442.280,835.549,7,0,0,2.0909,0.1196,2.2105,1496.74,1409.403
900.0,FWD,1337935.1721,6070317.6222,1427878.1699,1337935.5599,6070317.2377,1427877.5071,-387.808,+384.518,+662.839,+461.482,+579.997,+433.869,858.839,7,2,0,2.0909,0.1196,2.2105,896.04,1594.436
930.0,FWD,1337935.2140,6070317.5970,1427878.1992,1337935.5599,6070317.2377,1427877.5071,-345.913,+359.348,+692.135,+415.152,+612.046,+425.307,853.134,7,2,0,2.0909,0.1197,2.2105,1478.28,1953.821
960.0,FWD,1337935.2430,6070317.6408,1427878.1692,1337935.5599,6070317.2377,1427877.5071,-316.867,+403.144,+662.083,+396.212,+571.721,+466.298,837.427,7,2,0,2.0909,0.1197,2.2105,1472.08,1755.114
990.0,FWD,1337935.2766,6070317.6256,1427878.2164,1337935.5599,6070317.2377,1427877.5071,-283.306,+387.924,+709.349,+360.162,+619.494,+469.504,856.694,8,2,0,2.0909,0.1197,2.2105,2325.88,1858.723
1020.0,FWD,1337935.2884,6070317.7609,1427878.2724,1337935.5599,6070317.2377,1427877.5071,-271.546,+523.172,+765.318,+377.789,+643.695,+613.262,966.001,8,2,0,2.0909,0.1197,2.2105,2449.81,1433.446
1050.0,FWD,1337935.3224,6070317.8416,1427878.2331,1337935.5599,6070317.2377,1427877.5071,-237.458,+603.927,+726.028,+361.882,+585.993,+688.392,973.771,8,2,0,2.0909,0.1197,2.2105,2384.53,1451.719
1080.0,FWD,1337935.3345,6070317.8712,1427878.2189,1337935.5599,6070317.2377,1427877.5071,-225.405,+633.513,+711.777,+356.479,+565.014,+715.859,979.170,10,2,0,2.0909,0.1197,2.2106,1819.63,3367.695
1110.0,FWD,1337935.3424,6070317.8963,1427878.2232,1337935.5599,6070317.2377,1427877.5071,-217.456,+658.553,+716.114,+354.106,+563.344,+742.327,996.894,10,2,0,2.0909,0.1197,2.2106,902.53,3197.315
1140.0,FWD,1337935.3493,6070317.8187,1427878.2217,1337935.5599,6070317.2377,1427877.5071,-210.557,+581.018,+714.615,+330.680,+578.609,+669.665,944.770,10,2,0,2.0909,0.1197,2.2106,1519.64,3202.342
