epoch,sat,constellation,residual_mm,S_phase_mm2,NIS,gate_mode,accepted,K_amb,clk_sigma_mm,amb_sigma_mm
87,E25,E,-3.3846,300000131056.1414,3.81855748e-11,absolute,1,0.000000,547722.5945,369.7071
89,E25,E,0.1367,300000541694.2374,6.22755111e-14,absolute,1,0.000000,547722.9957,335.2433
95,E05,E,47.5836,300000459954.9514,7.54732387e-09,absolute,1,0.000000,547722.9910,243.4981
96,E25,E,-22.9000,300000090152.0735,1.74803284e-09,absolute,1,0.000000,547722.6021,308.4854
96,G09,G,46.4402,300400061493.4132,7.17938579e-09,absolute,1,0.001332,547722.6021,20000.0000
97,G27,G,-18.6506,300000079055.7845,1.15948202e-09,absolute,1,0.000000,547722.6450,184.8218
99,E04,E,20.8450,300400475710.4778,1.44644863e-09,absolute,1,0.001332,547722.9879,20000.0001
99,G01,G,-23.0167,300000457503.0046,1.76589260e-09,absolute,1,0.000000,547722.9879,183.7798
102,E04,E,-8.0034,300400472926.8122,2.13229203e-10,absolute,1,0.001332,547722.9857,20000.0000
102,E25,E,25.2092,300000506822.3792,2.11833911e-09,absolute,1,0.000000,547722.9857,287.6876
102,G09,G,40.5254,300000507017.7819,5.47435671e-09,absolute,1,0.000000,547722.9857,320.1771
105,G08,G,-3.2074,300000475134.2966,3.42920546e-11,absolute,1,0.000000,547723.0046,148.7434
108,G08,G,-29.1366,300000462811.2680,2.82980013e-09,absolute,1,0.000000,547722.9924,147.1596
109,G08,G,-31.5979,300000000068.7570,3.32808412e-09,absolute,1,0.000000,547722.5925,146.1138
111,G08,G,-28.7860,300000456409.9534,2.76211057e-09,absolute,1,0.000000,547722.9864,144.8669
112,G01,G,-5.0627,300400032160.1728,8.53211352e-11,absolute,1,0.001332,547722.5918,20000.0000
112,G08,G,-0.2838,300000000066.9186,2.68566559e-13,absolute,1,0.000000,547722.5918,143.8721
113,G08,G,38.2630,300000000066.3226,4.88019735e-09,absolute,1,0.000000,547722.5915,142.9092
114,E25,E,39.0259,300000068604.5100,5.07673191e-09,absolute,1,0.000000,547722.5912,269.3633
114,G09,G,3.4007,300000068446.3637,3.85493233e-11,absolute,1,0.000000,547722.5912,298.9053
115,G08,G,-21.0172,300000062034.5354,1.47241512e-09,absolute,1,0.000000,547722.6293,139.0710
118,G26,G,1.7527,300400478841.1713,1.02266922e-11,absolute,1,0.001332,547722.9902,20000.0002
119,G07,G,-11.2525,300400477740.3162,4.21499021e-10,absolute,1,0.001332,547722.9889,20000.0001
119,G08,G,43.6245,300000459026.0802,6.34365503e-09,absolute,1,0.000000,547722.9889,137.5962
120,G26,G,-2.1580,300000458978.0968,1.55230441e-11,absolute,1,0.000001,547722.5896,690.6798
121,G27,G,-20.5218,300000235095.2648,1.40381532e-09,absolute,1,0.000000,547722.7839,161.3876
123,E05,E,-46.8868,300000456367.3790,7.32790775e-09,absolute,1,0.000000,547722.9864,194.9325
124,G03,G,18.4635,300400019983.7703,1.13481834e-09,absolute,1,0.001332,547722.5955,20000.0009
128,G03,G,34.3604,300000891574.5926,3.93544386e-09,absolute,1,0.000001,547722.9882,673.3482
130,E25,E,33.5714,300000496978.1932,3.75678171e-09,absolute,1,0.000000,547722.9865,252.9926
131,G03,G,7.1345,300000268358.8804,1.69668597e-10,absolute,1,0.000001,547722.6236,481.7399
131,G07,G,45.0086,300000056274.5435,6.75258673e-09,absolute,1,0.000000,547722.6236,208.4645
138,G03,G,-20.8577,300000449787.1224,1.45014788e-09,absolute,1,0.000000,547722.9798,143.5814
138,G07,G,49.8217,300000449813.9182,8.27397778e-09,absolute,1,0.000000,547722.9798,202.8675
141,G08,G,-29.0901,300000447284.5682,2.82076594e-09,absolute,1,0.000000,547722.9774,127.3213
144,G03,G,39.2620,300000441172.1094,5.13833553e-09,absolute,1,0.000000,547722.9715,140.3050
145,E25,E,-18.2697,300000055207.2217,1.11260160e-09,absolute,1,0.000000,547722.5852,238.7577
147,E25,E,-3.6199,300000471092.0301,4.36797049e-11,absolute,1,0.000000,547722.9693,228.9508
147,G08,G,-48.1923,300000438978.9444,7.74163235e-09,absolute,1,0.000000,547722.9693,125.2547
148,E05,E,-2.8601,300000000266.0685,2.72668673e-11,absolute,1,0.000000,547722.5862,171.5069
148,G27,G,22.4521,300000001235.3304,1.68032337e-09,absolute,1,0.000000,547722.5862,147.2148
149,E25,E,-20.6854,300000001329.9048,1.42629064e-09,absolute,1,0.000000,547722.6008,146.4117
