epoch,sod,sat,const,elevation_deg,birth_mm,birth_cycles,birth_sigma_mm,observed_lif_mm,predicted_noamb_mm,rho_geom_mm,sat_clk_mm,rec_clk_mm,isb_mm,tropo_hydro_mm,tropo_wet_mm,relativity_mm,shapiro_mm,solid_earth_mm,apc_sat_mm,apc_rec_mm,pcv_sat_mm,pcv_rec_mm,osb_if_phase_mm,windup_mm,windup_cycles,is_startup,is_first2h,birth_innovation_mm,birth_NIS,birth_predicted_sigma_mm
0,0.0,G31,G,24.586,10113.6543,71.285009,20000.0000,23104019140.5186,23104009026.8643,23053512237.2481,50487372.5333,-877.4603,0.0000,4995.1903,288.9634,-4961.4617,15.5425,-0.0009,-817.7170,-17.0538,40.6000,-7.2138,42.1110,36.2706,0.255650,1,1,0.0000,0.00000000e+00,20074.0605
1,30.0,E05,E,19.482,5253.2414,36.419009,20000.0000,26860192502.0943,26860187248.8529,26863438263.9785,-3260758.8955,-844.3681,3924.9116,6206.8978,358.9647,-102.5353,17.1248,-0.0006,-1083.1127,-18.1619,-15.5265,-6.7688,-13.3290,61.4606,0.426086,1,1,0.0000,0.00000000e+00,20089.7936
2,60.0,G08,G,16.152,1231.6617,8.681236,20000.0000,23933775821.9690,23933774590.3073,24082184051.8116,-148409408.9817,-48.2024,0.0000,7405.7096,429.7361,7880.0169,16.5018,-0.0006,-1352.0426,-13.3135,23.5000,0.2497,-13.0006,-44.6976,-0.315046,1,1,0.0000,0.00000000e+00,20069.0672
3,90.0,G08,G,16.270,721.6682,5.086601,20000.0000,23920740481.6430,23920739759.9748,24069148875.7986,-148409365.8764,309.6258,0.0000,7355.3282,426.9852,7882.0035,16.4879,-0.0006,-1352.0967,-13.3948,23.5000,0.1297,-13.0006,-44.6015,-0.314369,1,1,0.0000,0.00000000e+00,20047.9302
16,480.0,G02,G,15.230,8836.1828,62.280888,20000.0000,24008771842.6146,24008763006.4317,24018663034.1112,-9898417.7922,1191.8497,0.0000,7827.9979,457.5835,11145.6688,16.5570,-0.0005,-663.3211,-13.7141,40.6000,1.1939,-40.9596,-51.3385,-0.361854,1,1,0.0000,0.00000000e+00,20002.9771
33,990.0,G08,G,20.013,-6245.9563,-44.023954,20000.0000,23514503344.0633,23514509590.0196,23662919312.8435,-148408040.5484,-241.2190,0.0000,6052.0475,346.7964,7875.7614,16.0601,-0.0008,-1353.3937,-15.9744,23.5000,-3.6982,-13.0006,-41.6609,-0.293642,0,1,0.0000,0.00000000e+00,20013.6406
36,1080.0,G07,G,11.926,1222.2107,8.614621,20000.0000,24764046607.1344,24764045384.9237,24720391388.5534,43630786.8480,-40.1259,0.0000,9848.3950,569.8780,-12768.4514,17.0838,-0.0003,-735.0866,-12.3834,40.6000,5.2405,3.9986,-67.5669,-0.476238,0,1,0.0000,0.00000000e+00,20015.3186
39,1170.0,G31,G,19.478,12167.7411,85.763020,20000.0000,23618803448.0182,23618791280.2770,23568292424.1909,50486592.4532,-195.9022,0.0000,6208.0959,357.9962,-5839.9179,16.0800,-0.0009,-816.2725,-12.9851,40.6000,-3.1539,42.1110,29.4308,0.207440,0,1,0.0000,0.00000000e+00,20014.0576
41,1230.0,G31,G,19.234,12168.2597,85.766675,20000.0000,23644373878.7755,23644361710.5158,23593862924.4018,50486580.2769,-373.0343,0.0000,6282.1555,362.4615,-5880.4522,16.1071,-0.0008,-816.2114,-12.7872,40.6000,-2.9040,42.1110,29.0988,0.205100,0,1,0.0000,0.00000000e+00,20002.1651
42,1260.0,G31,G,19.112,12135.8036,85.537912,20000.0000,23657125491.6386,23657113355.8350,23606614338.1783,50486558.9220,-180.1485,0.0000,6319.6885,364.7079,-5900.5468,16.1206,-0.0008,-816.1812,-12.6888,40.6000,-2.7797,42.1110,28.9335,0.203935,0,1,0.0000,0.00000000e+00,20013.9442
44,1320.0,G31,G,18.871,11646.8396,82.091502,20000.0000,23682559772.9068,23682548126.0672,23632048877.1826,50486497.8691,-15.4340,0.0000,6395.7807,376.0659,-5940.3886,16.1477,-0.0008,-816.1219,-12.4926,40.6000,-2.5325,42.1110,28.6044,0.201615,0,1,0.0000,0.00000000e+00,20002.0431
49,1470.0,E25,E,27.455,7836.3519,54.326871,20000.0000,26099000299.1008,26098992462.7489,26105559466.1733,-6574781.6640,-717.2985,3878.0592,4513.7462,264.2531,152.3433,16.3105,-0.0010,-1032.2043,-23.0794,-12.6194,-11.8670,8.1588,-52.9678,-0.367208,0,1,0.0000,0.00000000e+00,20012.8139
58,1740.0,G08,G,23.441,-5932.6446,-41.815610,20000.0000,23158846930.8227,23158852863.4673,23307262389.5624,-148406936.0872,-382.1853,0.0000,5220.9168,305.7361,7767.3361,15.6951,-0.0010,-1354.0129,-18.3024,23.5000,-6.3334,-13.0006,-39.1013,-0.275601,0,1,0.0000,0.00000000e+00,20012.2129
59,1770.0,G08,G,23.583,-6124.5213,-43.168032,20000.0000,23144405219.5429,23144411344.0641,23292820061.5240,-148406894.3522,409.6473,0.0000,5191.6247,303.9420,7761.0581,15.6804,-0.0010,-1354.0294,-18.3982,23.5000,-6.4430,-13.0006,-38.9963,-0.274861,0,1,0.0000,0.00000000e+00,20012.6323
60,1800.0,G09,G,11.792,-818.2670,-5.767467,20000.0000,24223371996.8233,24223372815.0903,24454257549.3816,-230893737.5990,69.1909,0.0000,9952.3674,589.1855,1653.3557,17.0140,-0.0004,-1440.7912,-10.4510,23.5000,5.4060,34.1143,57.4867,0.405189,0,1,0.0000,0.00000000e+00,20013.8802
62,1860.0,G08,G,24.013,-6016.8116,-42.408852,20000.0000,23101005920.9014,23101011937.7129,23249421004.7090,-148406760.2977,-1.8172,0.0000,5105.3965,298.6924,7741.3322,15.6365,-0.0010,-1354.0753,-18.6867,23.5000,-6.7734,-13.0006,-38.6800,-0.272632,0,1,0.0000,0.00000000e+00,20012.4806
75,2250.0,G08,G,25.914,-977.5151,-6.889911,20000.0000,22911992311.0396,22911993288.5547,23060402486.2788,-148406190.7614,-433.9564,0.0000,4758.7230,277.8148,7640.4723,15.4468,-0.0011,-1354.2128,-19.9533,23.5000,-8.0175,-13.0006,-37.2840,-0.262792,0,1,0.0000,0.00000000e+00,20000.6950
79,2370.0,G31,G,14.911,-23405.1612,-164.968772,20000.0000,24111919122.7035,24111942527.8647,24061442303.8706,50485837.6105,-686.8510,0.0000,7985.9076,468.9410,-6559.6367,16.6099,-0.0007,-815.2612,-9.2433,40.6000,1.5401,42.1110,23.1658,0.163282,0,1,0.0000,0.00000000e+00,20012.5221
86,2580.0,G09,G,15.631,-33.9031,-0.238963,20000.0000,23825707422.6293,23825707456.5324,24056594607.0138,-230893621.6593,-206.0955,0.0000,7638.4995,447.8757,1449.9333,16.5488,-0.0006,-1450.6772,-13.2450,23.5000,0.7835,34.1143,55.4684,0.390963,0,1,0.0000,0.00000000e+00,20001.5372
89,2670.0,G09,G,16.093,-304.3125,-2.144914,20000.0000,23778798511.2334,23778798815.5460,24009686406.7798,-230893607.2350,-465.8904,0.0000,7431.3516,435.4222,1425.1867,16.4950,-0.0007,-1451.6781,-13.5796,23.5000,0.3102,34.1143,55.2355,0.389322,0,1,0.0000,0.00000000e+00,20002.9907
91,2730.0,E04,E,22.134,15639.4028,108.422878,20000.0000,26624924829.8920,26624909190.4892,26605802930.0564,19097302.2714,-613.3870,3898.4110,5507.2190,321.4211,149.6814,16.8382,-0.0010,-1010.0314,-16.5060,-13.8615,-8.7970,-46.8614,-4.9202,-0.034110,0,1,0.0000,0.00000000e+00,20012.2051
92,2760.0,E04,E,22.094,15873.6803,110.047047,20000.0000,26628648092.3126,26628632218.6323,26609525885.3658,19097395.9881,-644.7979,3899.5873,5516.5002,321.9702,150.1922,16.8423,-0.0010,-1009.9974,-16.4723,-13.8615,-8.7690,-46.8614,-5.0126,-0.034751,0,1,0.0000,0.00000000e+00,20012.0367
96,2880.0,G26,G,20.580,1511.6798,10.654913,20000.0000,23499749442.9356,23499747931.2558,23402844170.8016,96893037.1133,21.0904,0.0000,5895.3383,344.1878,-4427.4179,15.9419,-0.0010,-1367.6728,-13.8212,23.5000,-4.1345,23.9574,26.1014,0.183973,0,1,0.0000,0.00000000e+00,20002.4207
97,2910.0,G26,G,20.382,1160.8733,8.182291,20000.0000,23519420320.4055,23519419159.5321,23422515296.3929,96893089.9754,-13.1512,0.0000,5949.1082,347.3460,-4454.3807,15.9632,-0.0010,-1367.7720,-13.6700,23.5000,-3.9820,23.9574,26.0314,0.183480,0,1,0.0000,0.00000000e+00,20000.9819
101,3030.0,E04,E,21.721,15494.4084,107.417679,20000.0000,26663620031.3566,26663604536.9482,26644496602.8207,19098259.9352,15.9948,3886.2770,5605.1045,326.9991,154.6943,16.8805,-0.0010,-1009.6972,-16.1582,-13.8615,-8.5068,-46.8614,-5.8166,-0.040325,0,1,0.0000,0.00000000e+00,20011.8196
102,3060.0,G07,G,16.039,441.1364,3.109303,20000.0000,24482238613.4221,24482238172.2857,24438585703.7725,43633836.2515,14.7112,0.0000,7454.9428,435.7361,-10669.2695,16.6372,-0.0006,-736.6968,-15.3028,40.6000,0.3655,3.9986,-71.6971,-0.505349,0,1,0.0000,0.00000000e+00,20002.4915
103,3090.0,E04,E,21.634,15797.5804,109.519471,20000.0000,26671756875.6159,26671741078.0355,26652633358.0563,19098453.8501,-408.0986,3881.6546,5626.0974,327.5678,155.6730,16.8895,-0.0010,-1009.6323,-16.0856,-13.8615,-8.4460,-46.8614,-5.9887,-0.041517,0,1,0.0000,0.00000000e+00,20012.1863
105,3150.0,E04,E,21.546,15642.2995,108.442959,20000.0000,26680029541.5235,26680013899.2239,26660905894.4702,19098647.8198,-349.6208,3892.1437,5647.5900,328.8127,156.6433,16.8985,-0.0010,-1009.5681,-16.0120,-13.8615,-8.3842,-46.8614,-6.1584,-0.042694,0,1,0.0000,0.00000000e+00,20000.9151
111,3330.0,G01,G,15.398,-6565.4986,-46.276213,20000.0000,24062761125.3971,24062767690.8957,24163300673.7803,-100540349.6470,-99.7303,0.0000,7747.3553,452.9547,793.8303,16.5919,-0.0006,-1906.4894,-14.2044,42.4000,1.0218,11.6611,-50.2925,-0.354481,0,1,0.0000,0.00000000e+00,20000.8051
123,3690.0,G26,G,15.318,1058.4575,7.460424,20000.0000,24037145293.4026,24037144234.9451,23940236105.1952,96894462.0092,258.7678,0.0000,7785.5151,459.0471,-5123.2722,16.5356,-0.0008,-1371.1347,-9.7505,23.5000,1.1037,23.9574,24.2685,0.171054,0,1,0.0000,0.00000000e+00,20001.0232
141,4230.0,E18,E,12.052,-4.4675,-0.030972,20000.0000,28552159091.7833,28552159096.2508,29278942030.0512,-726714227.6086,-148.9014,3963.2142,9752.1380,578.3556,82856.4041,18.4726,-0.0006,-1021.5966,-8.4965,-14.8018,1.7358,36.0305,8.2935,0.057496,0,1,0.0000,0.00000000e+00,20001.0068
255,7650.0,G16,G,20.090,3090.6635,21.784211,20000.0000,23270405347.8602,23270402257.1967,23331265720.3088,-60873763.9399,-1049.0024,0.0000,6030.2790,351.5344,-4949.4209,15.9543,-0.0010,-1350.8948,-13.5624,6.4000,-3.7574,-45.5341,-122.1924,-0.861260,0,0,0.0000,0.00000000e+00,20009.6905
257,7710.0,G16,G,19.693,3310.9370,23.336785,20000.0000,23310199196.5410,23310195885.6040,23371059357.8697,-60873938.4960,-1085.7313,0.0000,6144.3504,358.7595,-5029.8292,15.9974,-0.0009,-1350.7256,-13.2562,6.4000,-3.3740,-45.5341,-122.3068,-0.862067,0,0,0.0000,0.00000000e+00,20000.1794
259,7770.0,G16,G,19.298,3402.0936,23.979292,20000.0000,23350032567.5089,23350029165.4153,23410892761.4958,-60874070.6066,-1283.0860,0.0000,6262.5976,365.7060,-5109.8381,16.0408,-0.0009,-1350.5606,-12.9504,6.4000,-2.9694,-45.5341,-122.4216,-0.862876,0,0,0.0000,0.00000000e+00,20009.6737
261,7830.0,G16,G,18.904,3326.3521,23.445436,20000.0000,23389901826.7713,23389898500.4192,23450761881.5994,-60874186.4084,-1162.2820,0.0000,6385.2390,372.9118,-5189.4425,16.0842,-0.0009,-1350.3998,-12.6451,6.4000,-2.5664,-45.5341,-122.5368,-0.863687,0,0,0.0000,0.00000000e+00,20000.1784
262,7860.0,G16,G,18.707,3443.0333,24.267851,20000.0000,23409848234.2943,23409844791.2610,23470708597.4253,-60874253.7678,-1626.5158,0.0000,6448.2801,376.6098,-5229.0898,16.1060,-0.0009,-1350.3209,-12.4926,6.4000,-2.3655,-45.5341,-122.5945,-0.864094,0,0,0.0000,0.00000000e+00,20009.6635
263,7890.0,G16,G,18.512,3868.8127,27.268912,20000.0000,23429802514.0011,23429798645.1884,23490662754.5440,-60874336.1877,-1955.0588,0.0000,6512.5087,380.3869,-5268.6332,16.1279,-0.0009,-1350.2431,-12.3402,6.4000,-2.1649,-45.5341,-122.6523,-0.864502,0,0,0.0000,0.00000000e+00,20009.6603
264,7920.0,G16,G,18.316,3747.4477,26.413484,20000.0000,23449764118.9387,23449760371.4910,23510623859.8827,-60874383.0117,-1396.2247,0.0000,6577.9567,384.2319,-5308.0720,16.1498,-0.0009,-1350.1663,-12.1880,6.4000,-1.9648,-45.5341,-122.7102,-0.864910,0,0,0.0000,0.00000000e+00,20009.6573
267,8010.0,G16,G,17.732,3415.0545,24.070646,20000.0000,23509684034.4602,23509680619.4057,23570543963.9980,-60874582.5862,-1384.9572,0.0000,6781.9534,393.9975,-5425.7524,16.2157,-0.0008,-1349.9423,-11.7323,6.4000,-1.3670,-45.5341,-122.8844,-0.866138,0,0,0.0000,0.00000000e+00,20000.1728
270,8100.0,G14,G,11.710,2647.4509,18.660274,20000.0000,24399240632.4279,24399237984.9769,24619062483.7143,-219837437.9627,-1436.8556,0.0000,10017.6761,579.8806,-3713.5507,17.0658,-0.0006,-1874.2243,-12.0644,42.4000,5.5083,45.9144,-53.0233,-0.373729,0,0,0.0000,0.00000000e+00,20000.2500
270,8100.0,G16,G,17.151,3333.4556,23.495505,20000.0000,23569649314.1384,23569645980.6829,23630509213.3937,-60874760.2762,-1436.8556,0.0000,6998.1877,401.8629,-5542.4619,16.2819,-0.0008,-1349.7276,-11.2778,6.4000,-0.7727,-45.5341,-123.0595,-0.867372,0,0,0.0000,0.00000000e+00,20000.1650
272,8160.0,G16,G,16.766,3573.0519,25.184274,20000.0000,23609644706.1956,23609641133.1437,23670504532.7523,-60874941.1711,-1660.9166,0.0000,7149.6647,410.7483,-5619.7192,16.3262,-0.0008,-1349.5897,-10.9757,6.4000,-0.3786,-45.5341,-123.1768,-0.868198,0,0,0.0000,0.00000000e+00,20009.5581
273,8190.0,G16,G,16.574,3336.0409,23.513727,20000.0000,23629646413.4038,23629643077.3629,23690506314.4009,-60875023.4849,-1537.3539,0.0000,7227.7272,415.3269,-5658.1813,16.3485,-0.0008,-1349.5223,-10.8248,6.4000,-0.1822,-45.5341,-123.2356,-0.868613,0,0,0.0000,0.00000000e+00,20009.5546
274,8220.0,G16,G,16.383,3488.6039,24.589051,20000.0000,23649650595.5762,23649647106.9723,23710510225.0669,-60875082.5456,-1482.2546,0.0000,7307.3996,419.9911,-5696.5310,16.3707,-0.0008,-1349.4559,-10.6741,6.4000,0.0139,-45.5341,-123.2944,-0.869028,0,0,0.0000,0.00000000e+00,20009.5513
275,8250.0,E02,E,12.015,-5561.3029,-38.554699,20000.0000,27596108254.2522,27596113815.5551,27600945410.5884,-4844085.3034,-1457.6359,3982.5593,9780.0715,566.2370,386.4926,17.9782,-0.0006,-1008.2321,-11.3871,-14.2314,1.7847,-19.8275,-50.5953,-0.350761,0,0,0.0000,0.00000000e+00,20000.2828
275,8250.0,G16,G,16.192,3321.6768,23.412483,20000.0000,23669656085.4929,23669652763.8161,23730515794.1395,-60875144.2428,-1457.6359,0.0000,7388.7296,425.0564,-5734.7676,16.3930,-0.0008,-1349.3905,-10.5236,6.4000,0.2095,-45.5341,-123.3534,-0.869443,0,0,0.0000,0.00000000e+00,20000.1638
299,8970.0,E03,E,12.703,-2875.1128,-19.932219,20000.0000,27538377453.3928,27538380328.5056,27538884918.0297,-516857.8566,-1715.4229,3979.1645,9283.9656,532.8458,-183.4267,17.9077,-0.0006,-1045.0909,-12.5054,-14.4262,0.8720,31.8024,46.9850,0.325731,0,0,0.0000,0.00000000e+00,20009.3972
333,9990.0,G03,G,24.157,-4463.8089,-31.462679,20000.0000,23288085441.9639,23288089905.7729,23461062456.0329,-172978243.9014,-1131.8878,0.0000,5077.2130,281.4860,-1434.5180,15.6971,-0.0010,-1459.2960,-19.8222,23.5000,-6.8840,-16.8706,110.5873,0.779463,0,0,0.0000,0.00000000e+00,20009.2936
338,10140.0,G03,G,23.278,-4133.7176,-29.136066,20000.0000,23369982799.7724,23369986933.4900,23542959433.4247,-172977741.1713,-1678.1128,0.0000,5254.8823,287.2040,-1344.1874,15.7848,-0.0010,-1459.4801,-19.1573,23.5000,-6.2081,-16.8706,111.0379,0.782639,0,0,0.0000,0.00000000e+00,20009.2476
338,10140.0,G30,G,10.007,-11650.3426,-82.116192,20000.0000,24888478254.0016,24888489904.3442,24922329956.6227,-33850589.8084,-1678.1128,0.0000,11586.0191,643.8210,62.6495,17.3331,-0.0005,-1510.5537,-9.8728,23.5000,7.6196,15.0989,55.2063,0.389116,0,0,0.0000,0.00000000e+00,20009.2509
340,10200.0,G03,G,22.929,-4376.6665,-30.848465,20000.0000,23402661358.3999,23402665735.0664,23575637441.5477,-172977541.6244,-1126.6905,0.0000,5329.1140,291.4624,-1307.8785,15.8199,-0.0010,-1459.5741,-18.8922,23.5000,-5.9402,-16.8706,111.2173,0.783903,0,0,0.0000,0.00000000e+00,20009.2477
345,10350.0,G03,G,22.066,-4218.6567,-29.734750,20000.0000,23484119924.6344,23484124143.2911,23657095486.4188,-172977037.1112,-1382.5297,0.0000,5523.1342,302.5598,-1216.6888,15.9080,-0.0009,-1459.8600,-18.2321,23.5000,-5.2767,-16.8706,111.6634,0.787048,0,0,0.0000,0.00000000e+00,20009.2498
346,10380.0,G03,G,21.895,-4354.1524,-30.689777,20000.0000,23500367094.7528,23500371448.9053,23673342518.4341,-172976938.5588,-1231.9483,0.0000,5563.4504,304.8658,-1198.3824,15.9257,-0.0009,-1459.9259,-18.1005,23.5000,-5.1451,-16.8706,111.7523,0.787674,0,0,0.0000,0.00000000e+00,20009.2508
348,10440.0,G03,G,21.554,-4352.6812,-30.679407,20000.0000,23532812790.2658,23532817142.9470,23705788090.3139,-172976738.6477,-1360.2446,0.0000,5645.6634,309.5809,-1161.7039,15.9610,-0.0009,-1460.0664,-17.8379,23.5000,-4.8829,-16.8706,111.9298,0.788925,0,0,0.0000,0.00000000e+00,20009.2533
351,10530.0,G03,G,21.046,-4489.0581,-31.640645,20000.0000,23581353288.6434,23581357777.7015,23754327956.7474,-172976438.9392,-971.5999,0.0000,5773.0712,316.8724,-1106.5288,16.0141,-0.0009,-1460.2992,-17.4452,23.5000,-4.4924,-16.8706,112.1952,0.790796,0,0,0.0000,0.00000000e+00,20009.2580
353,10590.0,G03,G,20.710,-4439.5259,-31.291523,20000.0000,23613621861.3669,23613626300.8928,23786596604.0586,-172976234.1712,-1355.8037,0.0000,5860.8462,321.0051,-1069.6430,16.0495,-0.0009,-1460.4689,-17.1843,23.5000,-4.2338,-16.8706,112.3716,0.792039,0,0,0.0000,0.00000000e+00,20000.1336
355,10650.0,G27,G,25.764,3722.5233,26.237807,20000.0000,22786301326.8662,22786297604.3429,22775640498.0064,10653393.9070,-1483.4051,0.0000,4784.1523,261.6884,-119.0635,15.3694,-0.0010,-1406.0353,-17.3759,23.5000,-7.9379,8.9645,9.5058,0.067001,0,0,0.0000,0.00000000e+00,20009.2573
356,10680.0,G03,G,20.209,-4200.8674,-29.609364,20000.0000,23661878963.1087,23661883163.9760,23834853172.2650,-172975933.7817,-1450.1866,0.0000,5996.9643,328.7936,-1014.1684,16.1026,-0.0008,-1460.7453,-16.7944,23.5000,-3.8488,-16.8706,112.6357,0.793900,0,0,0.0000,0.00000000e+00,20009.2675
356,10680.0,G27,G,25.608,3908.4361,27.548193,20000.0000,22800359117.4797,22800355209.0436,22789697917.0367,10653474.2928,-1450.1866,0.0000,4811.0438,263.2340,-162.5944,15.3844,-0.0010,-1406.4657,-17.2634,23.5000,-7.8549,8.9645,9.5353,0.067208,0,0,0.0000,0.00000000e+00,20009.2596
358,10740.0,G03,G,19.877,-4241.6886,-29.897088,20000.0000,23693947477.7587,23693951719.4473,23866921126.0350,-172975732.9219,-1111.7893,0.0000,6090.8042,334.1527,-977.0921,16.1381,-0.0008,-1460.9441,-16.5354,23.5000,-3.5627,-16.8706,112.8113,0.795138,0,0,0.0000,0.00000000e+00,20009.2728
360,10800.0,G03,G,19.548,-4346.8315,-30.638177,20000.0000,23725928815.6416,23725933162.4732,23898902258.0422,-172975526.8716,-1071.9766,0.0000,6187.2240,339.6641,-939.9438,16.1736,-0.0008,-1461.1545,-16.2772,23.5000,-3.2254,-16.8706,112.9865,0.796373,0,0,0.0000,0.00000000e+00,20009.2787
361,10830.0,G27,G,24.817,3716.5969,26.196035,20000.0000,22871931921.4348,22871928204.8380,22861270133.6409,10653890.6765,-1454.8019,0.0000,4952.2291,271.3311,-380.1936,15.4609,-0.0010,-1408.5948,-16.6929,23.5000,-7.3914,8.9645,9.6749,0.068192,0,0,0.0000,0.00000000e+00,20009.2735
363,10890.0,G03,G,19.057,-4492.7442,-31.666626,20000.0000,23773729870.2065,23773734362.9506,23946703100.0002,-172975225.1577,-1118.1023,0.0000,6336.8982,348.2150,-884.0944,16.2268,-0.0008,-1461.4920,-15.8915,23.5000,-2.7233,-16.8706,113.2489,0.798223,0,0,0.0000,0.00000000e+00,20009.2802
364,10920.0,G03,G,18.895,-4477.5888,-31.559805,20000.0000,23789616274.1691,23789620751.7579,23962589325.2452,-172975131.1362,-1084.0100,0.0000,6388.1844,350.8420,-865.4456,16.2446,-0.0008,-1461.6103,-15.7633,23.5000,-2.5569,-16.8706,113.3362,0.798838,0,0,0.0000,0.00000000e+00,20000.1303
366,10980.0,G27,G,24.012,3799.5868,26.780981,20000.0000,22945608351.2524,22945604551.6655,22934945271.8288,10654304.9266,-1040.0623,0.0000,5105.4838,279.5969,-597.6255,15.5400,-0.0009,-1410.6845,-16.1094,23.5000,-6.7730,8.9645,9.8015,0.069085,0,0,0.0000,0.00000000e+00,20009.2904
367,11010.0,G03,G,18.410,-4220.4167,-29.747155,20000.0000,23837127260.4464,23837131480.8632,24010099514.6151,-172974831.7717,-955.0733,0.0000,6546.4102,359.5408,-809.4057,16.2978,-0.0007,-1461.9825,-15.3803,23.5000,-2.0608,-16.8706,113.5978,0.800682,0,0,0.0000,0.00000000e+00,20009.2401
367,11010.0,G22,G,11.616,4200.5797,29.607336,20000.0000,24255094104.1553,24255089903.5756,24240188164.6857,14887751.2016,-955.0733,0.0000,10093.0982,559.4621,-4261.2292,16.9481,-0.0006,-908.7283,-12.0913,6.4000,5.6247,41.9732,-52.0374,-0.366780,0,0,0.0000,0.00000000e+00,20009.2438
367,11010.0,G27,G,23.850,3884.8245,27.381769,20000.0000,22960591302.8864,22960587418.0620,22949927890.4898,10654390.0288,-955.0733,0.0000,5137.6948,281.4329,-641.0819,15.5562,-0.0009,-1411.0976,-15.9912,23.5000,-6.6482,8.9645,9.8253,0.069253,0,0,0.0000,0.00000000e+00,20009.2326
369,11070.0,G03,G,18.089,-4678.0239,-32.972550,20000.0000,23868672550.6662,23868677228.6900,24041644745.8000,-172974630.9812,-719.3392,0.0000,6655.6712,367.4679,-771.9713,16.3333,-0.0007,-1462.2451,-15.1260,23.5000,-1.7326,-16.8706,113.7719,0.801909,0,0,0.0000,0.00000000e+00,20009.2451
