epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
9,270.0,G03,6,9,1211.4557,9,0,1,0,2.065517,0,0.000000,9,0,0,0
9,270.0,G04,7,9,1722.3588,9,0,1,0,2.788750,0,0.000000,9,0,0,0
9,270.0,G08,8,6,1136.4669,8,0,1,0,3.818298,0,0.000000,9,0,0,0
9,270.0,G16,9,9,1174.4506,9,0,1,0,2.032106,0,0.000000,9,0,0,0
9,270.0,G26,10,9,1476.6275,9,0,1,0,2.362386,0,0.000000,9,0,0,0
9,270.0,G27,11,9,978.6325,9,0,1,0,3.083608,0,0.000000,9,0,0,0
10,300.0,G01,5,10,1211.3887,10,0,1,0,2.934822,0,0.000000,10,0,0,0
10,300.0,G03,6,10,1165.2298,10,0,1,0,2.064526,0,0.000000,10,0,0,0
10,300.0,G04,7,10,1654.5743,10,0,1,0,2.781427,0,0.000000,10,0,0,0
10,300.0,G08,8,7,929.1448,9,0,1,0,3.797801,0,0.000000,10,0,0,0
10,300.0,G16,9,10,1129.2647,10,0,1,0,2.032363,0,0.000000,10,0,0,0
10,300.0,G26,10,10,1423.1136,10,0,1,0,2.367394,0,0.000000,10,0,0,0
10,300.0,G27,11,10,951.2628,10,0,1,0,3.074488,0,0.000000,10,0,0,0
11,330.0,G01,5,11,1172.8250,11,0,1,0,2.941969,0,0.000000,11,0,0,0
11,330.0,G03,6,11,1121.1454,11,0,1,0,2.063554,0,0.000000,11,0,0,0
11,330.0,G04,7,11,1595.3923,11,0,1,0,2.774162,0,0.000000,11,0,0,0
11,330.0,G16,9,11,1086.3471,11,0,1,0,2.032633,0,0.000000,11,0,0,0
11,330.0,G26,10,11,1375.0573,11,0,1,0,2.372477,0,0.000000,11,0,0,0
11,330.0,G27,11,11,931.4058,11,0,1,0,3.065453,0,0.000000,11,0,0,0
12,360.0,G01,5,12,1138.7339,12,0,1,0,2.949187,0,0.000000,12,0,0,0
12,360.0,G03,6,12,1078.6813,12,0,1,0,2.062600,0,0.000000,12,0,0,0
12,360.0,G04,7,12,1542.7169,12,0,1,0,2.766956,0,0.000000,12,0,0,0
12,360.0,G16,9,12,1045.1424,12,0,1,0,2.032918,0,0.000000,12,0,0,0
12,360.0,G26,10,12,1331.1662,12,0,1,0,2.377637,0,0.000000,12,0,0,0
12,360.0,G27,11,12,913.5756,12,0,1,0,3.056502,0,0.000000,12,0,0,0
13,390.0,G01,5,13,1108.2073,13,0,1,0,2.956479,0,0.000000,13,0,0,0
13,390.0,G03,6,13,1037.7220,13,0,1,0,2.061664,0,0.000000,13,0,0,0
13,390.0,G04,7,13,1495.1881,13,0,1,0,2.759807,0,0.000000,13,0,0,0
13,390.0,G16,9,13,1005.4935,13,0,1,0,2.033217,0,0.000000,13,0,0,0
13,390.0,G26,10,13,1290.5362,13,0,1,0,2.382875,0,0.000000,13,0,0,0
13,390.0,G27,11,13,897.2691,13,0,1,0,3.047635,0,0.000000,13,0,0,0
14,420.0,G01,5,14,1080.5549,14,0,1,0,2.963843,0,0.000000,14,0,0,0
14,420.0,G03,6,14,998.3100,14,0,1,0,2.060747,0,0.000000,14,0,0,0
14,420.0,G04,7,14,1451.7699,14,0,1,0,2.752716,0,0.000000,14,0,0,0
14,420.0,G16,9,14,967.3972,14,0,1,0,2.033531,0,0.000000,14,0,0,0
14,420.0,G26,10,14,1252.5370,14,0,1,0,2.388192,0,0.000000,14,0,0,0
14,420.0,G27,11,14,882.1071,14,0,1,0,3.038852,0,0.000000,14,0,0,0
15,450.0,G01,5,15,1055.2439,15,0,1,0,2.971282,0,0.000000,15,0,0,0
15,450.0,G03,6,15,960.5566,15,0,1,0,2.059847,0,0.000000,15,0,0,0
15,450.0,G04,7,15,1411.6639,15,0,1,0,2.745681,0,0.000000,15,0,0,0
15,450.0,G16,9,15,930.9212,15,0,1,0,2.033859,0,0.000000,15,0,0,0
15,450.0,G26,10,15,1216.7332,15,0,1,0,2.393590,0,0.000000,15,0,0,0
15,450.0,G27,11,15,867.8003,15,0,1,0,3.030151,0,0.000000,15,0,0,0
16,480.0,G01,5,16,979.8789,16,0,1,0,2.978794,0,0.000000,16,0,0,0
16,480.0,G03,6,16,915.0976,16,0,1,0,2.058964,0,0.000000,16,0,0,0
16,480.0,G04,7,16,1364.7182,16,0,1,0,2.738703,0,0.000000,16,0,0,0
16,480.0,G16,9,16,889.5336,16,0,1,0,2.034201,0,0.000000,16,0,0,0
16,480.0,G26,10,16,1171.4786,16,0,1,0,2.399070,0,0.000000,16,0,0,0
16,480.0,G27,11,16,847.3837,16,0,1,0,3.021532,0,0.000000,16,0,0,0
17,510.0,G01,5,17,928.3546,17,0,1,0,2.986383,0,0.000000,17,0,0,0
17,510.0,G03,6,17,875.7092,17,0,1,0,2.058099,0,0.000000,17,0,0,0
17,510.0,G04,7,17,1324.4239,17,0,1,0,2.731782,0,0.000000,17,0,0,0
17,510.0,G16,9,17,852.9720,17,0,1,0,2.034558,0,0.000000,17,0,0,0
17,510.0,G26,10,17,1133.4448,17,0,1,0,2.404632,0,0.000000,17,0,0,0
17,510.0,G27,11,17,831.4605,17,0,1,0,3.012994,0,0.000000,17,0,0,0
17,510.0,G02,12,1,9968.4570,1,0,1,0,4.176518,0,0.000000,17,0,0,0
18,540.0,G01,5,18,889.7732,18,0,1,0,2.994046,0,0.000000,18,0,0,0
18,540.0,G03,6,18,840.3272,18,0,1,0,2.057252,0,0.000000,18,0,0,0
18,540.0,G04,7,18,1288.1475,18,0,1,0,2.724915,0,0.000000,18,0,0,0
18,540.0,G16,9,18,819.7697,18,0,1,0,2.034929,0,0.000000,18,0,0,0
