SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
720.0,FWD,1337935.6124,6070319.4155,1427878.0649,1337935.5599,6070317.2377,1427877.5071,+52.489,+2177.818,+557.755,+417.495,+61.683,+2208.762,2248.719,11,4,0,2.0909,0.0323,2.1231,+2726.816,1411.16,95.965
750.0,FWD,1337935.5977,6070319.2339,1427878.0141,1337935.5599,6070317.2377,1427877.5071,+37.796,+1996.210,+507.026,+392.754,+52.930,+2021.460,2059.941,11,4,0,2.0909,0.0338,2.1247,+2735.253,1116.73,124.650
780.0,FWD,1337935.6072,6070319.1234,1427877.9950,1337935.5599,6070317.2377,1427877.5071,+47.342,+1885.671,+487.893,+359.640,+58.148,+1913.978,1948.342,11,4,0,2.0909,0.0198,2.1107,+2746.793,1732.56,75.267
810.0,FWD,1337935.6110,6070318.9502,1427877.9469,1337935.5599,6070317.2377,1427877.5071,+51.094,+1712.525,+439.799,+318.707,+49.206,+1739.189,1768.834,11,4,0,2.0909,0.0281,2.1189,+2736.054,1616.70,119.754
840.0,FWD,1337935.6109,6070318.8340,1427877.9204,1337935.5599,6070317.2377,1427877.5071,+51.022,+1596.349,+413.295,+293.772,+48.948,+1622.667,1649.771,11,4,0,2.0909,0.0254,2.1162,+2719.785,957.73,79.519
870.0,FWD,1337935.6000,6070318.6970,1427877.8868,1337935.5599,6070317.2377,1427877.5071,+40.114,+1459.350,+379.655,+274.937,+46.846,+1482.452,1508.459,11,8,0,2.0909,0.0336,2.1244,+2713.548,1542.92,93.285
900.0,FWD,1337935.6012,6070318.6180,1427877.8681,1337935.5599,6070317.2377,1427877.5071,+41.303,+1380.256,+361.020,+256.752,+46.037,+1403.249,1427.287,11,8,0,2.0909,0.0327,2.1235,+2715.098,1219.39,55.028
930.0,FWD,1337935.6324,6070318.5715,1427877.8586,1337935.5599,6070317.2377,1427877.5071,+72.491,+1333.809,+351.504,+216.297,+45.472,+1363.453,1381.252,11,8,0,2.0909,0.0274,2.1183,+2716.803,1518.89,37.829
960.0,FWD,1337935.6327,6070318.5350,1427877.8465,1337935.5599,6070317.2377,1427877.5071,+72.783,+1297.325,+339.415,+208.160,+41.707,+1326.077,1342.964,11,9,0,2.0909,0.0269,2.1178,+2729.203,1167.58,27.803
990.0,FWD,1337935.6532,6070318.4893,1427877.8352,1337935.5599,6070317.2377,1427877.5071,+93.339,+1251.617,+328.115,+178.247,+39.758,+1284.354,1297.273,12,9,0,2.0909,0.0284,2.1193,+2737.479,2034.39,35.015
1020.0,FWD,1337935.6624,6070318.4628,1427877.8262,1337935.5599,6070317.2377,1427877.5071,+102.522,+1225.071,+319.140,+163.565,+36.410,+1259.000,1270.102,12,9,0,2.0909,0.0276,2.1185,+2727.697,2119.19,23.414
1050.0,FWD,1337935.6745,6070318.4135,1427877.8067,1337935.5599,6070317.2377,1427877.5071,+114.610,+1175.759,+299.584,+141.147,+27.620,+1210.211,1218.727,12,9,0,2.0909,0.0297,2.1206,+2714.177,1638.50,39.110
1080.0,FWD,1337935.6704,6070318.3636,1427877.7898,1337935.5599,6070317.2377,1427877.5071,+110.486,+1125.856,+282.695,+134.433,+22.345,+1158.060,1166.051,14,9,0,2.0909,0.0350,2.1259,+2704.804,1485.08,37.814
1110.0,FWD,1337935.6731,6070318.3301,1427877.7778,1337935.5599,6070317.2377,1427877.5071,+113.241,+1092.379,+270.728,+124.537,+17.918,+1124.090,1131.109,14,9,0,2.0909,0.0350,2.1259,+2704.249,915.52,27.916
