epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
27,810.0,-1.129058,1.230481,1.634703,-347.1355,145.2144,284.7853,338.4847,1.3000,4.9436e+02,366.5250,235.6328,17.7349,163.26,107.41,207.15,93.7447,1361.3793
28,840.0,-1.162955,1.130224,1.623720,-313.1933,145.9387,106.4008,33.9421,0.7243,4.5029e+02,347.5159,224.4933,17.7117,154.05,100.90,197.01,73.8543,943.3789
29,870.0,-1.275679,0.889862,1.726870,-535.3783,145.7804,284.8164,222.1850,0.1582,4.1374e+02,331.2276,215.1354,17.6891,146.17,95.39,188.25,121.5429,1265.5435
30,900.0,-1.305292,0.805292,1.798994,-546.1464,146.5319,115.0254,10.7681,0.7514,3.8335e+02,317.0515,206.9273,17.6667,139.32,90.64,180.58,108.9774,753.2217
31,930.0,-1.229426,0.625566,1.867770,-944.7444,144.9677,206.8511,398.5980,1.5641,3.5604e+02,304.5904,200.4088,17.6451,133.41,86.71,173.78,100.6366,1547.6075
32,960.0,-1.181458,0.694885,1.778343,-1059.8305,144.6261,122.8953,115.0861,0.3417,3.3574e+02,293.4447,193.0986,17.6227,128.04,83.00,167.70,65.5459,1399.3857
33,990.0,-1.112993,0.601641,1.853961,-889.7079,146.9867,138.2026,170.1226,2.3606,3.0380e+02,282.8496,192.2518,17.6165,2963.29,80.51,20000.00,386.5737,856.9915
34,1020.0,-1.088449,0.922360,1.919050,-486.5729,150.5216,328.1757,403.1350,3.5349,2.9795e+02,273.0849,180.3791,17.5823,1243.01,77.36,7987.30,182.2869,1298.3061
35,1050.0,-1.052768,1.023416,1.805635,-378.8334,149.8860,156.0399,107.7394,0.6356,2.8279e+02,264.2382,174.8211,17.5507,642.19,74.58,3807.72,102.5866,2003.8960
36,1080.0,-1.047826,1.035337,1.751500,-255.0893,149.4989,55.6517,123.7441,0.3870,2.6817e+02,255.2495,168.9027,17.5045,4772.87,71.95,20000.00,59.8351,1197.5248
37,1110.0,-1.012432,1.107773,1.720278,-347.9226,149.1570,86.4552,92.8333,0.3419,2.5508e+02,247.0969,163.6950,17.4630,4689.60,69.57,20000.00,80.6925,728.0711
38,1140.0,-0.975714,0.963270,1.688142,-536.0898,145.8494,152.5182,188.1672,3.3076,2.4339e+02,239.6499,158.9691,17.4242,4641.59,67.39,20000.00,102.9519,1596.3796
39,1170.0,-1.008183,0.802493,1.613594,-557.7597,142.7274,180.1699,21.6699,3.1220,2.3288e+02,232.8056,154.6325,17.3871,4610.74,65.39,20000.00,153.5085,1753.9832
40,1200.0,-1.044898,0.654946,1.608131,-765.2288,139.9110,152.1438,207.4692,2.8163,2.2338e+02,226.4811,150.6264,17.3508,4589.38,63.54,20000.00,101.2483,1488.0554
41,1230.0,-1.094845,0.574897,1.604948,-933.8783,138.3844,94.4074,168.6495,1.5267,2.1477e+02,220.6089,146.9061,17.3148,4573.77,61.83,20000.00,76.1061,1546.6330
42,1260.0,-1.112999,0.488639,1.636857,-867.5139,139.9362,93.7452,66.3644,1.5518,2.0692e+02,215.1331,143.4358,17.2785,4561.87,60.24,20000.00,100.6442,1296.1084
43,1290.0,-1.083422,0.444998,1.653992,-1078.5912,139.7155,55.4347,211.0772,0.2207,1.9928e+02,210.0221,140.3080,17.2428,4552.50,58.76,20000.00,39.5485,970.2652
44,1320.0,-1.128183,0.417346,1.635699,-1125.4789,140.1215,55.7026,46.8877,0.4061,1.9316e+02,205.2035,137.1313,17.2050,4544.92,57.37,20000.00,29.3026,1271.3223
45,1350.0,-1.109756,0.407429,1.594995,-932.5634,141.8030,45.7677,192.9155,1.6814,1.8643e+02,200.6949,134.8105,17.1691,4538.67,56.15,20000.00,59.5646,1157.1448
46,1380.0,-1.061735,0.412648,1.575753,-1050.2554,141.8208,51.9953,117.6919,0.0178,1.8155e+02,196.3963,131.5676,17.1286,4533.39,54.91,20000.00,61.9732,1484.3163
