epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
132,3960.0,-1.151365,0.188078,0.971551,-1055.6815,152.9141,13.3260,238.1602,1.4771,4.3970e+01,90.0676,89.8488,17.3629,134.51,43.95,269.10,118.3975,1400.6577
133,3990.0,-1.138849,0.178198,0.972685,-1120.8836,150.5559,15.9856,65.2021,2.3582,4.3981e+01,89.7945,83.9538,17.3653,121.89,43.02,235.32,33.9685,1563.5724
134,4020.0,-1.142280,0.172884,0.967033,-978.9512,150.6223,8.4828,141.9324,0.0665,4.4007e+01,89.5246,82.9878,17.3655,111.65,42.16,208.29,53.0204,811.2691
135,4050.0,-1.145277,0.178909,0.964162,-1080.9761,152.4831,7.3154,102.0249,1.8608,4.4016e+01,89.2575,82.2848,17.3636,103.20,41.35,186.27,29.1535,1367.2930
136,4080.0,-1.138958,0.179690,0.959241,-1122.4891,152.1655,8.0473,41.5130,0.3176,4.4001e+01,88.9931,81.7253,17.3598,96.12,40.58,168.07,19.7373,1186.5687
137,4110.0,-1.139583,0.173046,0.956097,-1116.0787,151.4308,7.3772,6.4104,0.7347,4.3999e+01,88.7313,81.1759,17.3543,90.12,39.87,152.85,23.7574,1396.9286
138,4140.0,-1.143043,0.160513,0.951563,-1317.3217,147.4654,13.7693,201.2429,3.9654,4.3863e+01,88.4724,81.5479,17.3486,85.12,39.28,139.99,73.0026,1295.6947
139,4170.0,-1.145057,0.159027,0.948353,-1261.8800,148.0841,4.0707,55.4417,0.6187,4.4047e+01,88.2152,80.1279,17.3402,80.62,38.62,128.98,23.6371,528.4230
140,4200.0,-1.136211,0.165168,0.937238,-1158.7026,149.6424,15.4755,103.1775,1.5583,4.4078e+01,87.9603,79.5659,17.3299,76.70,38.00,119.50,31.0689,1405.2443
141,4230.0,-1.130954,0.171463,0.927349,-1297.1687,149.6513,12.8473,138.4661,0.0089,4.4133e+01,87.7075,79.0433,17.3184,73.26,37.42,111.28,37.2668,962.4181
142,4260.0,-1.131940,0.173717,0.924582,-1094.5940,151.2320,3.7024,202.5746,1.5807,4.4151e+01,87.4566,78.6979,17.3061,70.21,36.87,104.10,40.4872,563.7590
143,4290.0,-1.137311,0.159494,0.927065,-1015.7100,150.9903,15.4051,78.8840,0.2417,4.4287e+01,87.2074,78.0296,17.2925,67.49,36.33,97.79,47.9970,836.3356
144,4320.0,-1.143175,0.158353,0.923833,-1153.0369,150.3853,6.7919,137.3269,0.6050,4.4380e+01,86.9597,77.5275,17.2779,65.06,35.82,92.21,28.7098,794.0854
145,4350.0,-1.145130,0.161347,0.920647,-1360.3830,150.0639,4.7888,207.3460,0.3214,4.4398e+01,86.7138,77.2856,17.2630,62.90,35.34,87.26,41.1215,1089.4877
146,4380.0,-1.130626,0.166988,0.925877,-1162.7310,151.0247,16.4174,197.6520,0.9608,4.4604e+01,86.4687,76.5670,17.2465,60.91,34.87,82.84,16.2416,1054.8430
147,4410.0,-1.116635,0.154892,0.934069,-1191.4472,148.5285,20.2281,28.7161,2.4962,4.4727e+01,86.2247,76.0912,17.2290,59.11,34.42,80.89,30.6100,1608.7941
148,4440.0,-1.109279,0.148984,0.922594,-1446.9661,144.3100,14.8558,255.5189,4.2185,4.2828e+01,85.9897,80.6573,17.2237,57.96,34.10,79.40,91.3211,1454.8402
149,4470.0,-1.101854,0.147537,0.912487,-1277.1185,146.0552,12.6245,169.8476,1.7452,4.4954e+01,85.7457,75.2800,17.2024,56.37,33.67,77.99,58.4037,954.6426
150,4500.0,-1.088308,0.145013,0.916919,-1116.0446,147.8390,14.4750,161.0740,1.7838,4.5074e+01,85.5025,74.7597,17.1803,54.92,33.26,76.66,38.7129,1205.7227
151,4530.0,-1.084867,0.145538,0.913143,-1399.6847,145.0353,5.1358,283.6401,2.8037,4.1828e+01,85.2781,84.2149,17.1940,54.28,33.01,75.57,171.9161,879.2255
152,4560.0,-1.079867,0.138473,0.910391,-1424.8703,143.8216,9.0819,25.1856,1.2137,4.5070e+01,85.0326,74.1752,17.1641,52.95,32.61,74.36,18.4934,1066.8891
153,4590.0,-1.078645,0.119774,0.904080,-1233.5530,145.1530,19.7733,191.3173,1.3314,4.1865e+01,84.8063,80.2644,17.1692,52.22,32.35,73.38,176.4495,1420.3386
154,4620.0,-1.078914,0.127334,0.900463,-1356.9489,148.0684,8.3854,123.3959,2.9154,4.5169e+01,84.5589,73.4936,17.1343,51.04,31.98,72.28,16.3320,1241.4295
155,4650.0,-1.079950,0.131005,0.896918,-1318.7273,149.2339,5.2075,38.2216,1.1655,4.5321e+01,84.3122,73.0777,17.1025,49.96,31.62,71.23,15.8643,831.5064
156,4680.0,-1.087062,0.133695,0.899111,-1094.6529,151.2977,7.9141,224.0744,2.0637,4.4510e+01,84.0701,73.8544,17.0778,48.99,31.32,70.23,39.2657,798.5330
157,4710.0,-1.092308,0.131718,0.898449,-1168.2471,151.3738,5.6445,73.5942,0.0761,4.5485e+01,83.8228,72.4618,17.0511,48.06,30.99,69.28,13.4623,843.7716
158,4740.0,-1.098358,0.136079,0.901366,-1358.8319,152.3642,8.0085,190.5848,0.9904,4.5540e+01,83.5758,72.1978,17.0260,47.21,30.67,68.38,29.1600,1566.2854
159,4770.0,-1.097798,0.147169,0.901542,-1174.3305,155.1343,11.1049,184.5014,2.7701,4.5649e+01,83.3275,71.8147,17.0018,46.40,30.36,67.52,17.6030,1845.8307
160,4800.0,-1.098094,0.162677,0.893055,-1077.1821,157.7191,17.6815,97.1484,2.5848,4.5723e+01,83.0783,71.5015,16.9784,45.65,30.07,66.69,17.3622,1627.7526
161,4830.0,-1.100064,0.173515,0.880834,-1257.6442,156.9891,16.4524,180.4621,0.7301,4.5720e+01,82.8297,71.3675,16.9567,44.96,29.78,65.90,39.2997,1091.6783
162,4860.0,-1.097289,0.167481,0.880096,-1262.1376,155.3335,6.6820,4.4934,1.6555,4.5874e+01,82.5777,70.8890,16.9342,44.29,29.51,65.14,14.2375,1143.7979
163,4890.0,-1.097608,0.157523,0.883866,-1306.8347,154.0969,10.6528,44.6971,1.2367,4.5888e+01,82.3242,70.5816,16.9143,43.66,29.24,64.42,17.8398,1613.2220
164,4920.0,-1.101863,0.146259,0.881683,-1119.6786,154.3869,12.2374,187.1562,0.2900,4.4928e+01,82.0759,71.1413,16.9005,43.09,29.00,63.74,64.0366,1571.7169
165,4950.0,-1.102632,0.133977,0.880035,-1139.9405,153.6688,12.4161,20.2619,0.7181,4.5896e+01,81.8177,69.9923,16.8834,42.53,28.74,63.09,29.3688,1039.3328
166,4980.0,-1.095662,0.122609,0.878788,-1070.7639,153.6367,13.3926,69.1766,0.0321,4.5900e+01,81.5573,69.6812,16.8668,42.00,28.50,62.47,34.4445,1151.7006
167,5010.0,-1.102509,0.110529,0.883808,-1127.8544,152.4783,14.7647,57.0905,1.1584,4.5897e+01,81.2944,69.3824,16.8509,41.49,28.25,61.88,17.9876,866.4664
168,5040.0,-1.107456,0.105793,0.891436,-1400.1237,151.4671,10.2521,272.2693,1.0113,4.2701e+01,81.0675,73.0239,16.8571,41.12,28.07,61.32,51.3213,993.1186
169,5070.0,-1.110865,0.097388,0.892344,-1230.8229,151.4061,9.1147,169.3007,0.0610,4.5885e+01,80.7944,68.8607,16.8389,40.65,27.83,60.77,29.7663,725.7430
170,5100.0,-1.105870,0.078630,0.887183,-1141.4096,150.7092,20.0866,89.4133,0.6969,4.5839e+01,80.5185,68.5050,16.8197,40.20,27.61,60.24,49.5475,1414.0358
171,5130.0,-1.096219,0.066510,0.881155,-1287.8979,148.8661,16.6249,146.4883,1.8432,4.5817e+01,80.2396,68.2034,16.8018,39.77,27.38,59.72,13.3834,1572.2779
172,5160.0,-1.095736,0.067118,0.873636,-1397.4640,148.6744,7.5594,109.5661,0.1917,4.5796e+01,79.9574,67.9039,16.7851,39.36,27.17,59.22,13.8145,983.7036
173,5190.0,-1.099023,0.060795,0.871278,-1405.6257,148.3838,7.5061,8.1617,0.2906,4.5769e+01,79.6717,67.6048,16.7692,38.96,26.95,58.73,16.4682,481.4848
174,5220.0,-1.096978,0.055163,0.864441,-1327.5465,148.1268,9.0905,78.0792,0.2570,4.5734e+01,79.3823,67.3061,16.7541,38.58,26.75,58.25,23.7901,973.4483
175,5250.0,-1.093347,0.045576,0.863885,-1254.3170,148.4696,10.2666,73.2295,0.3427,4.5692e+01,79.0891,67.0074,16.7395,38.21,26.54,57.78,29.0676,669.3852
176,5280.0,-1.093246,0.033930,0.861126,-1161.9358,148.1931,11.9694,92.3812,0.2764,4.5644e+01,78.7918,66.7088,16.7254,37.86,26.35,57.33,31.4511,793.7808
177,5310.0,-1.089996,0.025837,0.859043,-1307.2165,147.7605,8.9659,145.2808,0.4326,4.5589e+01,78.4902,66.4099,16.7115,37.52,26.15,56.88,16.0912,607.3426
178,5340.0,-1.099330,0.024079,0.859949,-1448.1686,147.3944,9.5420,140.9520,0.3661,4.5527e+01,78.1844,66.1108,16.6979,37.18,25.96,56.45,21.6797,660.6989
179,5370.0,-1.109616,0.016940,0.859533,-1164.7141,149.0293,12.5276,283.4545,1.6349,3.9141e+01,77.9679,72.0800,16.7499,36.96,25.82,56.09,100.7946,857.6683
180,5400.0,-1.106889,0.009937,0.858185,-1299.0394,149.5610,7.6353,134.3253,0.5317,4.5301e+01,77.6438,65.6145,16.7212,36.64,25.63,55.67,26.6670,988.2041
181,5430.0,-1.108689,0.017659,0.852676,-1439.6386,150.8647,9.6554,140.5992,1.3037,4.5283e+01,77.3157,65.2634,16.6949,36.33,25.45,55.25,29.0552,926.7467
182,5460.0,-1.107804,0.029380,0.852533,-1070.5576,154.9217,11.7554,369.0810,4.0569,3.7595e+01,77.1117,73.2533,16.7662,36.13,25.32,54.94,77.0918,1134.7073
183,5490.0,-1.104820,0.029463,0.847460,-1036.7888,155.2883,5.8863,33.7687,0.3667,4.4863e+01,76.7660,64.8785,16.7231,35.83,25.14,54.53,23.3017,691.9120
184,5520.0,-1.102888,0.034344,0.847463,-1207.4658,154.8752,5.2491,170.6770,0.4131,4.4525e+01,76.4296,64.9570,16.6895,35.54,24.96,54.13,41.8102,744.9929
185,5550.0,-1.105768,0.027295,0.846208,-1253.6723,154.5573,7.7170,46.2065,0.3178,4.4553e+01,76.0821,64.4151,16.6594,35.26,24.79,53.73,22.8951,659.2475
186,5580.0,-1.104646,0.019558,0.844816,-1303.0268,153.4439,7.9405,49.3545,1.1135,4.4310e+01,75.7336,64.1891,16.6341,34.99,24.62,53.34,22.5595,820.6255
187,5610.0,-1.111379,0.028142,0.848173,-1156.9831,156.5690,11.4141,146.0437,3.1251,4.4069e+01,75.3840,63.9743,16.6127,34.73,24.45,52.95,23.6542,1843.7983
188,5640.0,-1.121357,0.033528,0.847796,-1032.2297,157.1853,11.3453,124.7534,0.6164,4.3816e+01,75.0331,63.7619,16.5943,34.47,24.29,52.57,23.6713,1083.0834
189,5670.0,-1.127803,0.026468,0.845839,-1146.5702,155.3846,9.7583,114.3405,1.8008,4.3554e+01,74.6807,63.5509,16.5782,34.23,24.13,52.20,20.7343,967.6884
190,5700.0,-1.129581,0.025587,0.845547,-1351.6753,154.5595,2.0055,205.1050,0.8251,4.3006e+01,74.3416,63.8065,16.5665,33.99,23.97,51.83,25.9335,477.7930
191,5730.0,-1.123151,0.032318,0.842531,-1060.9246,157.2457,9.7856,290.7506,2.6862,3.5595e+01,74.1988,79.7681,16.6786,36.67,30.73,51.60,194.5114,851.6902
