SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
780.0,FWD,1337935.5034,6070318.2192,1427878.0721,1337935.5599,6070317.2377,1427877.5071,-56.483,+981.527,+564.972,+266.423,+337.219,+1049.324,1133.922,4,0,0,2.0909,-0.1383,1.9525,310.43,18.099
810.0,FWD,1337935.5394,6070318.1492,1427878.0232,1337935.5599,6070317.2377,1427877.5071,-20.458,+911.470,+516.137,+216.163,+303.307,+979.220,1047.660,4,0,0,2.0909,-0.1439,1.9469,639.94,60.931
840.0,FWD,1337935.5655,6070318.1273,1427877.9998,1337935.5599,6070317.2377,1427877.5071,+5.614,+889.578,+492.717,+185.991,+284.041,+958.581,1016.932,4,0,0,2.0909,-0.1519,1.9390,324.40,23.980
870.0,FWD,1337935.5684,6070318.0631,1427877.9766,1337935.5599,6070317.2377,1427877.5071,+8.458,+825.377,+469.527,+169.394,+275.436,+892.869,949.618,4,0,0,2.0909,-0.1449,1.9459,669.63,45.808
900.0,FWD,1337935.5584,6070317.9714,1427877.9543,1337935.5599,6070317.2377,1427877.5071,-1.542,+733.718,+447.240,+159.431,+274.375,+798.542,859.284,4,0,0,2.0909,-0.1401,1.9507,747.51,61.272
930.0,FWD,1337935.5767,6070317.9350,1427877.9361,1337935.5599,6070317.2377,1427877.5071,+16.793,+697.261,+428.970,+133.679,+263.707,+763.583,818.823,4,0,0,2.0909,-0.1511,1.9397,577.45,29.311
960.0,FWD,1337935.5598,6070317.9384,1427877.9297,1337935.5599,6070317.2377,1427877.5071,-0.106,+700.715,+422.644,+150.925,+257.604,+761.900,818.309,4,0,0,2.0909,-0.1664,1.9244,904.85,18.036
990.0,FWD,1337935.5514,6070317.9271,1427877.9224,1337935.5599,6070317.2377,1427877.5071,-8.480,+689.444,+415.273,+156.677,+253.308,+747.760,804.896,4,0,0,2.0909,-0.1725,1.9183,478.61,11.631
1020.0,FWD,1337935.5443,6070317.8413,1427877.9013,1337935.5599,6070317.2377,1427877.5071,-15.616,+603.572,+394.184,+145.162,+252.002,+659.808,721.058,4,0,0,2.0909,-0.1568,1.9340,745.49,57.954
1050.0,FWD,1337935.5529,6070317.7844,1427877.8758,1337935.5599,6070317.2377,1427877.5071,-7.034,+546.663,+368.658,+124.533,+239.238,+601.710,659.393,4,0,0,2.0909,-0.1394,1.9515,198.85,42.802
1080.0,FWD,1337935.5288,6070317.7633,1427877.8719,1337935.5599,6070317.2377,1427877.5071,-31.072,+525.644,+364.831,+143.483,+241.299,+575.809,640.600,4,0,0,2.0909,-0.1273,1.9636,489.62,13.990
1110.0,FWD,1337935.5209,6070317.7505,1427877.8672,1337935.5599,6070317.2377,1427877.5071,-39.017,+512.807,+360.109,+148.479,+239.909,+560.865,627.831,4,0,0,2.0909,-0.1228,1.9681,378.77,8.974
1140.0,FWD,1337935.5193,6070317.6834,1427877.8452,1337935.5599,6070317.2377,1427877.5071,-40.619,+445.749,+338.085,+135.610,+233.284,+491.764,560.931,4,0,0,2.0909,-0.1071,1.9837,368.07,46.992
1170.0,FWD,1337935.5502,6070317.6400,1427877.8202,1337935.5599,6070317.2377,1427877.5071,-9.660,+402.284,+313.134,+96.021,+217.037,+451.280,509.881,4,0,0,2.0909,-0.0859,2.0050,933.58,40.697
1200.0,FWD,1337935.5676,6070317.5941,1427877.7896,1337935.5599,6070317.2377,1427877.5071,+7.654,+356.357,+282.473,+69.228,+196.429,+404.306,454.797,4,0,0,2.0909,-0.0573,2.0336,1079.04,40.440
1230.0,FWD,1337935.5505,6070317.5109,1427877.7703,1337935.5599,6070317.2377,1427877.5071,-9.368,+273.166,+263.183,+67.945,+196.765,+317.238,379.438,4,0,0,2.0909,-0.0269,2.0640,749.90,56.677
1260.0,FWD,1337935.5545,6070317.4962,1427877.7581,1337935.5599,6070317.2377,1427877.5071,-5.426,+258.454,+251.018,+60.928,+187.959,+301.325,360.330,4,0,0,2.0909,-0.0090,2.0818,1013.08,16.226
1290.0,FWD,1337935.5386,6070317.4460,1427877.7439,1337935.5599,6070317.2377,1427877.5071,-21.286,+208.318,+236.776,+65.626,+185.884,+247.089,316.090,4,0,0,2.0909,0.0063,2.0971,520.17,33.828
1320.0,FWD,1337935.5473,6070317.3820,1427877.7263,1337935.5599,6070317.2377,1427877.5071,-12.624,+144.345,+219.236,+43.397,+182.451,+184.086,262.792,4,0,0,2.0909,0.0286,2.1194,859.84,48.037
1350.0,FWD,1337935.5567,6070317.3588,1427877.7121,1337935.5599,6070317.2377,1427877.5071,-3.209,+121.146,+205.044,+29.209,+173.271,+160.790,238.180,4,0,0,2.0909,0.0438,2.1346,364.33,21.364
1380.0,FWD,1337935.5636,6070317.3312,1427877.6971,1337935.5599,6070317.2377,1427877.5071,+3.726,+93.550,+189.967,+16.497,+164.317,+132.591,211.785,4,0,0,2.0909,0.0588,2.1497,328.88,23.486
1410.0,FWD,1337935.5505,6070317.3120,1427877.6887,1337935.5599,6070317.2377,1427877.5071,-9.415,+74.331,+181.567,+25.194,+161.000,+109.656,196.418,4,0,0,2.0909,0.0687,2.1595,740.47,13.617
1440.0,FWD,1337935.5328,6070317.2872,1427877.6804,1337935.5599,6070317.2377,1427877.5071,-27.096,+49.483,+173.275,+37.111,+159.246,+80.439,182.228,4,0,0,2.0909,0.0795,2.1704,556.46,17.036
1470.0,FWD,1337935.5332,6070317.2647,1427877.6730,1337935.5599,6070317.2377,1427877.5071,-26.673,+27.050,+165.921,+31.870,+156.997,+57.527,170.215,5,0,0,2.0909,0.0863,2.1771,257.79,14.989
1500.0,FWD,1337935.5219,6070317.2384,1427877.6683,1337935.5599,6070317.2377,1427877.5071,-37.987,+0.653,+161.156,+37.237,+158.710,+28.966,165.573,5,0,0,2.0909,0.0906,2.1815,459.24,17.377
1530.0,FWD,1337935.5048,6070317.2166,1427877.6667,1337935.5599,6070317.2377,1427877.5071,-55.119,-21.069,+159.618,+49.292,+162.823,+4.359,170.176,5,0,0,2.0909,0.0938,2.1846,473.60,17.483
1560.0,FWD,1337935.4920,6070317.2114,1427877.6663,1337935.5599,6070317.2377,1427877.5071,-67.852,-26.316,+159.196,+60.597,+164.184,-3.398,175.042,5,0,0,2.0909,0.0925,2.1833,560.97,8.528
1590.0,FWD,1337935.4848,6070317.2042,1427877.6676,1337935.5599,6070317.2377,1427877.5071,-75.110,-33.501,+160.526,+66.139,+167.412,-11.458,180.368,5,0,0,2.0909,0.0897,2.1806,922.26,7.836
1620.0,FWD,1337935.4909,6070317.2044,1427877.6660,1337935.5599,6070317.2377,1427877.5071,-68.977,-33.320,+158.916,+60.189,+165.506,-10.362,176.415,5,0,0,2.0909,0.0840,2.1748,691.09,7.409
1650.0,FWD,1337935.5170,6070317.2240,1427877.6579,1337935.5599,6070317.2377,1427877.5071,-42.874,-13.651,+150.788,+38.931,+151.993,+11.995,157.358,5,0,0,2.0909,0.0815,2.1724,1405.85,19.759
1680.0,FWD,1337935.5385,6070317.2597,1427877.6582,1337935.5599,6070317.2377,1427877.5071,-21.354,+22.046,+151.099,+25.599,+143.399,+50.542,154.185,5,0,0,2.0909,0.0774,2.1682,613.41,24.979
1710.0,FWD,1337935.5422,6070317.2634,1427877.6551,1337935.5599,6070317.2377,1427877.5071,-17.736,+25.661,+147.968,+22.844,+139.378,+54.035,151.221,5,0,0,2.0909,0.0741,2.1650,481.45,5.878
1740.0,FWD,1337935.5393,6070317.2470,1427877.6535,1337935.5599,6070317.2377,1427877.5071,-20.567,+9.340,+146.416,+22.095,+141.593,+37.563,148.148,5,0,0,2.0909,0.0720,2.1629,318.85,11.276
1770.0,FWD,1337935.5356,6070317.2388,1427877.6471,1337935.5599,6070317.2377,1427877.5071,-24.251,+1.103,+139.987,+23.920,+137.321,+27.505,142.077,5,0,0,2.0909,0.0683,2.1592,571.86,11.132
1800.0,FWD,1337935.5156,6070317.2320,1427877.6537,1337935.5599,6070317.2377,1427877.5071,-44.281,-5.747,+146.617,+42.006,+146.259,+18.281,153.265,5,0,0,2.0909,0.0580,2.1489,1185.04,16.388
1830.0,FWD,1337935.5141,6070317.2419,1427877.6539,1337935.5599,6070317.2377,1427877.5071,-45.781,+4.244,+146.813,+45.621,+144.324,+27.516,153.844,5,0,0,2.0909,0.0555,2.1463,745.01,6.843
1860.0,FWD,1337935.5255,6070317.2756,1427877.6558,1337935.5599,6070317.2377,1427877.5071,-34.397,+37.927,+148.652,+41.754,+138.152,+62.365,157.223,5,0,0,2.0909,0.0481,2.1390,627.89,22.917
1890.0,FWD,1337935.5259,6070317.2968,1427877.6603,1337935.5599,6070317.2377,1427877.5071,-34.042,+59.135,+153.230,+45.972,+137.929,+83.650,167.736,5,0,0,2.0909,0.0417,2.1326,586.50,15.416
