SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
11880,E03,-0.081994,0.054897,0.139971,0.460493,1,1
11910,E02,0.053580,0.086706,0.033859,0.335462,1,1
11910,E03,-0.079017,0.054759,0.136753,0.458139,1,1
11940,E02,0.054222,0.083731,0.030151,0.335120,1,1
11940,E03,-0.076183,0.052833,0.131850,0.456218,1,1
11970,E02,0.054831,0.083136,0.028914,0.333527,1,1
11970,E03,-0.073529,0.049324,0.125507,0.455272,1,1
12000,E02,0.055516,0.088471,0.033640,0.336250,1,1
12000,E03,-0.071044,0.045860,0.119389,0.454335,1,1
12030,E02,0.056159,0.087445,0.031930,0.334791,1,1
12030,E03,-0.068689,0.043532,0.114576,0.452707,1,1
12060,E02,0.056795,0.088036,0.031877,0.333247,1,1
12060,E03,-0.066496,0.039794,0.108483,0.452083,1,1
12090,E02,0.057486,0.092323,0.035528,0.334568,1,1
12090,E03,-0.064338,0.041505,0.108001,0.450239,1,1
12120,E02,0.058240,0.097599,0.040113,0.337403,1,1
12120,E03,-0.062196,0.044222,0.108560,0.448946,1,1
12150,E02,0.059025,0.100679,0.042439,0.337345,1,1
12150,E03,-0.060080,0.046328,0.108524,0.447344,1,1
12180,E02,0.059765,0.099384,0.040359,0.336063,1,1
12180,E03,-0.058028,0.046083,0.106162,0.445256,1,1
12210,E02,0.060491,0.099668,0.039903,0.334546,1,1
12210,E03,-0.056125,0.042178,0.100206,0.445027,1,1
12240,E02,0.061217,0.100695,0.040204,0.333209,1,1
12240,E03,-0.054348,0.038789,0.094914,0.444378,1,1
12270,E02,0.061861,0.097518,0.036301,0.333403,1,1
12270,E03,-0.052645,0.037531,0.091880,0.442549,1,1
12300,E02,0.062483,0.097151,0.035290,0.331947,1,1
12300,E03,-0.050994,0.037161,0.089806,0.440568,1,1
12330,E02,0.063165,0.102735,0.040252,0.335776,1,1
12330,E03,-0.049371,0.038077,0.089071,0.438703,1,1
12360,E02,0.063846,0.103566,0.040401,0.334431,1,1
12360,E03,-0.047823,0.036406,0.085777,0.437115,1,1
12390,E02,0.064444,0.100022,0.036176,0.335148,1,1
12390,E03,-0.046315,0.036456,0.084279,0.435194,1,1
12420,E02,0.064965,0.096528,0.032084,0.335828,1,1
12420,E03,-0.044870,0.035131,0.081446,0.433528,1,1
12450,E02,0.065459,0.095618,0.030653,0.334547,1,1
12450,E03,-0.043436,0.036726,0.081596,0.431994,1,1
12480,E02,0.065978,0.098017,0.032558,0.334156,1,1
12480,E03,-0.042016,0.038122,0.081559,0.430407,1,1
12510,E02,0.066463,0.096637,0.030658,0.333102,1,1
12510,E03,-0.040657,0.036743,0.078759,0.428839,1,1
