sod,sat,const,el_deg,wu_m,wu_ok,trop_zhd_m,tropo_ok,dtrel_m,rel_ok,shapiro_m,shp_ok,setm_m,set_ok,sat_apc_m,rec_apc_m,apc_ok,pcv_sat_m,pcv_rec_m,pcv_ok,sagnac_m,sag_ok,PASS
60.0,G31,G,24.3074,0.035905,1,5.0447,1,-5.010742,1,0.015570,1,-0.000001,1,-0.817631,-0.016836,1,0.040600,-0.007000,1,-15.737916,1,1
90.0,E04,E,24.5934,0.006454,1,4.9904,1,0.097975,1,0.016594,1,-0.000001,1,-1.013051,-0.018702,1,-0.013862,-0.010522,1,-35.199515,1,1
90.0,E05,E,19.6275,0.061304,1,6.1598,1,-0.102663,1,0.017109,1,-0.000001,1,-1.083292,-0.018272,1,-0.015527,-0.006918,1,24.265488,1,1
90.0,E09,E,41.6325,0.046405,1,3.1398,1,-0.216558,1,0.015193,1,-0.000001,1,-0.994459,-0.032666,1,-0.015031,-0.014767,1,-8.229435,1,1
90.0,E16,E,62.8504,-0.052583,1,2.3472,1,0.064608,1,0.014096,1,-0.000002,1,-1.023506,-0.043398,1,-0.012545,-0.009302,1,-3.256033,1,1
90.0,G01,G,25.5906,-0.060239,1,4.8107,1,0.411223,1,0.015519,1,-0.000001,1,-1.911737,-0.022289,1,0.042400,-0.007846,1,24.608857,1,1
90.0,G03,G,61.5729,0.066813,1,2.3748,1,-4.299122,1,0.013167,1,-0.000002,1,-1.509182,-0.040997,1,0.023500,-0.009916,1,11.181338,1,1
90.0,G04,G,26.4103,0.057057,1,4.6734,1,2.421116,1,0.015452,1,-0.000001,1,-1.897028,-0.020823,1,0.042400,-0.008281,1,13.911898,1,1
90.0,G08,G,16.2697,-0.044602,1,7.3513,1,7.882003,1,0.016488,1,-0.000001,1,-1.352097,-0.013395,1,0.023500,0.000130,1,-2.911155,1,1
90.0,G16,G,70.5603,-0.063635,1,2.2152,1,5.998526,1,0.012786,1,-0.000002,1,-1.383454,-0.042137,1,0.006400,-0.005569,1,-10.086457,1,1
90.0,G26,G,39.6992,0.035014,1,3.2649,1,-1.616445,1,0.014251,1,-0.000001,1,-1.367397,-0.027241,1,0.023500,-0.013011,1,-16.681533,1,1
90.0,G27,G,22.3653,-0.033818,1,5.4506,1,9.788604,1,0.015820,1,-0.000001,1,-1.337084,-0.016449,1,0.023500,-0.005507,1,-19.308394,1,1
90.0,G31,G,24.1689,0.035722,1,5.0714,1,-5.035132,1,0.015584,1,-0.000001,1,-0.817588,-0.016727,1,0.040600,-0.006893,1,-15.844865,1,1
120.0,E04,E,24.5745,0.006279,1,4.9939,1,0.098548,1,0.016596,1,-0.000001,1,-1.013019,-0.018683,1,-0.013862,-0.010509,1,-35.238836,1,1
120.0,E05,E,19.7009,0.061226,1,6.1382,1,-0.102663,1,0.017101,1,-0.000001,1,-1.083380,-0.018327,1,-0.015527,-0.006993,1,24.168994,1,1
120.0,E09,E,41.6896,0.046259,1,3.1363,1,-0.216297,1,0.015189,1,-0.000001,1,-0.994469,-0.032696,1,-0.015031,-0.014767,1,-8.325159,1,1
120.0,E16,E,63.0622,-0.052588,1,2.3428,1,0.065389,1,0.014088,1,-0.000002,1,-1.023610,-0.043482,1,-0.012545,-0.009196,1,-3.256348,1,1
120.0,G01,G,25.4915,-0.060162,1,4.8279,1,0.415278,1,0.015528,1,-0.000001,1,-1.911684,-0.022215,1,0.042400,-0.007793,1,24.558715,1,1
120.0,G03,G,61.7615,0.066884,1,2.3706,1,-4.303063,1,0.013160,1,-0.000002,1,-1.509327,-0.041072,1,0.023500,-0.009829,1,11.173488,1,1
120.0,G04,G,26.5349,0.056971,1,4.6533,1,2.424603,1,0.015440,1,-0.000001,1,-1.897098,-0.020903,1,0.042400,-0.008347,1,13.801298,1,1
120.0,G08,G,16.3875,-0.044505,1,7.3014,1,7.883896,1,0.016474,1,-0.000001,1,-1.352150,-0.013476,1,0.023500,0.000009,1,-3.008965,1,1
120.0,G16,G,70.5098,-0.063966,1,2.2159,1,5.961159,1,0.012787,1,-0.000002,1,-1.383424,-0.042119,1,0.006400,-0.005593,1,-10.097482,1,1
120.0,G26,G,39.4922,0.034865,1,3.2791,1,-1.649078,1,0.014266,1,-0.000001,1,-1.367321,-0.027111,1,0.023500,-0.012965,1,-16.703012,1,1
120.0,G27,G,22.4708,-0.033688,1,5.4267,1,9.787145,1,0.015808,1,-0.000001,1,-1.337030,-0.016518,1,0.023500,-0.005588,1,-19.380233,1,1
120.0,G31,G,24.0309,0.035540,1,5.0984,1,-5.059379,1,0.015598,1,-0.000001,1,-0.817546,-0.016619,1,0.040600,-0.006787,1,-15.951872,1,1
150.0,E04,E,24.5555,0.006105,1,4.9975,1,0.099159,1,0.016598,1,-0.000001,1,-1.012987,-0.018664,1,-0.013862,-0.010495,1,-35.277760,1,1
150.0,E05,E,19.7746,0.061148,1,6.1167,1,-0.102636,1,0.017093,1,-0.000001,1,-1.083468,-0.018383,1,-0.015527,-0.007069,1,24.072432,1,1
150.0,E09,E,41.7469,0.046112,1,3.1328,1,-0.216005,1,0.015185,1,-0.000001,1,-0.994478,-0.032726,1,-0.015031,-0.014767,1,-8.420646,1,1
150.0,E16,E,63.2741,-0.052594,1,2.3384,1,0.066207,1,0.014081,1,-0.000002,1,-1.023714,-0.043566,1,-0.012545,-0.009091,1,-3.256551,1,1
150.0,G01,G,25.3924,-0.060085,1,4.8453,1,0.419364,1,0.015538,1,-0.000001,1,-1.911631,-0.022141,1,0.042400,-0.007741,1,24.508135,1,1
150.0,G03,G,61.9489,0.066956,1,2.3665,1,-4.306879,1,0.013153,1,-0.000002,1,-1.509468,-0.041146,1,0.023500,-0.009744,1,11.165779,1,1
150.0,G04,G,26.6599,0.056885,1,4.6333,1,2.428078,1,0.015429,1,-0.000001,1,-1.897170,-0.020984,1,0.042400,-0.008413,1,13.690760,1,1
150.0,G08,G,16.5058,-0.044409,1,7.2520,1,7.885678,1,0.016460,1,-0.000001,1,-1.352203,-0.013558,1,0.023500,-0.000112,1,-3.106498,1,1
150.0,G16,G,70.4554,-0.064309,1,2.2167,1,5.923717,1,0.012788,1,-0.000002,1,-1.383393,-0.042099,1,0.006400,-0.005618,1,-10.108534,1,1
150.0,G26,G,39.2851,0.034719,1,3.2934,1,-1.681645,1,0.014281,1,-0.000001,1,-1.367247,-0.026980,1,0.023500,-0.012918,1,-16.724673,1,1
150.0,G27,G,22.5764,-0.033557,1,5.4031,1,9.785542,1,0.015797,1,-0.000001,1,-1.336975,-0.016587,1,0.023500,-0.005669,1,-19.451666,1,1
150.0,G31,G,23.8933,0.035358,1,5.1256,1,-5.083494,1,0.015612,1,-0.000001,1,-0.817504,-0.016511,1,0.040600,-0.006681,1,-16.058933,1,1
180.0,E04,E,24.5363,0.005932,1,5.0011,1,0.099795,1,0.016600,1,-0.000001,1,-1.012956,-0.018646,1,-0.013862,-0.010482,1,-35.316287,1,1
180.0,E05,E,19.8487,0.061069,1,6.0952,1,-0.102590,1,0.017085,1,-0.000001,1,-1.083556,-0.018438,1,-0.015527,-0.007145,1,23.975806,1,1
180.0,E09,E,41.8044,0.045965,1,3.1293,1,-0.215692,1,0.015181,1,-0.000001,1,-0.994487,-0.032757,1,-0.015031,-0.014767,1,-8.515894,1,1
180.0,E16,E,63.4861,-0.052600,1,2.3341,1,0.067050,1,0.014073,1,-0.000002,1,-1.023817,-0.043650,1,-0.012545,-0.008986,1,-3.256645,1,1
180.0,G01,G,25.2933,-0.060008,1,4.8628,1,0.423469,1,0.015547,1,-0.000001,1,-1.911579,-0.022068,1,0.042400,-0.007688,1,24.457114,1,1
180.0,G03,G,62.1349,0.067028,1,2.3625,1,-4.310585,1,0.013146,1,-0.000002,1,-1.509604,-0.041219,1,0.023500,-0.009658,1,11.158208,1,1
180.0,G04,G,26.7853,0.056799,1,4.6135,1,2.431532,1,0.015417,1,-0.000001,1,-1.897243,-0.021064,1,0.042400,-0.008480,1,13.580285,1,1
180.0,G08,G,16.6247,-0.044313,1,7.2031,1,7.887337,1,0.016446,1,-0.000001,1,-1.352255,-0.013641,1,0.023500,-0.000234,1,-3.203751,1,1
180.0,G16,G,70.3972,-0.064665,1,2.2175,1,5.886188,1,0.012790,1,-0.000002,1,-1.383359,-0.042078,1,0.006400,-0.005646,1,-10.119614,1,1
180.0,G26,G,39.0778,0.034574,1,3.3080,1,-1.714157,1,0.014296,1,-0.000001,1,-1.367173,-0.026848,1,0.023500,-0.012872,1,-16.746517,1,1
180.0,G27,G,22.6822,-0.033426,1,5.3796,1,9.783781,1,0.015786,1,-0.000001,1,-1.336919,-0.016656,1,0.023500,-0.005750,1,-19.522692,1,1
180.0,G31,G,23.7562,0.035177,1,5.1531,1,-5.107488,1,0.015626,1,-0.000001,1,-0.817462,-0.016403,1,0.040600,-0.006576,1,-16.166045,1,1
210.0,E04,E,24.5170,0.005761,1,5.0048,1,0.100446,1,0.016602,1,-0.000001,1,-1.012924,-0.018627,1,-0.013862,-0.010468,1,-35.354416,1,1
210.0,E05,E,19.9231,0.060991,1,6.0739,1,-0.102531,1,0.017077,1,-0.000001,1,-1.083642,-0.018494,1,-0.015527,-0.007221,1,23.879116,1,1
210.0,E09,E,41.8621,0.045816,1,3.1258,1,-0.215365,1,0.015178,1,-0.000001,1,-0.994497,-0.032787,1,-0.015031,-0.014768,1,-8.610900,1,1
210.0,E16,E,63.6982,-0.052607,1,2.3298,1,0.067909,1,0.014066,1,-0.000002,1,-1.023919,-0.043733,1,-0.012545,-0.008880,1,-3.256630,1,1
