SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
64860.0,FWD,1337935.6112,6070317.0857,1427877.4718,1337935.5599,6070317.2377,1427877.5071,+51.287,-151.966,-35.292,-82.794,-3.435,-141.785,164.224,13,4,0,2.0909,0.1153,2.2062,2681.74,183.287
64890.0,FWD,1337935.6065,6070317.0859,1427877.4672,1337935.5599,6070317.2377,1427877.5071,+46.644,-151.773,-39.881,-78.218,-7.723,-143.608,163.710,12,4,0,2.0909,0.1150,2.2058,2837.60,141.769
64920.0,FWD,1337935.6065,6070317.0860,1427877.4672,1337935.5599,6070317.2377,1427877.5071,+46.583,-151.749,-39.854,-78.154,-7.699,-143.593,163.665,12,4,0,2.0909,0.1150,2.2059,3202.34,166.257
64950.0,FWD,1337935.6064,6070317.0860,1427877.4673,1337935.5599,6070317.2377,1427877.5071,+46.547,-151.744,-39.841,-78.117,-7.686,-143.593,163.647,12,4,0,2.0909,0.1150,2.2059,2956.15,114.101
64980.0,FWD,1337935.6064,6070317.0859,1427877.4673,1337935.5599,6070317.2377,1427877.5071,+46.535,-151.759,-39.838,-78.109,-7.678,-143.608,163.656,12,4,0,2.0909,0.1151,2.2059,2790.73,295.387
65010.0,FWD,1337935.6064,6070317.0859,1427877.4673,1337935.5599,6070317.2377,1427877.5071,+46.510,-151.764,-39.829,-78.086,-7.668,-143.616,163.651,12,4,0,2.0909,0.1151,2.2059,2829.98,282.514
65040.0,FWD,1337935.6064,6070317.0859,1427877.4673,1337935.5599,6070317.2377,1427877.5071,+46.482,-151.764,-39.817,-78.058,-7.654,-143.620,163.640,12,4,0,2.0909,0.1151,2.2060,2857.74,298.122
65070.0,FWD,1337935.6063,6070317.0860,1427877.4673,1337935.5599,6070317.2377,1427877.5071,+46.438,-151.748,-39.789,-78.012,-7.629,-143.607,163.607,12,4,0,2.0909,0.1151,2.2060,2859.41,136.626
65100.0,FWD,1337935.6061,6070317.0860,1427877.4675,1337935.5599,6070317.2377,1427877.5071,+46.211,-151.731,-39.608,-77.787,-7.445,-143.598,163.483,12,4,0,2.0909,0.1153,2.2061,2807.47,159.876
65130.0,FWD,1337935.6039,6070317.0860,1427877.4679,1337935.5599,6070317.2377,1427877.5071,+44.007,-151.702,-39.158,-75.628,-6.906,-143.932,162.738,12,4,0,2.0909,0.1151,2.2059,2772.80,137.349
