epoch,sod,sat,sigma_N1_cm,raw_frac,bias,corr_frac,buf_n,frac_std,frozen
80,2400.0,G16,17.262,+0.11463,+0.00000,+0.11463,2,0.20721,N
90,2700.0,G03,17.507,+0.13378,+0.00000,+0.13378,0,0.79037,N
90,2700.0,G16,15.103,-0.28084,+0.00000,-0.28084,5,0.14271,N
100,3000.0,G03,15.784,+0.46894,+0.00000,+0.46894,0,0.54489,N
100,3000.0,G16,13.572,+0.34214,+0.00000,+0.34214,0,0.33916,N
110,3300.0,G03,14.854,+0.25318,+0.00000,+0.25318,1,0.42778,N
110,3300.0,G16,12.519,+0.28538,+0.00000,+0.28538,9,0.26750,N
120,3600.0,G03,14.074,+0.41165,+0.00000,+0.41165,2,0.09237,N
120,3600.0,G16,11.585,+0.09798,+0.00000,+0.09798,14,0.08062,N
130,3900.0,G03,13.272,+0.30801,+0.00000,+0.30801,3,0.13609,N
130,3900.0,G16,10.719,-0.00967,+0.00000,-0.00967,20,0.10235,N
140,4200.0,G03,12.443,+0.48711,+0.00000,+0.48711,1,0.18389,N
140,4200.0,G16,9.914,-0.15014,+0.00000,-0.15014,26,0.05886,N
150,4500.0,G03,11.614,+0.30782,+0.00000,+0.30782,3,0.13420,N
150,4500.0,G16,9.173,-0.25938,+0.00000,-0.25938,33,0.07726,N
160,4800.0,G03,10.798,+0.24772,+0.00000,+0.24772,4,0.16641,N
160,4800.0,G16,8.496,-0.39452,+0.00000,-0.39452,41,0.06556,N
170,5100.0,G03,10.037,+0.23114,+0.00000,+0.23114,5,0.08726,N
170,5100.0,G16,7.901,+0.40403,+0.00000,+0.40403,45,0.34106,N
180,5400.0,G03,8.259,+0.07121,+0.00000,+0.07121,7,0.09099,N
180,5400.0,G16,6.879,+0.17174,+0.00000,+0.17174,49,0.37825,N
190,5700.0,G03,5.875,-0.05759,+0.00000,-0.05759,9,0.05751,N
190,5700.0,G16,5.777,-0.17947,+0.00000,-0.17947,50,0.17373,N
200,6000.0,G03,5.366,-0.42814,+0.00000,-0.42814,10,0.15388,N
200,6000.0,G16,5.505,-0.48969,-0.43867,-0.05102,53,0.20629,N
210,6300.0,G03,5.082,+0.00564,+0.00000,+0.00564,11,0.29555,N
210,6300.0,G16,5.328,+0.29572,-0.43867,-0.26561,58,0.38665,N
220,6600.0,G03,4.879,-0.34850,+0.00000,-0.34850,12,0.29564,N
220,6600.0,G16,5.187,-0.12596,-0.43867,+0.31271,60,0.17604,N
230,6900.0,G03,4.716,+0.16613,+0.00000,+0.16613,13,0.29551,N
230,6900.0,G16,5.066,-0.49076,-0.43867,-0.05209,63,0.23675,N
240,7200.0,G03,4.578,-0.21462,+0.00000,-0.21462,14,0.27366,N
240,7200.0,G16,4.958,-0.04553,+0.40023,-0.44576,63,0.30147,N
250,7500.0,G03,4.457,+0.12053,+0.00000,+0.12053,14,0.24879,N
250,7500.0,G16,4.860,-0.43656,+0.40023,+0.16321,65,0.26150,N
260,7800.0,G03,4.350,-0.40543,+0.00000,-0.40543,15,0.29620,N
270,8100.0,G03,4.253,+0.08806,+0.00000,+0.08806,15,0.28942,N
280,8400.0,G03,4.165,-0.40515,+0.00000,-0.40515,15,0.27956,N
290,8700.0,G03,4.085,+0.08799,+0.00000,+0.08799,15,0.29064,N
300,9000.0,G03,4.011,+0.49442,+0.00000,+0.49442,15,0.31687,N
310,9300.0,G03,3.944,-0.02556,+0.00000,-0.02556,15,0.26389,N
320,9600.0,G03,3.882,+0.45131,+0.00000,+0.45131,15,0.28017,N
330,9900.0,G03,3.823,-0.13481,+0.00000,-0.13481,15,0.26902,N
340,10200.0,G03,3.768,+0.24458,+0.00000,+0.24458,15,0.28441,N
810,24300.0,G17,3.458,-0.40366,+0.00000,-0.40366,5,0.00955,N
820,24600.0,G17,3.409,+0.42092,+0.00000,+0.42092,11,0.06485,N
830,24900.0,G17,3.359,+0.26750,+0.00000,+0.26750,18,0.08482,N
840,25200.0,G17,3.311,+0.15405,+0.00000,+0.15405,27,0.08256,N
850,25500.0,G17,3.266,-0.07641,+0.00000,-0.07641,29,0.10151,N
860,25800.0,G17,3.224,-0.29461,+0.00000,-0.29461,33,0.12578,N
870,26100.0,G17,3.183,+0.43991,+0.00000,+0.43991,35,0.25174,N
880,26400.0,G17,3.144,+0.15415,+0.15171,+0.00245,37,0.35551,N
890,26700.0,G17,3.106,-0.10526,+0.13079,-0.23604,38,0.14474,N
900,27000.0,G17,3.071,-0.43786,+0.13079,+0.43135,38,0.17255,N
910,27300.0,G17,3.037,+0.21377,+0.13079,+0.08298,38,0.33995,N
920,27600.0,G17,3.004,-0.10489,+0.11561,-0.22051,39,0.22889,N
930,27900.0,G17,2.974,-0.40518,+0.11561,+0.47920,39,0.17575,N
940,28200.0,G17,2.944,+0.27048,+0.11561,+0.15486,39,0.34770,N
950,28500.0,G17,2.916,-0.07975,+0.11561,-0.19537,39,0.26204,N
960,28800.0,G17,2.888,-0.44936,+0.11561,+0.43502,39,0.20610,N
970,29100.0,G17,2.861,+0.16258,+0.11561,+0.04697,39,0.32643,N
980,29400.0,G17,2.835,-0.24725,+0.11561,-0.36287,39,0.25158,N
990,29700.0,G17,2.811,+0.28442,+0.11561,+0.16881,39,0.28828,N
1000,30000.0,G17,2.787,-0.22916,+0.11561,-0.34477,39,0.29276,N
1010,30300.0,G17,2.764,+0.24606,+0.11561,+0.13044,39,0.28418,N
1020,30600.0,G17,2.742,-0.26751,+0.11561,-0.38312,39,0.28451,N
1030,30900.0,G17,2.721,+0.17524,+0.11561,+0.05963,39,0.27909,N
1040,31200.0,G17,2.700,-0.39880,+0.11561,+0.48558,39,0.29440,N
1050,31500.0,G17,2.681,+0.03467,+0.11561,-0.08094,39,0.27265,N
1060,31800.0,G17,2.661,+0.43706,+0.11561,+0.32144,39,0.31798,N
1070,32100.0,G17,2.643,-0.16970,+0.11561,-0.28531,39,0.26884,N
1080,32400.0,G17,2.625,+0.19682,+0.11561,+0.08120,39,0.28514,N
1090,32700.0,G17,2.609,-0.46260,+0.11561,+0.42178,39,0.29304,N
1100,33000.0,G17,2.592,-0.13332,+0.11561,-0.24894,39,0.25447,N
1110,33300.0,G17,2.576,+0.19749,+0.11561,+0.08188,39,0.29292,N
1120,33600.0,G17,2.561,-0.47713,+0.11561,+0.40726,39,0.29348,N
1130,33900.0,G17,2.546,-0.15718,+0.11561,-0.27279,39,0.25607,N
1310,39300.0,G05,6.859,+0.23909,+0.00000,+0.23909,1,0.18505,N
1320,39600.0,G05,6.535,-0.07719,+0.00000,-0.07719,1,0.38185,N
1330,39900.0,G05,6.218,-0.45452,+0.00000,-0.45452,1,0.35148,N
1340,40200.0,G05,5.921,+0.19447,+0.00000,+0.19447,1,0.25426,N
1350,40500.0,G05,5.657,-0.23332,+0.00000,-0.23332,1,0.29194,N
1360,40800.0,G05,5.424,+0.33898,+0.00000,+0.33898,1,0.29622,N
1370,41100.0,G05,5.228,-0.15047,+0.00000,-0.15047,1,0.28738,N
1370,41100.0,G12,6.076,-0.39822,+0.00000,-0.39822,1,0.17165,N
1380,41400.0,G05,5.050,+0.29818,+0.00000,+0.29818,1,0.27766,N
1380,41400.0,G12,5.835,+0.41748,+0.00000,+0.41748,1,0.40298,N
1390,41700.0,G05,4.887,-0.25881,+0.00000,-0.25881,1,0.29529,N
1390,41700.0,G12,5.590,+0.29258,+0.00000,+0.29258,1,0.25757,N
1400,42000.0,G05,4.737,+0.06307,+0.00000,+0.06307,2,0.27955,N
1400,42000.0,G12,5.368,+0.02494,+0.00000,+0.02494,1,0.29228,N
1410,42300.0,G05,4.598,+0.46627,+0.00000,+0.46627,2,0.21365,N
