SOD,RTKLIB_X_m,RTKLIB_Y_m,RTKLIB_Z_m,PPP_X_m,PPP_Y_m,PPP_Z_m,PPP_minus_RTKLIB_X_cm,PPP_minus_RTKLIB_Y_cm,PPP_minus_RTKLIB_Z_cm,3D_Error_cm
0.0,1337935.8735,6070318.1919,1427876.6377,1337935.5177,6070317.0364,1427877.5166,-35.58000000193715,-115.55000003427267,87.88999998942018,149.47371342881175
30.0,1337937.1137,6070318.3956,1427876.7386,1337935.5177,6070317.0364,1427877.5166,-159.6000000135973,-135.92000007629395,77.79999999329448,223.60511269654955
60.0,1337938.4912,6070319.6007,1427877.3161,1337935.5177,6070317.0364,1427877.5166,-297.3500000080094,-256.4300000667572,20.050000003539026,393.16074313077365
90.0,1337938.863,6070319.9081,1427877.7865,1337935.5177,6070317.0364,1427877.5166,-334.5299999928102,-287.17000000178814,-26.989999995566905,441.7073577562154
120.0,1337938.7931,6070319.9796,1427878.0634,1337935.5177,6070317.0364,1427877.5166,-327.5399999925867,-294.3200000561774,-54.68000001274049,443.73034202047216
150.0,1337938.4977,6070319.6379,1427878.1289,1337935.5177,6070317.0364,1427877.5166,-297.99999999813735,-260.15000008046627,-61.22999999206513,400.2888150320775
180.0,1337938.1985,6070319.0524,1427878.0898,1337935.5177,6070317.0364,1427877.5166,-268.07999999728054,-201.60000007599592,-57.31999999843538,340.2866862353038
210.0,1337937.7737,6070318.7195,1427877.9049,1337935.5177,6070317.0364,1427877.5166,-225.6000000052154,-168.3100000023842,-38.82999999914318,284.132689078693
240.0,1337936.9453,6070318.2263,1427877.5581,1337935.5177,6070317.0364,1427877.5166,-142.76000000536442,-118.99000005796552,-4.150000005029142,185.89314192666717
270.0,1337936.006,6070317.4807,1427877.3881,1337935.5177,6070317.0364,1427877.5166,-48.83000000845641,-44.43000005558133,12.849999987520278,67.25709111643233
300.0,1337935.781,6070316.9378,1427877.3866,1337935.5177,6070317.0364,1427877.5166,-26.329999999143183,9.859999921172857,12.999999988824129,30.975611343601212
330.0,1337935.7809,6070316.8879,1427877.3659,1337935.5177,6070317.0364,1427877.5166,-26.319999992847443,14.84999991953373,15.06999998819083,33.769361807379674
360.0,1337935.7844,6070316.9094,1427877.3785,1337935.5177,6070317.0364,1427877.5166,-26.670000003650784,12.699999939650297,13.809999986551702,32.608204462840455
390.0,1337935.8084,6070316.8916,1427877.3739,1337935.5177,6070317.0364,1427877.5166,-29.070000001229346,14.479999989271164,14.269999996758997,35.473485868578926
420.0,1337935.8352,6070316.8903,1427877.3792,1337935.5177,6070317.0364,1427877.5166,-31.750000012107193,14.60999995470047,13.739999989047647,37.55399045566508
450.0,1337935.8807,6070316.877,1427877.3816,1337935.5177,6070317.0364,1427877.5166,-36.30000001285225,15.939999930560589,13.500000000931323,41.88106491894029
480.0,1337935.9373,6070316.8716,1427877.3987,1337935.5177,6070317.0364,1427877.5166,-41.960000013932586,16.47999994456768,11.78999999538064,46.59652454028357
510.0,1337935.9672,6070316.8481,1427877.4057,1337935.5177,6070317.0364,1427877.5166,-44.95000001043081,18.829999957233667,11.08999999705702,49.980591225613516
