SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
24420.0,G22,510.0035,765.0053,17.0001,20.4001,36.03,-968.12,-213.69
24420.0,G30,306.4968,459.7452,10.2166,12.2599,78.18,-91.49,50.26
24450.0,G01,802.9627,1204.4441,133.8271,160.5925,21.94,-2086.51,2560.20
24450.0,G06,498.2400,747.3600,16.6080,19.9296,37.02,-79.40,563.11
24450.0,G07,410.0830,615.1245,13.6694,16.4033,47.02,155.17,-24.82
24450.0,G13,575.4108,863.1161,19.1804,23.0164,31.42,-189.13,152.46
24450.0,G14,473.0702,709.6053,15.7690,18.9228,39.36,323.75,226.34
24450.0,G17,344.2460,516.3690,11.4749,13.7698,60.63,-332.10,-29.02
24450.0,G19,353.6404,530.4607,11.7880,14.1456,58.03,459.88,238.73
24450.0,G22,509.5228,764.2842,16.9841,20.3809,36.07,-9.64,41.40
24450.0,G30,306.5882,459.8824,10.2196,12.2635,78.10,213.28,209.40
24480.0,G01,807.4297,1211.1445,134.5716,161.4859,21.81,-449.59,-573.75
24480.0,G06,495.5731,743.3596,16.5191,19.8229,37.25,-408.38,64.40
24480.0,G07,411.3849,617.0774,13.7128,16.4554,46.82,-547.46,-430.62
24480.0,G13,574.6512,861.9767,19.1550,22.9860,31.47,-1383.12,-338.11
24480.0,G14,472.7602,709.1403,15.7587,18.9104,39.39,-252.71,-267.39
24480.0,G17,344.7916,517.1874,11.4931,13.7917,60.47,-557.56,-428.25
24480.0,G19,353.5284,530.2926,11.7843,14.1411,58.06,-251.66,-217.77
24480.0,G22,509.0406,763.5609,16.9680,20.3616,36.11,-134.82,-456.74
24480.0,G30,306.6862,460.0293,10.2229,12.2674,78.01,-506.89,-267.46
24510.0,G01,811.9741,1217.9611,135.3290,162.3948,21.68,197.56,86.94
24510.0,G06,492.9380,739.4070,16.4313,19.7175,37.49,49.10,825.80
24510.0,G07,412.7040,619.0560,13.7568,16.5082,46.63,0.22,279.12
24510.0,G13,573.9121,860.8681,19.1304,22.9565,31.52,-116.57,355.61
24510.0,G14,472.4496,708.6744,15.7483,18.8980,39.42,700.68,474.31
24510.0,G17,345.3432,518.0148,11.5114,13.8137,60.31,534.08,278.78
24510.0,G19,353.4226,530.1339,11.7808,14.1369,58.09,163.31,505.20
24510.0,G22,508.5569,762.8354,16.9519,20.3423,36.15,861.61,289.12
24510.0,G30,306.7907,460.1861,10.2264,12.2716,77.92,547.24,467.47
24540.0,G01,816.5975,1224.8962,136.0996,163.3195,21.55,-2621.41,2572.37
24540.0,G06,490.3344,735.5016,16.3445,19.6134,37.72,-644.68,413.56
24540.0,G07,414.0405,621.0607,13.8013,16.5616,46.43,-159.75,-187.90
24540.0,G13,573.1933,859.7899,19.1064,22.9277,31.56,149.53,-79.76
24540.0,G14,472.1384,708.2077,15.7379,18.8855,39.45,428.67,51.93
24540.0,G17,345.9007,518.8510,11.5300,13.8360,60.15,-317.76,-176.10
24540.0,G19,353.3231,529.9846,11.7774,14.1329,58.11,-360.07,58.77
24540.0,G22,508.0719,762.1078,16.9357,20.3229,36.19,-362.91,-108.96
24540.0,G30,306.9018,460.3527,10.2301,12.2761,77.83,393.10,54.80
24570.0,G01,821.3016,1231.9524,136.8836,164.2603,21.42,741.01,-352.00
24570.0,G06,487.7617,731.6426,16.2587,19.5105,37.96,-602.53,325.49
24570.0,G07,415.3945,623.0917,13.8465,16.6158,46.24,-215.96,-307.97
24570.0,G13,572.4947,858.7420,19.0832,22.8998,31.60,51.71,-141.73
24570.0,G14,471.8268,707.7402,15.7276,18.8731,39.48,324.31,14.91
24570.0,G17,346.4642,519.6963,11.5488,13.8586,59.98,-266.72,-326.39
24570.0,G19,353.2297,529.8446,11.7743,14.1292,58.14,-164.22,-93.80
24570.0,G22,507.5854,761.3781,16.9195,20.3034,36.23,-394.03,-250.60
24570.0,G30,307.0195,460.5292,10.2340,12.2808,77.72,47.72,-8.89
24600.0,G01,826.0881,1239.1322,137.6814,165.2176,21.29,1518.62,-197.76
24600.0,G06,485.2196,727.8294,16.1740,19.4088,38.19,23.87,489.91
24600.0,G07,416.7662,625.1493,13.8922,16.6706,46.04,-9.61,-188.07
24600.0,G13,571.8161,857.7242,19.0605,22.8726,31.64,283.35,56.06
24600.0,G14,471.5146,707.2720,15.7172,18.8606,39.51,-228.71,139.63
24600.0,G17,347.0336,520.5504,11.5678,13.8813,59.82,218.23,-222.71
24600.0,G19,353.1425,529.7138,11.7714,14.1257,58.16,-157.03,37.74
24600.0,G22,507.0975,760.6462,16.9032,20.2839,36.27,-801.27,-101.76
24600.0,G30,307.1437,460.7156,10.2381,12.2857,77.62,-281.16,123.78
24630.0,G01,830.9589,1246.4383,27.6986,33.2384,21.16,1292.80,-50.06
24630.0,G06,482.7075,724.0613,16.0903,19.3083,38.43,561.10,769.98
24630.0,G07,418.1559,627.2339,13.9385,16.7262,45.84,695.33,45.58
24630.0,G13,571.1574,856.7361,19.0386,22.8463,31.69,1279.51,325.80
24630.0,G14,471.2020,706.8030,15.7067,18.8481,39.54,-513.24,398.94
24630.0,G17,347.6090,521.4135,11.5870,13.9044,59.66,723.32,31.27
24630.0,G19,353.0615,529.5922,11.7687,14.1225,58.18,-207.22,284.11
24630.0,G22,506.6082,759.9122,16.8869,20.2643,36.31,227.98,143.31
24630.0,G30,307.2746,460.9119,10.2425,12.2910,77.51,121.58,380.87
24660.0,G01,835.9156,1253.8734,139.3193,167.1831,21.03,-1760.86,2480.53
24660.0,G06,480.2252,720.3377,16.0075,19.2090,38.66,-404.21,261.94
24660.0,G07,419.5639,629.3458,13.9855,16.7826,45.65,-112.17,-479.84
24660.0,G13,570.5184,855.7777,19.0173,22.8207,31.72,142.80,-163.75
24660.0,G14,470.8889,706.3334,15.6963,18.8356,39.58,-344.94,-150.78
24660.0,G17,348.1904,522.2856,11.6063,13.9276,59.50,-350.19,-477.87
24660.0,G19,352.9866,529.4799,11.7662,14.1195,58.20,-518.70,-283.58
24660.0,G22,506.1175,759.1762,16.8706,20.2447,36.35,-105.32,-414.21
24660.0,G30,307.4121,461.1182,10.2471,12.2965,77.39,-50.84,-160.71
24690.0,G01,840.9602,1261.4403,140.1600,168.1920,20.90,-731.70,25.39
24690.0,G06,477.7720,716.6580,15.9257,19.1109,38.90,-319.02,745.29
24690.0,G07,420.9902,631.4854,14.0330,16.8396,45.45,-155.26,-44.42
24690.0,G13,569.8991,854.8486,18.9966,22.7960,31.76,-265.05,325.25
24690.0,G14,470.5755,705.8632,15.6858,18.8230,39.61,831.87,347.16
24690.0,G17,348.7778,523.1666,11.6259,13.9511,59.33,-705.22,-21.67
24690.0,G19,352.9177,529.3766,11.7639,14.1167,58.22,256.18,200.49
24690.0,G22,505.6255,758.4382,16.8542,20.2250,36.39,747.44,80.71
24690.0,G30,307.5563,461.3345,10.2519,12.3023,77.27,360.55,339.75
24720.0,G01,846.0947,1269.1420,141.0158,169.2189,20.77,-621.65,-278.23
24720.0,G06,475.3477,713.0216,15.8449,19.0139,39.13,-771.40,621.60
24720.0,G07,422.4353,633.6529,14.0812,16.8974,45.25,-69.75,-194.56
24720.0,G13,569.2991,853.9487,18.9766,22.7720,31.80,272.94,150.17
24720.0,G14,470.2616,705.3923,15.6754,18.8105,39.64,125.72,267.00
24720.0,G17,349.3711,524.0567,11.6457,13.9748,59.17,-598.74,-110.91
24720.0,G19,352.8550,529.2825,11.7618,14.1142,58.23,631.93,118.40
24720.0,G22,505.1321,757.6981,16.8377,20.2053,36.43,728.55,-16.14
24720.0,G30,307.7072,461.5607,10.2569,12.3083,77.15,159.36,240.55
24750.0,G01,851.3209,1276.9814,141.8868,170.2642,20.63,-696.40,2517.74
24750.0,G06,472.9518,709.4278,15.7651,18.9181,39.37,-897.46,662.46
24750.0,G07,423.8992,635.8488,14.1300,16.9560,45.05,345.03,-179.37
24750.0,G13,568.7185,853.0778,18.9573,22.7487,31.84,405.61,265.18
24750.0,G14,469.9473,704.9210,15.6649,18.7979,39.67,-206.71,331.31
24750.0,G17,349.9705,524.9557,11.6657,13.9988,59.01,153.56,-110.69
24750.0,G19,352.7983,529.1974,11.7599,14.1119,58.25,563.87,224.88
24750.0,G22,504.6374,756.9560,16.8212,20.1855,36.48,633.94,137.54
24750.0,G30,307.8647,461.7971,10.2622,12.3146,77.02,-50.00,305.16
24780.0,G01,856.6411,1284.9616,142.7735,171.3282,20.50,-437.34,-338.27
24780.0,G06,470.5840,705.8760,15.6861,18.8234,39.61,-932.23,397.70
24780.0,G07,425.3823,638.0734,14.1794,17.0153,44.85,30.61,-424.81
24780.0,G13,568.1571,852.2356,18.9386,22.7263,31.87,-634.74,30.91
24780.0,G14,469.6327,704.4491,15.6544,18.7853,39.70,-115.80,63.93
24780.0,G17,350.5759,525.8638,11.6859,14.0230,58.84,80.29,-380.21
24780.0,G19,352.7476,529.1214,11.7583,14.1099,58.26,-99.64,-19.89
24780.0,G22,504.1413,756.2120,16.8047,20.1657,36.52,191.86,-120.72
24780.0,G30,308.0290,462.0435,10.2676,12.3212,76.89,-416.52,37.79
24810.0,G01,862.0573,1293.0859,143.6762,172.4115,20.37,-515.99,-93.07
24810.0,G06,468.2439,702.3658,15.6081,18.7298,39.84,-584.20,695.62
24810.0,G07,426.8847,640.3271,14.2295,17.0754,44.65,479.81,-161.53
24810.0,G13,567.6147,851.4221,18.9205,22.7046,31.91,-345.04,287.91
24810.0,G14,469.3178,703.9767,15.6439,18.7727,39.73,609.61,258.52
24810.0,G17,351.1873,526.7809,11.7062,14.0475,58.68,475.43,-102.28
24810.0,G19,352.7029,529.0543,11.7568,14.1081,58.27,348.07,250.07
24810.0,G22,503.6440,755.4660,16.7881,20.1458,36.56,641.93,201.16
24810.0,G30,308.2001,462.3001,10.2733,12.3280,76.75,60.37,241.09
24840.0,G01,867.5716,1301.3574,28.9191,34.7029,20.23,-1434.67,-485.05
24840.0,G06,465.9310,698.8965,15.5310,18.6372,40.08,-911.96,410.62
24840.0,G07,428.4068,642.6102,14.2802,17.1363,44.45,236.96,-469.23
24840.0,G13,567.0913,850.6369,18.9030,22.6837,31.94,-646.57,5.26
24840.0,G14,469.0025,703.5038,15.6334,18.7601,39.77,641.14,-6.32
24840.0,G17,351.8047,527.7071,11.7268,14.0722,58.51,196.57,-214.97
24840.0,G19,352.6641,528.9962,11.7555,14.1066,58.28,179.67,-24.83
24840.0,G22,503.1454,754.7181,16.7715,20.1258,36.60,116.92,-31.11
24840.0,G30,308.3779,462.5668,10.2793,12.3351,76.61,-152.10,-28.62
24870.0,G01,873.1864,1309.7796,29.1062,34.9275,20.09,-422.98,-744.97
24870.0,G06,463.6450,695.4675,15.4548,18.5458,40.32,-710.88,184.70
24870.0,G07,429.9488,644.9232,14.3316,17.1980,44.25,112.79,-655.42
24870.0,G13,566.5867,849.8800,18.8862,22.6635,31.97,-871.94,-190.77
24870.0,G14,468.6870,703.0306,15.6229,18.7475,39.80,-285.37,-197.96
24870.0,G17,352.4282,528.6423,11.7476,14.0971,58.35,165.49,-425.73
24870.0,G19,352.6314,528.9470,11.7544,14.1053,58.29,-619.23,-207.50
24870.0,G22,502.6456,753.9683,16.7549,20.1058,36.64,100.68,-199.04
24870.0,G30,308.5625,462.8438,10.2854,12.3425,76.47,-179.27,-205.31
24900.0,G01,878.9040,1318.3561,146.4840,175.7808,19.96,-1181.78,2515.46
24900.0,G06,461.3856,692.0784,15.3795,18.4554,40.56,-529.85,210.01
24900.0,G07,431.5109,647.2664,14.3837,17.2604,44.05,156.81,-594.76
24900.0,G13,566.1007,849.1511,18.8700,22.6440,32.00,-778.46,-194.53
24900.0,G14,468.3713,702.5570,15.6124,18.7349,39.83,-920.30,-179.32
24900.0,G17,353.0577,529.5865,11.7686,14.1223,58.18,-294.18,-441.14
24900.0,G19,352.6045,528.9068,11.7535,14.1042,58.30,-862.39,-209.36
24900.0,G22,502.1445,753.2167,16.7381,20.0858,36.69,-13.15,-182.94
24900.0,G30,308.7540,463.1309,10.2918,12.3502,76.32,163.79,-191.09
24930.0,G01,884.7269,1327.0903,147.4545,176.9454,19.82,766.40,-119.25
24930.0,G06,459.1524,688.7285,15.3051,18.3661,40.80,-782.73,625.06
24930.0,G07,433.0935,649.6402,14.4364,17.3237,43.84,223.28,-190.32
24930.0,G13,565.6334,848.4500,18.8544,22.6253,32.03,-505.82,189.85
24930.0,G14,468.0553,702.0830,15.6018,18.7222,39.86,83.67,208.25
24930.0,G17,353.6933,530.5399,11.7898,14.1477,58.02,-54.43,-49.07
24930.0,G19,352.5836,528.8753,11.7528,14.1033,58.31,-105.51,165.60
24930.0,G22,501.6421,752.4632,16.7214,20.0657,36.73,296.67,244.34
24930.0,G30,308.9523,463.4284,10.2984,12.3581,76.17,736.39,228.13
24960.0,G01,890.6574,1335.9861,148.4429,178.1315,19.68,1890.38,219.46
24960.0,G06,456.9450,685.4174,15.2315,18.2778,41.04,-92.20,1095.17
24960.0,G07,434.6967,652.0450,14.4899,17.3879,43.64,469.44,281.29
24960.0,G13,565.1845,847.7767,18.8395,22.6074,32.06,728.97,594.09
24960.0,G14,467.7392,701.6088,15.5913,18.7096,39.90,1287.53,682.04
24960.0,G17,354.3349,531.5023,11.8112,14.1734,57.85,534.99,423.48
24960.0,G19,352.5685,528.8527,11.7523,14.1027,58.31,483.21,628.17
24960.0,G22,501.1386,751.7079,16.7046,20.0455,36.77,647.64,703.03
24960.0,G30,309.1574,463.7361,10.3052,12.3663,76.02,777.80,729.24
24990.0,G01,896.6982,1345.0473,149.4497,179.3396,19.55,-12.44,2523.68
24990.0,G06,454.7631,682.1446,15.1588,18.1905,41.28,-402.80,558.01
24990.0,G07,436.3209,654.4813,14.5440,17.4528,43.44,-381.52,-263.93
24990.0,G13,564.7539,847.1309,18.8251,22.5902,32.09,451.33,60.67
24990.0,G14,467.4229,701.1343,15.5808,18.6969,39.93,1184.83,169.50
24990.0,G17,354.9826,532.4739,11.8328,14.1993,57.68,-152.12,-133.24
24990.0,G19,352.5593,528.8389,11.7520,14.1024,58.31,244.20,98.51
24990.0,G22,500.6339,750.9508,16.6878,20.0254,36.82,-144.40,133.73
24990.0,G30,309.3695,464.0542,10.3123,12.3748,75.86,-27.65,177.25
25020.0,G01,902.8519,1354.2779,150.4753,180.5704,19.41,-654.59,-90.19
25020.0,G06,452.6063,678.9095,15.0869,18.1043,41.52,-209.60,695.20
25020.0,G07,437.9663,656.9494,14.5989,17.5187,43.23,-275.48,-192.45
25020.0,G13,564.3416,846.5124,18.8114,22.5737,32.11,728.60,243.22
25020.0,G14,467.1064,700.6596,15.5702,18.6843,39.96,599.69,364.00
25020.0,G17,355.6364,533.4546,11.8545,14.2255,57.52,251.81,-35.16
25020.0,G19,352.5559,528.8339,11.7519,14.1022,58.31,487.97,241.53
25020.0,G22,500.1280,750.1920,16.6709,20.0051,36.86,-302.38,243.96
25020.0,G30,309.5885,464.3828,10.3196,12.3835,75.70,287.90,311.10
25050.0,G01,909.1213,1363.6820,151.5202,181.8243,19.27,59.38,-413.22
25050.0,G06,450.4744,675.7116,15.0158,18.0190,41.76,-554.10,487.18
25050.0,G07,439.6332,659.4498,14.6544,17.5853,43.03,250.44,-431.21
25050.0,G13,563.9474,845.9212,18.7982,22.5579,32.14,231.03,96.86
25050.0,G14,466.7898,700.1847,15.5597,18.6716,39.99,66.05,214.25
25050.0,G17,356.2963,534.4444,11.8765,14.2519,57.35,248.86,-147.69
25050.0,G19,352.5584,528.8375,11.7519,14.1023,58.31,-3.23,70.55
25050.0,G22,499.6209,749.4314,16.6540,19.9848,36.90,182.73,31.69
25050.0,G30,309.8145,464.7217,10.3271,12.3926,75.54,156.28,106.74
25080.0,G01,915.5093,1373.2639,152.5849,183.1019,19.13,-213.76,2531.34
25080.0,G06,448.3670,672.5505,14.9456,17.9347,42.00,-1164.85,674.76
25080.0,G07,441.3220,661.9830,14.7107,17.6529,42.83,399.41,-238.53
25080.0,G13,563.5713,845.3570,18.7857,22.5429,32.16,1.77,297.01
25080.0,G14,466.4731,699.7097,15.5491,18.6589,40.03,148.08,381.30
25080.0,G17,356.9623,535.4435,11.8987,14.2785,57.19,502.23,19.83
25080.0,G19,352.5666,528.8499,11.7522,14.1027,58.31,-325.67,234.89
25080.0,G22,499.1128,748.6691,16.6371,19.9645,36.95,521.55,245.59
25080.0,G30,310.0474,465.0711,10.3349,12.4019,75.37,59.47,303.69
25110.0,G01,922.0186,1383.0280,153.6698,184.4037,18.99,726.22,-501.46
25110.0,G06,446.2838,669.4257,14.8761,17.8514,42.24,-1481.66,222.08
25110.0,G07,443.0328,664.5493,14.7678,17.7213,42.62,-199.56,-612.80
25110.0,G13,563.2131,844.8197,18.7738,22.5285,32.19,368.94,-136.33
25110.0,G14,466.1564,699.2346,15.5385,18.6463,40.06,178.91,-8.28
25110.0,G17,357.6344,536.4516,11.9211,14.3054,57.02,-501.72,-324.85
25110.0,G19,352.5806,528.8709,11.7527,14.1032,58.31,-381.86,-202.02
25110.0,G22,498.6035,747.9052,16.6201,19.9441,36.99,-478.97,-127.57
25110.0,G30,310.2874,465.4311,10.3429,12.4115,75.20,-27.34,-118.87
25140.0,G01,928.6526,1392.9788,154.7754,185.7305,18.85,1173.77,-180.59
25140.0,G06,444.2245,666.3367,14.8075,17.7690,42.48,-745.41,527.73
25140.0,G07,444.7661,667.1492,14.8255,17.7906,42.42,347.21,-290.44
25140.0,G13,562.8728,844.3092,18.7624,22.5149,32.21,828.31,300.52
25140.0,G14,465.8396,698.7595,15.5280,18.6336,40.09,864.20,190.11
25140.0,G17,358.3127,537.4690,11.9438,14.3325,56.85,-383.14,-39.89
25140.0,G19,352.6004,528.9006,11.7533,14.1040,58.30,489.82,122.62
25140.0,G22,498.0931,747.1396,16.6031,19.9237,37.03,-321.10,199.90
25140.0,G30,310.5344,465.8016,10.3511,12.4214,75.03,-97.41,214.84
25170.0,G01,935.4141,1403.1212,31.1805,37.4166,18.71,1676.59,-418.08
25170.0,G06,442.1887,663.2831,14.7396,17.6875,42.72,-608.79,382.45
25170.0,G07,446.5221,669.7832,14.8841,17.8609,42.21,63.66,-391.16
25170.0,G13,562.5502,843.8253,18.7517,22.5020,32.23,-27.27,267.66
25170.0,G14,465.5229,698.2843,15.5174,18.6209,40.12,219.77,114.34
25170.0,G17,358.9971,538.4956,11.9666,14.3599,56.68,-137.43,-173.42
25170.0,G19,352.6259,528.9389,11.7542,14.1050,58.29,301.23,29.42
25170.0,G22,497.5816,746.3724,16.5861,19.9033,37.08,-32.82,39.43
25170.0,G30,310.7885,466.1827,10.3596,12.4315,74.86,-280.09,77.51
25200.0,G01,942.3066,1413.4598,31.4102,37.6923,18.56,1595.56,-309.32
25200.0,G06,440.1762,660.2644,14.6725,17.6070,42.96,102.33,520.17
25200.0,G07,448.3012,672.4518,14.9434,17.9320,42.00,47.34,-242.41
25200.0,G13,562.2452,843.3679,18.7415,22.4898,32.25,-962.66,405.84
25200.0,G14,465.2061,697.8092,15.5069,18.6082,40.16,368.18,309.53
25200.0,G17,359.6876,539.5314,11.9896,14.3875,56.52,257.08,-43.15
25200.0,G19,352.6571,528.9857,11.7552,14.1063,58.29,602.84,164.79
25200.0,G22,497.0691,745.6036,16.5690,19.8828,37.12,70.33,194.55
25200.0,G30,311.0496,466.5745,10.3683,12.4420,74.68,-105.79,223.04
25230.0,G01,949.3333,1424.0000,158.2222,189.8667,18.42,214.89,2503.24
25230.0,G06,438.1867,657.2801,14.6062,17.5275,43.21,-633.19,9.66
25230.0,G07,450.1036,675.1554,15.0035,18.0041,41.80,-486.22,-765.56
25230.0,G13,561.9579,842.9368,18.7319,22.4783,32.27,-946.74,-192.85
25230.0,G14,464.8894,697.3341,15.4963,18.5956,40.19,-833.14,-180.69
25230.0,G17,360.3843,540.5764,12.0128,14.4154,56.35,-521.15,-532.97
25230.0,G19,352.6940,529.0411,11.7565,14.1078,58.28,139.45,-347.95
25230.0,G22,496.5555,744.8333,16.5519,19.8622,37.17,81.26,-347.56
25230.0,G30,311.3180,466.9769,10.3773,12.4527,74.50,-352.19,-333.73
25260.0,G01,956.4978,1434.7467,159.4163,191.2996,18.28,-471.53,32.26
25260.0,G06,436.2199,654.3299,14.5407,17.4488,43.45,571.09,305.46
25260.0,G07,451.9297,677.8945,15.0643,18.0772,41.59,229.25,-160.05
25260.0,G13,561.6879,842.5319,18.7229,22.4675,32.28,344.28,395.46
25260.0,G14,464.5727,696.8591,15.4858,18.5829,40.22,-626.31,401.96
25260.0,G17,361.0872,541.6307,12.0362,14.4435,56.18,-189.90,65.81
25260.0,G19,352.7366,529.1050,11.7579,14.1095,58.27,163.13,296.73
25260.0,G22,496.0410,744.0615,16.5347,19.8416,37.21,645.43,298.04
25260.0,G30,311.5934,467.3901,10.3864,12.4637,74.32,264.67,274.72
25290.0,G01,963.8037,1445.7056,160.6340,192.7607,18.14,434.16,-77.13
25290.0,G06,434.2755,651.4132,14.4758,17.3710,43.69,873.27,438.79
25290.0,G07,453.7798,680.6697,15.1260,18.1512,41.38,-24.18,41.33
25290.0,G13,561.4354,842.1532,18.7145,22.4574,32.30,331.53,514.44
25290.0,G14,464.2562,696.3843,15.4752,18.5702,40.26,193.03,416.72
25290.0,G17,361.7962,542.6943,12.0599,14.4718,56.02,382.86,125.62
25290.0,G19,352.7849,529.1773,11.7595,14.1114,58.25,172.56,372.18
25290.0,G22,495.5254,743.2882,16.5175,19.8210,37.26,393.31,401.93
25290.0,G30,311.8761,467.8142,10.3959,12.4750,74.14,203.83,363.65
25320.0,G01,971.2548,1456.8821,161.8758,194.2510,17.99,1087.22,2493.43
25320.0,G06,432.3532,648.5298,14.4118,17.2941,43.94,-141.77,-92.57
25320.0,G07,455.6543,683.4815,15.1885,18.2262,41.18,-296.18,-577.67
25320.0,G13,561.2002,841.8004,18.7067,22.4480,32.31,-140.81,-100.41
25320.0,G14,463.9398,695.9097,15.4647,18.5576,40.29,307.97,-178.40
25320.0,G17,362.5115,543.7672,12.0837,14.5005,55.85,-215.68,-500.45
25320.0,G19,352.8388,529.2582,11.7613,14.1136,58.24,-141.42,-227.38
25320.0,G22,495.0089,742.5134,16.5003,19.8004,37.30,-295.25,-178.47
25320.0,G30,312.1660,468.2490,10.4055,12.4866,73.95,-474.76,-223.95
25350.0,G01,978.8548,1468.2822,163.1425,195.7710,17.85,-1277.33,-324.90
25350.0,G06,430.4527,645.6791,14.3484,17.2181,44.18,-297.65,131.07
25350.0,G07,457.5536,686.3303,15.2518,18.3021,40.97,264.82,-440.55
25350.0,G13,560.9823,841.4734,18.6994,22.4393,32.33,-55.08,61.88
25350.0,G14,463.6235,695.4353,15.4541,18.5449,40.32,922.07,33.48
25350.0,G17,363.2329,544.8494,12.1078,14.5293,55.68,-462.91,-344.30
25350.0,G19,352.8983,529.3474,11.7633,14.1159,58.22,-7.32,-38.26
25350.0,G22,494.4914,741.7372,16.4830,19.7797,37.35,-318.13,4.45
25350.0,G30,312.4632,468.6948,10.4154,12.4985,73.76,98.62,-60.86
25380.0,G01,986.6080,1479.9119,164.4347,197.3216,17.70,-1137.00,-376.15
25380.0,G06,428.5738,642.8608,14.2858,17.1430,44.43,-676.02,178.92
25380.0,G07,459.4779,689.2168,15.3159,18.3791,40.76,195.98,-437.46
25380.0,G13,560.7815,841.1722,18.6927,22.4313,32.34,-1126.14,52.91
25380.0,G14,463.3075,694.9612,15.4436,18.5323,40.35,124.72,22.92
25380.0,G17,363.9606,545.9409,12.1320,14.5584,55.51,-214.42,-355.79
25380.0,G19,352.9634,529.4451,11.7654,14.1185,58.21,3.30,-45.69
25380.0,G22,493.9730,740.9596,16.4658,19.7589,37.40,-405.83,5.90
25380.0,G30,312.7676,469.1515,10.4256,12.5107,73.57,143.31,-20.38
25410.0,G01,994.5183,1491.7775,33.1506,39.7807,17.56,-225.05,-353.39
25410.0,G06,426.7163,640.0744,14.2239,17.0687,44.67,-540.52,308.71
25410.0,G07,461.4276,692.1414,15.3809,18.4571,40.55,-59.47,-357.50
25410.0,G13,560.5977,840.8966,18.6866,22.4239,32.35,-766.16,165.01
25410.0,G14,462.9916,694.4874,15.4331,18.5197,40.39,-255.19,140.22
25410.0,G17,364.6945,547.0418,12.1565,14.5878,55.35,157.86,-315.43
25410.0,G19,353.0341,529.5512,11.7678,14.1214,58.19,-58.32,83.26
25410.0,G22,493.4537,740.1806,16.4485,19.7381,37.44,1.06,131.37
25410.0,G30,313.0794,469.6191,10.4360,12.5232,73.38,272.04,111.83
25440.0,G01,1002.5903,1503.8854,33.4197,40.1036,17.41,563.06,-243.93
25440.0,G06,424.8798,637.3196,14.1627,16.9952,44.92,-141.71,520.82
25440.0,G07,463.4032,695.1048,15.4468,18.5361,40.34,221.37,-190.88
25440.0,G13,560.4310,840.6465,18.6810,22.4172,32.36,405.25,359.60
25440.0,G14,462.6760,694.0140,15.4225,18.5070,40.42,341.00,335.85
25440.0,G17,365.4347,548.1520,12.1812,14.6174,55.18,378.39,-125.64
25440.0,G19,353.1104,529.6656,11.7703,14.1244,58.17,295.58,248.23
25440.0,G22,492.9335,739.4003,16.4311,19.7173,37.49,7.94,344.82
25440.0,G30,313.3986,470.0979,10.4466,12.5359,73.19,444.85,304.61
25470.0,G01,1010.8283,1516.2424,33.6943,40.4331,17.26,651.09,-675.93
25470.0,G06,423.0641,634.5961,14.1021,16.9226,45.16,-273.32,276.81
25470.0,G07,465.4049,698.1074,15.5135,18.6162,40.14,341.48,-450.79
25470.0,G13,560.2812,840.4218,18.6760,22.4112,32.37,82.40,132.11
25470.0,G14,462.3606,693.5409,15.4120,18.4944,40.45,-24.64,87.88
25470.0,G17,366.1811,549.2716,12.2060,14.6472,55.01,-374.40,-218.39
25470.0,G19,353.1922,529.7883,11.7731,14.1277,58.15,35.77,-33.59
25470.0,G22,492.4125,738.6187,16.4137,19.6965,37.53,-287.07,86.15
25470.0,G30,313.7251,470.5877,10.4575,12.5490,72.99,256.56,49.55
25500.0,G01,1019.2370,1528.8556,169.8728,203.8474,17.12,1530.12,2494.29
25500.0,G06,421.2689,631.9033,14.0423,16.8508,45.41,-408.52,243.23
25500.0,G07,467.4333,701.1499,15.5811,18.6973,39.93,802.13,-478.86
25500.0,G13,560.1483,840.2225,18.6716,22.4059,32.38,-443.16,64.96
25500.0,G14,462.0455,693.0683,15.4015,18.4818,40.49,276.45,40.15
25500.0,G17,366.9338,550.4007,12.2311,14.6774,54.84,-458.41,-322.53
25500.0,G19,353.2795,529.9193,11.7760,14.1312,58.12,-97.21,-127.19
25500.0,G22,491.8906,737.8359,16.3964,19.6756,37.58,-488.39,44.62
25500.0,G30,314.0591,471.0887,10.4686,12.5624,72.79,71.74,4.93
25530.0,G01,1027.8214,1541.7321,171.3036,205.5643,16.97,450.22,-199.01
25530.0,G06,419.4940,629.2411,13.9831,16.7798,45.66,-195.06,305.38
25530.0,G07,469.4886,704.2329,15.6496,18.7795,39.72,354.99,-402.61
25530.0,G13,560.0322,840.0483,18.6677,22.4013,32.39,-1274.21,109.74
25530.0,G14,461.7308,692.5962,15.3910,18.4692,40.52,439.55,83.98
25530.0,G17,367.6927,551.5391,12.2564,14.7077,54.68,-49.86,-339.42
25530.0,G19,353.3724,530.0586,11.7791,14.1349,58.10,-164.93,-106.07
25530.0,G22,491.3679,737.0518,16.3789,19.6547,37.63,-391.40,72.32
25530.0,G30,314.4006,471.6009,10.4800,12.5760,72.59,93.82,44.70
25560.0,G01,1036.5865,1554.8797,172.7644,207.3173,16.82,996.67,-280.33
25560.0,G06,417.7392,626.6089,13.9246,16.7096,45.90,-92.77,393.76
25560.0,G07,471.5713,707.3570,15.7190,18.8629,39.51,-63.03,-314.25
