SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
270.0,G16,318.8512,478.2767,10.6284,12.7540,70.20,-191.47,-342.75
270.0,G26,482.3891,723.5836,16.0796,19.2956,38.46,351.80,-249.01
270.0,G27,767.7746,1151.6618,25.5925,30.7110,23.00,24.48,-362.90
270.0,G31,756.9916,1135.4874,25.2331,30.2797,23.35,94.02,-346.41
300.0,G01,712.6421,1068.9631,23.7547,28.5057,24.90,-946.86,219.32
300.0,G03,337.1028,505.6541,11.2368,13.4841,62.87,288.11,213.81
300.0,G04,654.2911,981.4367,21.8097,26.1716,27.29,-743.30,199.66
300.0,G08,1019.9935,1529.9902,33.9998,40.7997,17.10,-304.98,315.52
300.0,G16,318.9985,478.4977,10.6333,12.7599,70.13,161.52,328.63
300.0,G26,484.6043,726.9064,16.1535,19.3842,38.25,375.86,472.35
300.0,G27,764.4304,1146.6456,25.4810,30.5772,23.11,-531.48,333.72
300.0,G31,761.1597,1141.7395,25.3720,30.4464,23.21,610.26,379.24
330.0,G01,715.3203,1072.9805,23.8440,28.6128,24.80,-906.09,-28.90
330.0,G03,336.5657,504.8486,11.2189,13.4626,63.04,-4.40,-20.11
330.0,G04,651.4825,977.2238,21.7161,26.0593,27.42,-29.76,-62.19
330.0,G16,319.1539,478.7309,10.6385,12.7662,70.05,-215.22,90.72
330.0,G26,486.8474,730.2711,16.2282,19.4739,38.04,-473.73,215.19
330.0,G27,761.1132,1141.6698,25.3704,30.4445,23.21,160.65,81.31
330.0,G31,765.3642,1148.0464,25.5121,30.6146,23.08,-26.74,181.10
360.0,G01,718.0223,1077.0334,23.9341,28.7209,24.70,-413.34,-129.10
360.0,G03,336.0382,504.0572,11.2013,13.4415,63.22,-238.37,-135.21
360.0,G04,648.6920,973.0379,21.6231,25.9477,27.55,-218.02,-215.84
360.0,G16,319.3174,478.9761,10.6439,12.7727,69.97,71.35,-45.20
360.0,G26,489.1188,733.6782,16.3040,19.5648,37.83,-599.47,48.89
360.0,G27,757.8228,1136.7342,25.2608,30.3129,23.32,-137.12,-16.24
360.0,G31,769.6057,1154.4086,25.6535,30.7842,22.94,520.41,69.21
390.0,G01,720.7481,1081.1221,24.0249,28.8299,24.60,465.43,90.27
390.0,G03,335.5201,503.2801,11.1840,13.4208,63.40,-249.55,67.37
390.0,G04,645.9193,968.8789,21.5306,25.8368,27.67,-322.10,11.97
390.0,G16,319.4891,479.2336,10.6496,12.7796,69.88,225.31,163.63
390.0,G26,491.4189,737.1283,16.3806,19.6568,37.62,151.25,229.70
390.0,G27,754.5590,1131.8385,25.1520,30.1824,23.43,-112.39,156.86
390.0,G31,773.8846,1160.8268,25.7962,30.9554,22.81,1198.69,250.78
420.0,G01,723.4979,1085.2468,24.1166,28.9399,24.50,-358.14,-139.07
420.0,G03,335.0114,502.5170,11.1670,13.4005,63.57,-179.94,-180.42
420.0,G04,643.1644,964.7466,21.4388,25.7266,27.80,-413.32,-151.44
420.0,G16,319.6688,479.5033,10.6556,12.7868,69.80,-236.06,-62.68
420.0,G26,493.7480,740.6221,16.4583,19.7499,37.42,450.08,10.17
420.0,G27,751.3216,1126.9824,25.0441,30.0529,23.53,-1239.10,-61.61
420.0,G31,778.2011,1167.3016,25.9400,31.1280,22.68,-195.26,44.07
450.0,G01,726.2719,1089.4078,24.2091,29.0509,24.40,114.84,11.20
450.0,G03,334.5120,501.7680,11.1504,13.3805,63.74,218.98,-28.92
450.0,G04,640.4272,960.6408,21.3476,25.6171,27.93,-52.60,12.38
450.0,G16,319.8568,479.7852,10.6619,12.7943,69.71,-266.10,81.90
450.0,G26,496.1067,744.1601,16.5369,19.8443,37.21,666.61,49.24
450.0,G27,748.1106,1122.1659,24.9370,29.9244,23.64,-822.98,64.17
450.0,G31,782.5557,1173.8336,26.0852,31.3022,22.54,-1186.65,59.32
480.0,G01,729.0702,1093.6053,24.3023,29.1628,24.30,1390.86,99.87
480.0,G02,1142.0177,1713.0265,190.3363,228.4035,15.23,-8883.94,2352.04
480.0,G03,334.0219,501.0329,11.1341,13.3609,63.92,-7.73,101.66
480.0,G04,637.7075,956.5613,21.2569,25.5083,28.06,-6.59,108.98
480.0,G16,320.0529,480.0794,10.6684,12.8021,69.61,-257.31,176.46
480.0,G26,498.4954,747.7431,16.6165,19.9398,37.00,196.46,168.02
480.0,G27,744.9257,1117.3885,24.8309,29.7970,23.75,322.37,151.74
480.0,G31,786.9489,1180.4234,26.2316,31.4780,22.41,464.32,96.56
