SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+529.129,+332.052,+1429.290,1559.841,10,0,0,0.1206,2608.48,nan
60.0,FWD,+223.556,+530.708,+1150.683,1286.740,10,0,0,0.1205,2498.32,nan
90.0,FWD,+149.475,+479.657,+763.935,914.336,10,0,0,0.1204,2181.76,214.727
120.0,FWD,+373.956,+131.467,+213.909,450.426,10,0,0,0.1204,2666.66,585.849
150.0,FWD,+498.349,+53.125,+131.718,518.192,10,0,0,0.1203,2142.68,269.178
180.0,FWD,+387.529,+136.597,+21.976,411.486,10,0,0,0.1203,2399.74,279.742
210.0,FWD,+368.767,+95.024,-8.229,380.902,10,0,0,0.1203,2266.93,288.414
240.0,FWD,+497.619,+4.192,-96.744,506.953,10,0,0,0.1203,2503.74,432.685
270.0,FWD,+541.633,-1.424,-108.456,552.386,11,0,0,0.1202,2486.77,341.235
300.0,FWD,+624.344,+104.378,+29.316,633.687,11,0,0,0.1202,2350.12,324.581
330.0,FWD,+478.152,+283.532,+152.562,576.450,11,0,0,0.1201,2181.35,275.600
360.0,FWD,+516.420,+282.939,+185.060,617.245,11,0,0,0.1201,2357.40,205.611
390.0,FWD,+546.816,+142.351,-139.002,581.887,11,0,0,0.1200,2608.36,396.535
420.0,FWD,+579.152,+148.512,-115.945,609.029,11,0,0,0.1200,2331.41,269.117
450.0,FWD,+572.978,+151.542,-148.805,611.074,11,0,0,0.1200,2464.27,286.027
480.0,FWD,+553.490,+159.831,-317.885,657.988,11,0,0,0.1200,2605.84,390.200
510.0,FWD,+553.309,+165.927,-337.747,669.146,11,0,0,0.1200,2506.91,342.758
540.0,FWD,+482.925,+141.657,-367.851,623.376,11,0,0,0.1200,2493.52,281.331
570.0,FWD,+426.183,+126.343,-377.859,583.414,11,0,0,0.1200,2813.59,298.407
600.0,FWD,+419.662,+107.459,-482.013,648.075,12,0,0,0.1198,2478.82,315.634
630.0,FWD,+527.718,+22.338,-402.460,664.048,12,0,0,0.1200,2637.01,352.955
660.0,FWD,+519.945,+38.930,-431.152,676.573,11,0,0,0.1205,2569.99,335.073
690.0,FWD,+514.141,+32.943,-387.182,644.466,11,0,0,0.1205,2357.43,338.224
720.0,FWD,+497.418,+27.586,-403.578,641.141,11,0,0,0.1205,2618.49,334.461
750.0,FWD,+507.044,+39.197,-361.926,624.196,11,0,0,0.1206,2466.93,358.637
780.0,FWD,+496.826,+108.119,-327.226,604.651,11,0,0,0.1206,2821.91,349.443
810.0,FWD,+503.815,+115.739,-352.892,625.906,11,0,0,0.1206,2608.29,309.435
840.0,FWD,+503.560,+115.784,-351.535,624.944,11,0,0,0.1206,2500.44,370.883
870.0,FWD,+529.203,+133.753,-384.432,667.633,11,2,0,0.1205,2552.22,311.337
900.0,FWD,+549.516,+148.436,-408.025,700.347,11,2,0,0.1205,2305.28,381.777
930.0,FWD,+536.862,+143.722,-404.767,687.542,11,2,0,0.1205,2453.07,312.842
960.0,FWD,+526.111,+135.482,-386.512,666.738,11,2,0,0.1205,2660.87,358.599
990.0,FWD,+521.540,+136.529,-398.956,670.679,12,2,0,0.1205,3267.24,467.321
1020.0,FWD,+232.580,-60.169,-51.391,245.672,12,2,0,0.1204,3011.06,350.000
1050.0,FWD,+187.263,-72.319,-74.171,214.006,12,2,0,0.1204,2833.34,383.679
1080.0,FWD,+189.455,-71.145,-70.916,214.439,14,2,0,0.1203,2445.72,350.950
1110.0,FWD,+192.682,-69.115,-68.790,215.952,14,2,0,0.1203,2289.40,361.462
1140.0,FWD,+192.697,-60.891,+29.036,204.164,14,2,0,0.1205,2470.54,341.811
1170.0,FWD,+197.930,-56.780,+12.903,206.317,14,2,0,0.1205,2766.80,389.189
1200.0,FWD,+199.846,-54.728,+8.118,207.363,14,2,0,0.1205,3982.16,332.806
1230.0,FWD,+213.459,-46.504,-11.624,218.775,14,2,0,0.1205,2699.52,523.708
1260.0,FWD,+214.759,-45.531,-8.486,219.697,14,2,0,0.1205,2936.67,333.305
1290.0,FWD,+214.656,-44.198,-8.670,219.331,14,2,0,0.1205,2422.98,368.620
1320.0,FWD,+242.551,-16.569,-6.581,243.205,14,2,0,0.1205,2553.89,344.703
1350.0,FWD,+242.602,-16.074,-8.773,243.292,14,2,0,0.1205,2360.51,322.670
1380.0,FWD,+239.326,-16.669,-6.593,239.996,14,2,0,0.1205,2456.60,314.165
1410.0,FWD,+235.319,-17.131,-5.467,236.005,14,2,0,0.1205,2424.94,492.258
1440.0,FWD,+233.743,-15.909,-8.623,234.443,14,2,0,0.1205,2731.50,375.632
1470.0,FWD,+233.109,-16.392,-2.309,233.696,14,2,0,0.1205,2699.64,506.472
1500.0,FWD,+228.533,-17.738,+1.550,229.225,14,2,0,0.1205,2953.87,534.620
1530.0,FWD,+226.072,-17.075,-6.765,226.817,14,2,0,0.1205,2625.46,399.265
1560.0,FWD,+229.323,-15.744,-7.653,229.991,14,2,0,0.1205,2481.07,344.909
1590.0,FWD,+244.287,+9.296,-174.169,300.162,14,2,0,0.1205,2675.28,316.064
1620.0,FWD,-109.275,-49.421,-103.850,158.645,14,2,0,0.1205,3017.23,364.688
1650.0,FWD,-105.259,-46.334,-121.271,167.132,14,2,0,0.1205,3343.63,359.611
1680.0,FWD,-104.916,-46.071,-121.567,167.058,14,2,0,0.1205,2982.49,488.544
1710.0,FWD,-102.852,-45.495,-122.706,166.448,14,2,0,0.1205,3387.63,470.456
1740.0,FWD,-100.474,-44.680,-123.209,165.142,14,2,0,0.1205,2508.55,369.751
1770.0,FWD,-99.878,-44.431,-123.030,164.579,14,2,0,0.1205,2747.79,411.744
1800.0,FWD,-100.579,-44.389,-122.563,164.645,15,2,0,0.1204,2810.10,348.233
1830.0,FWD,-100.188,-43.840,-122.801,164.437,15,2,0,0.1204,2588.24,349.537
1860.0,FWD,-113.555,-36.229,-107.154,160.278,15,2,0,0.1199,3282.58,405.370
1890.0,FWD,-112.549,-35.905,-108.252,160.235,15,2,0,0.1199,2749.40,361.441
1920.0,FWD,-110.283,-35.252,-110.032,159.725,14,5,0,0.1199,2625.17,368.870
1950.0,FWD,-92.258,-24.803,-118.565,152.264,13,5,0,0.1200,2371.95,395.740
1980.0,FWD,-91.549,-24.626,-119.293,152.376,13,5,0,0.1200,2487.59,495.390
2010.0,FWD,-91.416,-24.555,-119.516,152.460,13,5,0,0.1200,2723.26,625.326
