SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
780.0,FWD,1337935.9779,6070318.2238,1427878.3958,1337935.5599,6070317.2377,1427877.5071,+417.959,+986.105,+888.714,-195.913,+628.621,+1226.116,1391.728,11,0,0,2.0909,0.1195,2.2104,448.18,66.583
810.0,FWD,1337935.9700,6070318.1547,1427878.3839,1337935.5599,6070317.2377,1427877.5071,+410.067,+917.023,+876.752,-203.075,+632.548,+1156.038,1333.334,11,0,0,2.0909,0.1195,2.2103,419.04,106.270
840.0,FWD,1337935.9510,6070318.1056,1427878.3691,1337935.5599,6070317.2377,1427877.5071,+391.148,+867.938,+862.045,-195.164,+629.937,+1102.055,1284.303,11,0,0,2.0909,0.1194,2.2102,280.70,147.420
870.0,FWD,1337935.9196,6070318.0731,1427878.3759,1337935.5599,6070317.2377,1427877.5071,+359.740,+835.439,+868.833,-171.488,+645.225,+1066.076,1257.872,11,0,0,2.0909,0.1193,2.2101,325.57,80.435
900.0,FWD,1337935.9028,6070318.0638,1427878.3905,1337935.5599,6070317.2377,1427877.5071,+342.920,+826.134,+883.379,-157.065,+662.260,+1056.973,1257.160,11,0,0,2.0909,0.1193,2.2101,246.63,93.217
930.0,FWD,1337935.9281,6070318.0647,1427878.4082,1337935.5599,6070317.2377,1427877.5071,+368.171,+827.050,+901.113,-181.527,+678.112,+1067.136,1277.328,11,0,0,2.0909,0.1193,2.2102,330.79,94.685
960.0,FWD,1337935.9302,6070318.0619,1427878.3924,1337935.5599,6070317.2377,1427877.5071,+370.308,+824.235,+885.264,-184.220,+663.186,+1061.334,1264.983,11,0,0,2.0909,0.1193,2.2102,368.16,101.314
990.0,FWD,1337935.9568,6070318.0518,1427878.3966,1337935.5599,6070317.2377,1427877.5071,+396.910,+814.106,+889.462,-212.378,+668.214,+1058.222,1269.428,12,0,0,2.0909,0.1193,2.2101,361.85,146.704
1020.0,FWD,1337935.9552,6070318.1285,1427878.4174,1337935.5599,6070317.2377,1427877.5071,+395.311,+890.781,+910.334,-194.313,+671.757,+1135.542,1333.593,12,0,0,2.0909,0.1192,2.2100,444.35,146.361
1050.0,FWD,1337935.9592,6070318.1318,1427878.3797,1337935.5599,6070317.2377,1427877.5071,+399.342,+894.116,+872.645,-197.532,+634.108,+1131.069,1311.651,12,0,0,2.0909,0.1191,2.2100,570.36,198.986
