epoch,sat,sys,sigma_N1_m,range_100,corr_frac,frac_std,selected,reason
105,SUMMARY,,,,,,0,"GPS=0,GAL=0"
106,SUMMARY,,,,,,0,"GPS=0,GAL=0"
107,SUMMARY,,,,,,0,"GPS=0,GAL=0"
108,SUMMARY,,,,,,0,"GPS=0,GAL=0"
109,SUMMARY,,,,,,0,"GPS=0,GAL=0"
110,SUMMARY,,,,,,0,"GPS=0,GAL=0"
111,SUMMARY,,,,,,0,"GPS=0,GAL=0"
112,SUMMARY,,,,,,0,"GPS=0,GAL=0"
113,SUMMARY,,,,,,0,"GPS=0,GAL=0"
114,SUMMARY,,,,,,0,"GPS=0,GAL=0"
115,SUMMARY,,,,,,0,"GPS=0,GAL=0"
116,SUMMARY,,,,,,0,"GPS=0,GAL=0"
117,SUMMARY,,,,,,0,"GPS=0,GAL=0"
118,SUMMARY,,,,,,0,"GPS=0,GAL=0"
119,SUMMARY,,,,,,0,"GPS=0,GAL=0"
120,SUMMARY,,,,,,0,"GPS=0,GAL=0"
121,SUMMARY,,,,,,0,"GPS=0,GAL=0"
122,SUMMARY,,,,,,0,"GPS=0,GAL=0"
123,SUMMARY,,,,,,0,"GPS=0,GAL=0"
124,SUMMARY,,,,,,0,"GPS=0,GAL=0"
125,SUMMARY,,,,,,0,"GPS=0,GAL=0"
126,SUMMARY,,,,,,0,"GPS=0,GAL=0"
127,SUMMARY,,,,,,0,"GPS=0,GAL=0"
128,SUMMARY,,,,,,0,"GPS=0,GAL=0"
129,SUMMARY,,,,,,0,"GPS=0,GAL=0"
130,SUMMARY,,,,,,0,"GPS=0,GAL=0"
131,SUMMARY,,,,,,0,"GPS=0,GAL=0"
132,SUMMARY,,,,,,0,"GPS=0,GAL=0"
133,SUMMARY,,,,,,0,"GPS=0,GAL=0"
134,SUMMARY,,,,,,0,"GPS=0,GAL=0"
135,SUMMARY,,,,,,0,"GPS=0,GAL=0"
136,SUMMARY,,,,,,0,"GPS=0,GAL=0"
137,SUMMARY,,,,,,0,"GPS=0,GAL=0"
138,SUMMARY,,,,,,0,"GPS=0,GAL=0"
139,SUMMARY,,,,,,0,"GPS=0,GAL=0"
140,SUMMARY,,,,,,0,"GPS=0,GAL=0"
141,SUMMARY,,,,,,0,"GPS=0,GAL=0"
142,SUMMARY,,,,,,0,"GPS=0,GAL=0"
143,SUMMARY,,,,,,0,"GPS=0,GAL=0"
144,SUMMARY,,,,,,0,"GPS=0,GAL=0"
145,SUMMARY,,,,,,0,"GPS=0,GAL=0"
146,SUMMARY,,,,,,0,"GPS=0,GAL=0"
147,SUMMARY,,,,,,0,"GPS=0,GAL=0"
148,SUMMARY,,,,,,0,"GPS=0,GAL=0"
149,SUMMARY,,,,,,0,"GPS=0,GAL=0"
150,SUMMARY,,,,,,0,"GPS=0,GAL=0"
151,SUMMARY,,,,,,0,"GPS=0,GAL=0"
152,SUMMARY,,,,,,0,"GPS=0,GAL=0"
153,SUMMARY,,,,,,0,"GPS=0,GAL=0"
154,SUMMARY,,,,,,0,"GPS=0,GAL=0"
155,SUMMARY,,,,,,0,"GPS=0,GAL=0"
156,SUMMARY,,,,,,0,"GPS=0,GAL=0"
157,SUMMARY,,,,,,0,"GPS=0,GAL=0"
158,SUMMARY,,,,,,0,"GPS=0,GAL=0"
159,SUMMARY,,,,,,0,"GPS=0,GAL=0"
160,SUMMARY,,,,,,0,"GPS=0,GAL=0"
161,SUMMARY,,,,,,0,"GPS=0,GAL=0"
162,SUMMARY,,,,,,0,"GPS=0,GAL=0"
163,SUMMARY,,,,,,0,"GPS=0,GAL=0"
164,SUMMARY,,,,,,0,"GPS=0,GAL=0"
165,SUMMARY,,,,,,0,"GPS=0,GAL=0"
166,SUMMARY,,,,,,0,"GPS=0,GAL=0"
167,SUMMARY,,,,,,0,"GPS=0,GAL=0"
168,SUMMARY,,,,,,0,"GPS=0,GAL=0"
169,SUMMARY,,,,,,0,"GPS=0,GAL=0"
170,SUMMARY,,,,,,0,"GPS=0,GAL=0"
171,SUMMARY,,,,,,0,"GPS=0,GAL=0"
172,SUMMARY,,,,,,0,"GPS=0,GAL=0"
173,SUMMARY,,,,,,0,"GPS=0,GAL=0"
174,SUMMARY,,,,,,0,"GPS=0,GAL=0"
175,SUMMARY,,,,,,0,"GPS=0,GAL=0"
176,SUMMARY,,,,,,0,"GPS=0,GAL=0"
177,SUMMARY,,,,,,0,"GPS=0,GAL=0"
178,SUMMARY,,,,,,0,"GPS=0,GAL=0"
179,SUMMARY,,,,,,0,"GPS=0,GAL=0"
180,SUMMARY,,,,,,0,"GPS=0,GAL=0"
181,SUMMARY,,,,,,0,"GPS=0,GAL=0"
182,SUMMARY,,,,,,0,"GPS=0,GAL=0"
183,SUMMARY,,,,,,0,"GPS=0,GAL=0"
184,SUMMARY,,,,,,0,"GPS=0,GAL=0"
185,SUMMARY,,,,,,0,"GPS=0,GAL=0"
186,SUMMARY,,,,,,0,"GPS=0,GAL=0"
187,SUMMARY,,,,,,0,"GPS=0,GAL=0"
188,SUMMARY,,,,,,0,"GPS=0,GAL=0"
189,SUMMARY,,,,,,0,"GPS=0,GAL=0"
190,SUMMARY,,,,,,0,"GPS=0,GAL=0"
191,SUMMARY,,,,,,0,"GPS=0,GAL=0"
192,SUMMARY,,,,,,0,"GPS=0,GAL=0"
193,SUMMARY,,,,,,0,"GPS=0,GAL=0"
194,SUMMARY,,,,,,0,"GPS=0,GAL=0"
195,SUMMARY,,,,,,0,"GPS=0,GAL=0"
196,SUMMARY,,,,,,0,"GPS=0,GAL=0"
197,SUMMARY,,,,,,0,"GPS=0,GAL=0"
