epoch,sod,sat,sigma_N1_cm,raw_frac,bias,corr_frac,buf_n,frac_std,frozen
520,15600.0,G09,6.464,-0.44383,+0.40963,+0.14653,28,0.14448,N
520,15600.0,G30,8.728,-0.05768,+0.00000,-0.05768,6,0.20865,N
530,15900.0,G09,6.361,-0.34958,-0.43283,+0.08325,38,0.07487,N
530,15900.0,G30,8.262,+0.15897,+0.00000,+0.15897,9,0.19150,N
540,16200.0,E25,89.222,-0.09537,+0.00000,-0.09537,0,0.03732,N
540,16200.0,G30,7.857,+0.32414,+0.25770,+0.06643,15,0.10363,N
550,16500.0,G30,7.521,+0.35576,+0.34449,+0.01128,21,0.07170,N
560,16800.0,G30,7.189,+0.47272,+0.33342,+0.13931,27,0.04617,N
570,17100.0,G09,5.648,-0.47747,-0.43391,-0.04356,44,0.04297,N
570,17100.0,G30,6.924,-0.45056,+0.44256,+0.10688,35,0.42483,N
580,17400.0,G09,5.611,+0.49870,-0.44947,-0.05183,53,0.01941,N
580,17400.0,G30,6.763,-0.45331,-0.47369,+0.02038,44,0.32752,N
620,18600.0,G30,5.646,-0.38907,-0.42872,+0.03965,53,0.03063,N
630,18900.0,G07,3.832,+0.40830,+0.00000,+0.40830,6,0.00457,N
640,19200.0,G07,3.751,+0.36872,+0.39682,-0.02810,16,0.01789,N
650,19500.0,G17,4.182,+0.30648,+0.00000,+0.30648,10,0.01204,N
650,19500.0,G30,3.222,+0.32100,+0.47997,-0.15897,66,0.16670,N
660,19800.0,G09,4.583,+0.09284,+0.48339,-0.39055,62,0.17454,N
660,19800.0,G30,2.882,+0.20053,+0.29255,-0.09202,75,0.04341,N
670,20100.0,G09,4.541,+0.06720,+0.13339,-0.06620,72,0.18206,N
670,20100.0,G19,4.923,+0.46223,+0.00000,+0.46223,2,1.00000,N
680,20400.0,G09,4.394,+0.03712,+0.06276,-0.02564,81,0.01945,N
680,20400.0,G19,4.566,+0.39424,+0.00000,+0.39424,9,0.02897,N
690,20700.0,G19,4.425,+0.33091,+0.40743,-0.07652,19,0.05452,N
700,21000.0,G19,4.347,+0.32142,+0.34468,-0.02326,29,0.02304,N
700,21000.0,G22,3.499,-0.07205,+0.00000,-0.07205,7,0.00451,N
720,21600.0,G13,11.380,-0.26519,+0.00000,-0.26519,2,1.00000,N
730,21900.0,G13,9.502,-0.31241,+0.00000,-0.31241,7,0.04451,N
740,22200.0,G13,8.860,-0.39974,+0.00000,-0.39974,12,0.03765,N
770,23100.0,G14,2.335,+0.23158,+0.00000,+0.23158,9,0.00509,N
820,24600.0,E03,88.627,+0.06001,+0.00000,+0.06001,0,1.00000,N
830,24900.0,E03,88.626,+0.07318,+0.00000,+0.07318,0,0.00570,N
840,25200.0,E03,88.626,+0.07481,+0.00000,+0.07481,0,0.00798,N
850,25500.0,E03,88.626,+0.06822,+0.00000,+0.06822,0,0.00256,N
860,25800.0,E03,88.625,+0.06998,+0.00000,+0.06998,0,0.00202,N
870,26100.0,E03,88.625,+0.07313,+0.00000,+0.07313,0,0.00195,N
880,26400.0,E03,88.625,+0.07272,+0.00000,+0.07272,0,0.00220,N
880,26400.0,G06,5.523,+0.38392,+0.00000,+0.38392,6,0.01594,N
890,26700.0,E03,88.625,+0.04526,+0.00000,+0.04526,0,0.01339,N
890,26700.0,G06,5.062,+0.36769,+0.00000,+0.36769,13,0.02199,N
900,27000.0,E03,88.624,+0.05951,+0.00000,+0.05951,0,0.00816,N
910,27300.0,E03,88.624,+0.05351,+0.00000,+0.05351,0,0.00453,N
920,27600.0,E03,88.624,+0.04870,+0.00000,+0.04870,0,0.00390,N
930,27900.0,E03,88.624,+0.04345,+0.00000,+0.04345,0,0.00263,N
980,29400.0,G11,7.634,-0.01318,+0.00000,-0.01318,4,0.02032,N
990,29700.0,G11,6.913,+0.06985,+0.00000,+0.06985,10,0.07260,N
1000,30000.0,G11,6.240,+0.14688,+0.04043,+0.10646,16,0.06449,N
1010,30300.0,G11,5.861,+0.32226,+0.10109,+0.22116,22,0.09188,N
1020,30600.0,G11,5.677,+0.35934,+0.24587,+0.11348,31,0.07508,N
1020,30600.0,G17,9.206,-0.11603,+0.28908,-0.40511,19,0.18449,N
1030,30900.0,G17,9.121,-0.13410,-0.08309,-0.05100,29,0.19308,N
1090,32700.0,G24,9.101,-0.16270,+0.00000,-0.16270,2,1.00000,N
1100,33000.0,G24,8.725,-0.20024,+0.00000,-0.20024,11,0.03581,N
1110,33300.0,G17,9.178,-0.07111,-0.10546,+0.03435,45,0.04105,N
1110,33300.0,G24,7.904,-0.07984,-0.14345,+0.06361,19,0.08150,N
1120,33600.0,G17,8.628,-0.12354,-0.07891,-0.04464,53,0.02422,N
1120,33600.0,G24,7.468,-0.00838,-0.08000,+0.07162,27,0.04063,N
1130,33900.0,G17,8.344,-0.15150,-0.11422,-0.03728,62,0.05836,N
1130,33900.0,G24,7.215,+0.03453,-0.01090,+0.04542,36,0.03033,N
1240,37200.0,G06,8.345,-0.27061,+0.39785,+0.33154,16,0.12067,N
1270,38100.0,G05,8.750,+0.26886,+0.00000,+0.26886,5,0.05027,N
1280,38400.0,G05,7.633,+0.19636,+0.00000,+0.19636,13,0.05690,N
1290,38700.0,G05,6.832,+0.13040,+0.21017,-0.07977,16,0.04657,N
1300,39000.0,G05,6.672,+0.07094,+0.14143,-0.07049,26,0.02811,N
1300,39000.0,G12,14.676,-0.04449,+0.00000,-0.04449,2,1.00000,N
1310,39300.0,G12,9.469,-0.00143,+0.00000,-0.00143,6,0.06175,N
1320,39600.0,G12,9.004,-0.05626,+0.00000,-0.05626,9,0.05729,N
1490,44700.0,G25,10.612,+0.12148,+0.00000,+0.12148,2,1.00000,N
1500,45000.0,G25,8.491,+0.02705,+0.00000,+0.02705,7,0.03602,N
1510,45300.0,G25,8.188,-0.08984,+0.00732,-0.09716,15,0.09566,N
1520,45600.0,G25,6.235,-0.14926,-0.03674,-0.11252,22,0.03915,N
1530,45900.0,G25,5.970,-0.14890,-0.10616,-0.04274,30,0.05113,N
1540,46200.0,G25,5.877,-0.19614,-0.15196,-0.04418,40,0.02199,N
1550,46500.0,G25,5.810,-0.23143,-0.19218,-0.03925,50,0.02857,N
1600,48000.0,G15,10.979,+0.38567,+0.00000,+0.38567,5,0.03030,N
1610,48300.0,G15,10.656,+0.37838,+0.35530,+0.02308,15,0.02672,N
1640,49200.0,G13,8.819,-0.38597,+0.00000,-0.38597,2,0.06457,N
1650,49500.0,G13,7.700,-0.42519,+0.00000,-0.42519,8,0.04335,N
1650,49500.0,G15,9.168,+0.11918,+0.28505,-0.16587,22,0.12435,N
1660,49800.0,G13,6.933,-0.48547,+0.00000,-0.48547,11,0.03207,N
1660,49800.0,G15,9.079,+0.13323,+0.15229,-0.01906,32,0.07665,N
1670,50100.0,G29,9.721,-0.44403,+0.00000,-0.44403,1,1.00000,N
1680,50400.0,G29,9.314,-0.41001,+0.00000,-0.41001,8,0.02041,N
1690,50700.0,G23,8.211,-0.46065,+0.00000,-0.46065,1,1.00000,N
1700,51000.0,G13,4.735,+0.47489,-0.46528,-0.05983,20,0.04383,N
1720,51600.0,G29,5.501,-0.35476,-0.41747,+0.06271,16,0.03466,N
1740,52200.0,G13,4.138,+0.41987,+0.48018,-0.06031,28,0.03721,N
1750,52500.0,G13,4.033,+0.39075,+0.42905,-0.03830,38,0.03162,N
1760,52800.0,G23,4.462,-0.29098,+0.00000,-0.29098,10,0.08745,N
1760,52800.0,G29,3.532,+0.19493,-0.48431,-0.32076,24,0.17590,N
1770,53100.0,G23,4.243,-0.25463,-0.28921,+0.03458,20,0.05894,N
1770,53100.0,G29,3.374,+0.16507,+0.22430,-0.05922,33,0.15641,N
1780,53400.0,G18,6.950,+0.49389,+0.00000,+0.49389,5,0.07159,N
1790,53700.0,G18,6.544,-0.43039,+0.00000,-0.43039,12,0.06400,N
1800,54000.0,G18,6.213,-0.33036,-0.42373,+0.09336,21,0.04519,N
1810,54300.0,G18,5.917,-0.28887,-0.34077,+0.05189,31,0.04568,N
1960,58800.0,E07,80.064,+0.01750,+0.00000,+0.01750,0,1.00000,N
1970,59100.0,E07,80.052,-0.05490,+0.00000,-0.05490,0,0.02383,N
1980,59400.0,E07,79.266,+0.06353,+0.00000,+0.06353,0,0.02924,N
2080,62400.0,G10,8.252,-0.14606,+0.00000,-0.14606,2,1.00000,N
2090,62700.0,G10,7.964,-0.15041,+0.00000,-0.15041,12,0.02579,N
2160,64800.0,G10,6.990,+0.19172,+0.00000,+0.19172,4,0.02051,N
2160,64800.0,G32,3.183,-0.24794,+0.00000,-0.24794,9,0.00250,N
2170,65100.0,G10,6.369,+0.21841,+0.00000,+0.21841,8,0.02214,N
2180,65400.0,G10,6.019,+0.32013,+0.00000,+0.32013,14,0.03410,N
2180,65400.0,G27,8.556,+0.23810,+0.00000,+0.23810,0,1.00000,N
2190,65700.0,G10,5.709,+0.31769,+0.28273,+0.03496,23,0.04319,N
2190,65700.0,G27,7.871,+0.39980,+0.00000,+0.39980,3,0.06904,N
2200,66000.0,G27,6.738,+0.19214,+0.00000,+0.19214,9,0.07238,N
2210,66300.0,G27,6.477,+0.23265,+0.22245,+0.01020,18,0.06142,N
2220,66600.0,E29,74.229,-0.09042,+0.00000,-0.09042,0,1.00000,N
2240,67200.0,E29,74.221,-0.06927,+0.00000,-0.06927,0,0.01012,N
2250,67500.0,E29,74.213,-0.06962,+0.00000,-0.06962,0,0.01771,N
2280,68400.0,E29,74.208,-0.09147,+0.00000,-0.09147,0,0.00731,N
2290,68700.0,E29,74.207,-0.08276,+0.00000,-0.08276,0,0.00607,N
2300,69000.0,E29,74.206,-0.07593,+0.00000,-0.07593,0,0.00579,N
2350,70500.0,G31,8.286,-0.34600,+0.00000,-0.34600,6,0.00886,N
2360,70800.0,G31,7.924,-0.33719,+0.00000,-0.33719,14,0.02004,N
2570,77100.0,G02,3.526,+0.08865,+0.00000,+0.08865,3,1.00000,N
2580,77400.0,G02,3.459,+0.10271,+0.00000,+0.10271,13,0.01132,N
2630,78900.0,G26,3.190,-0.11885,+0.00000,-0.11885,5,0.01853,N
2640,79200.0,G26,3.122,-0.13110,-0.11960,-0.01150,15,0.01983,N
2650,79500.0,G16,7.284,-0.15904,+0.00000,-0.15904,1,1.00000,N
2660,79800.0,G16,6.572,-0.23049,+0.00000,-0.23049,6,0.04568,N
2670,80100.0,G16,6.270,-0.32982,+0.00000,-0.32982,14,0.06959,N
2680,80400.0,G16,5.596,-0.46832,-0.29528,-0.17303,20,0.06732,N
2690,80700.0,G16,5.005,-0.44082,-0.37966,-0.06116,27,0.02796,N
2730,81900.0,G16,4.226,-0.14986,-0.41328,+0.26342,31,0.09477,N
2740,82200.0,G16,4.183,+0.18053,-0.41328,-0.40619,31,0.20826,N
2750,82500.0,G16,4.141,+0.27483,+0.49626,-0.22143,37,0.13495,N
2760,82800.0,G16,4.030,+0.29554,+0.33102,-0.03548,46,0.01924,N
2790,83700.0,G03,5.504,+0.28907,+0.00000,+0.28907,8,0.02480,N
2800,84000.0,G03,5.338,+0.25757,+0.28877,-0.03120,18,0.03250,N
