epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
537,16110.0,G08,G,6911.5328,-7.208096,0.0000,0.0000,21.848,20000.0000,nan,nan,1,0,236
538,16140.0,G08,G,6996.8383,-6.628783,0.0000,0.0000,21.649,20000.0000,nan,nan,1,0,237
539,16170.0,G08,G,7076.8314,-7.166286,0.0000,0.0000,21.450,20000.0000,nan,nan,1,0,238
540,16200.0,G08,G,7157.8933,-7.533363,0.0000,0.0000,21.251,20000.0000,nan,nan,1,0,239
541,16230.0,G08,G,7254.3722,-7.620270,0.0000,0.0000,21.052,20000.0000,nan,nan,1,0,240
542,16260.0,G08,G,7350.9938,-6.856209,0.0000,0.0000,20.853,20000.0000,nan,nan,1,0,241
543,16290.0,G08,G,7421.6372,-7.272481,0.0000,0.0000,20.654,20000.0000,nan,nan,1,0,242
544,16320.0,G08,G,7535.3218,-7.851839,0.0000,0.0000,20.456,20000.0000,nan,nan,1,0,243
545,16350.0,G08,G,7621.9023,-7.454637,0.0000,0.0000,20.257,20000.0000,nan,nan,1,0,244
546,16380.0,G08,G,7712.9895,-7.356580,0.0000,0.0000,20.059,20000.0000,nan,nan,1,0,245
547,16410.0,G08,G,7811.8344,-6.998771,0.0000,0.0000,19.861,20000.0000,nan,nan,1,0,246
548,16440.0,G08,G,7905.6333,-6.819769,0.0000,0.0000,19.663,20000.0000,nan,nan,1,0,247
549,16470.0,G08,G,7982.9306,-7.594182,0.0000,0.0000,19.465,20000.0000,nan,nan,1,0,248
550,16500.0,G08,G,8082.9109,-8.087477,0.0000,0.0000,19.268,20000.0000,nan,nan,1,0,249
551,16530.0,G01,G,-9594.7021,-45.522083,0.0000,0.0000,24.775,19989.1514,nan,1.0000,33,1,250
551,16530.0,G08,G,8172.2442,-8.633403,0.0000,0.0000,19.070,20000.0000,nan,nan,1,0,251
552,16560.0,G08,G,8260.9845,-7.911198,0.0000,0.0000,18.873,20000.0000,nan,nan,1,0,252
553,16590.0,G08,G,8355.7603,-6.149600,0.0000,0.0000,18.676,20000.0000,nan,nan,1,0,253
554,16620.0,G08,G,8444.9700,-5.899575,0.0000,0.0000,18.479,20000.0000,nan,nan,1,0,254
555,16650.0,G04,G,9432.0867,9.610914,0.0000,0.0000,25.713,20000.0009,nan,1.0000,555,1,255
555,16650.0,G08,G,8545.5846,-5.210244,0.0000,0.0000,18.282,20000.0000,nan,nan,1,0,256
556,16680.0,G08,G,8641.6194,-5.839128,0.0000,0.0000,18.085,20000.0000,nan,nan,1,0,257
557,16710.0,G08,G,8752.6526,-5.916446,0.0000,0.0000,17.889,20000.0000,nan,nan,1,0,258
558,16740.0,G08,G,8845.2812,-6.412349,0.0000,0.0000,17.693,20000.0000,nan,nan,1,0,259
559,16770.0,G08,G,8936.4129,-6.754180,0.0000,0.0000,17.496,20000.0000,nan,nan,1,0,260
560,16800.0,G08,G,9039.4125,-7.186737,0.0000,0.0000,17.300,20000.0000,nan,nan,1,0,261
561,16830.0,G08,G,9143.8584,-6.694421,0.0000,0.0000,17.105,20000.0000,nan,nan,1,0,262
563,16890.0,G08,G,9346.9778,-6.395978,0.0000,0.0000,16.714,19992.5671,nan,nan,2,0,263
564,16920.0,G08,G,9446.0733,-5.915217,0.0000,0.0000,16.519,20000.0000,nan,nan,1,0,264
565,16950.0,G08,G,9544.1411,-6.082548,0.0000,0.0000,16.324,20000.0000,nan,nan,1,0,265
566,16980.0,G08,G,9654.8952,-7.494751,0.0000,0.0000,16.129,20000.0000,nan,nan,1,0,266
567,17010.0,G08,G,9764.3172,-8.035540,0.0000,0.0000,15.934,20000.0000,nan,nan,1,0,267
568,17040.0,G08,G,9863.9772,-7.730127,0.0000,0.0000,15.740,20000.0000,nan,nan,1,0,268
569,17070.0,G04,G,9966.2442,8.989358,0.0000,0.0000,22.679,317.2354,25.7098,0.7000,14,0,269
569,17070.0,G08,G,9978.4135,-8.498464,0.0000,0.0000,15.546,20000.0000,nan,nan,1,0,270
570,17100.0,G04,G,10011.3787,6.143426,0.0000,0.0000,22.464,20000.0000,nan,nan,1,0,271
570,17100.0,G08,G,10079.7702,-7.678646,0.0000,0.0000,15.352,20000.0000,nan,nan,1,0,272
571,17130.0,G04,G,10060.7535,8.587192,0.0000,0.0000,22.250,20000.0000,nan,nan,1,0,273
581,17430.0,G04,G,9700.1312,4.371728,0.0000,0.0000,20.124,19992.4306,nan,1.0000,10,1,274
582,17460.0,G02,G,-6506.2104,-42.158706,0.0000,0.0000,22.418,19975.5253,nan,1.0000,58,1,275
582,17460.0,G04,G,9754.7867,4.327605,0.0000,0.0000,19.913,20000.0000,nan,nan,1,0,276
584,17520.0,G04,G,9871.5255,5.432609,0.0000,0.0000,19.492,20000.0000,nan,1.0000,2,0,277
588,17640.0,G04,G,-36859.4594,-186.382637,0.0000,0.0000,18.655,20000.0000,nan,1.0000,4,1,278
590,17700.0,G04,G,-36763.7195,-185.681556,0.0000,0.0000,18.238,124.0112,10.0528,0.0000,2,0,279
623,18690.0,G02,G,-5001.0414,-40.953929,0.0000,0.0000,20.520,115.4958,26.8990,0.8000,41,0,280
624,18720.0,G02,G,-4949.6114,-41.111333,0.0000,0.0000,20.456,20000.0000,nan,nan,1,0,281
625,18750.0,G02,G,-4893.6523,-40.524336,0.0000,0.0000,20.391,20000.0000,nan,nan,1,0,282
626,18780.0,G02,G,-4841.9781,-40.515144,0.0000,0.0000,20.325,20000.0000,nan,nan,1,0,283
627,18810.0,G02,G,-4787.8110,-40.610007,0.0000,0.0000,20.259,20000.0000,nan,nan,1,0,284
631,18930.0,G02,G,-4592.6331,-40.626713,0.0000,0.0000,19.984,20000.0000,nan,1.0000,4,1,285
634,19020.0,G02,G,-4451.0483,-40.544693,0.0000,0.0000,19.769,20000.0000,nan,1.0000,3,0,286
637,19110.0,G02,G,-4307.6176,-40.159768,0.0000,0.0000,19.547,20000.0000,nan,1.0000,3,0,287
638,19140.0,G02,G,-4250.1838,-40.155544,0.0000,0.0000,19.472,20000.0000,nan,nan,1,0,288
639,19170.0,G02,G,-4192.5058,-39.746162,0.0000,0.0000,19.395,20000.0000,nan,nan,1,0,289
641,19230.0,G02,G,-4089.9629,-40.985970,0.0000,0.0000,19.240,19999.3165,nan,1.0000,2,0,290
642,19260.0,G02,G,-4032.9794,-41.073968,0.0000,0.0000,19.162,20000.0000,nan,nan,1,0,291
643,19290.0,G02,G,-3978.5713,-40.064324,0.0000,0.0000,19.082,20000.0000,nan,nan,1,0,292
644,19320.0,G02,G,-3915.9679,-40.118742,0.0000,0.0000,19.002,20000.0000,nan,nan,1,0,293
645,19350.0,G02,G,-3853.9987,-41.526300,0.0000,0.0000,18.921,20000.0000,nan,nan,1,0,294
646,19380.0,G02,G,-3795.7720,-40.126439,0.0000,0.0000,18.839,20000.0000,nan,nan,1,0,295
647,19410.0,G02,G,-3738.6205,-40.482952,0.0000,0.0000,18.757,20000.0000,nan,nan,1,0,296
648,19440.0,G02,G,-3677.5013,-41.412870,0.0000,0.0000,18.673,20000.0000,nan,nan,1,0,297
649,19470.0,G02,G,-3619.1605,-40.927025,0.0000,0.0000,18.589,20000.0000,nan,nan,1,0,298
650,19500.0,G02,G,-3550.7118,-40.228060,0.0000,0.0000,18.504,20000.0000,nan,nan,1,0,299
651,19530.0,G02,G,-3486.6558,-39.377651,0.0000,0.0000,18.419,20000.0000,nan,nan,1,0,300
652,19560.0,G02,G,-3433.1294,-39.569465,0.0000,0.0000,18.332,20000.0000,nan,nan,1,0,301
653,19590.0,G02,G,-3376.2316,-40.623045,0.0000,0.0000,18.245,20000.0000,nan,nan,1,0,302
654,19620.0,G02,G,-3325.8164,-40.970923,0.0000,0.0000,18.157,20000.0000,nan,nan,1,0,303
655,19650.0,G02,G,-3261.8714,-41.391577,0.0000,0.0000,18.069,20000.0000,nan,nan,1,0,304
656,19680.0,G02,G,-3190.3210,-40.399140,0.0000,0.0000,17.979,20000.0000,nan,nan,1,0,305
657,19710.0,G02,G,-3118.6247,-40.344912,0.0000,0.0000,17.889,20000.0000,nan,nan,1,0,306
658,19740.0,G02,G,-3056.2432,-40.961666,0.0000,0.0000,17.798,20000.0000,nan,nan,1,0,307
659,19770.0,G02,G,-2991.0359,-40.464120,0.0000,0.0000,17.707,20000.0000,nan,nan,1,0,308
660,19800.0,G02,G,-2919.2128,-40.532195,0.0000,0.0000,17.614,20000.0000,nan,nan,1,0,309
661,19830.0,G02,G,-2847.5196,-41.144759,0.0000,0.0000,17.521,20000.0000,nan,nan,1,0,310
662,19860.0,G02,G,-2783.6761,-41.040029,0.0000,0.0000,17.428,20000.0000,nan,nan,1,0,311
663,19890.0,G02,G,-2717.3017,-41.225297,0.0000,0.0000,17.333,20000.0000,nan,nan,1,0,312
664,19920.0,G02,G,-2651.9231,-41.161595,0.0000,0.0000,17.238,20000.0000,nan,nan,1,0,313
665,19950.0,G02,G,-2585.9039,-40.279375,0.0000,0.0000,17.142,20000.0000,nan,nan,1,0,314
666,19980.0,G02,G,-2519.5326,-39.180859,0.0000,0.0000,17.046,20000.0000,nan,nan,1,0,315
667,20010.0,G02,G,-2453.2026,-40.892062,0.0000,0.0000,16.948,20000.0000,nan,nan,1,0,316
668,20040.0,G02,G,-2390.0758,-41.471041,0.0000,0.0000,16.850,20000.0000,nan,nan,1,0,317
669,20070.0,G02,G,-2327.6532,-40.123829,0.0000,0.0000,16.752,20000.0000,nan,nan,1,0,318
670,20100.0,G02,G,-2271.4975,-40.667276,0.0000,0.0000,16.652,20000.0000,nan,nan,1,0,319
671,20130.0,G02,G,-2204.7457,-40.758615,0.0000,0.0000,16.552,20000.0000,nan,nan,1,0,320
672,20160.0,G02,G,-2146.7981,-40.251774,0.0000,0.0000,16.452,20000.0000,nan,nan,1,0,321
673,20190.0,G02,G,-2082.7040,-39.587463,0.0000,0.0000,16.350,20000.0000,nan,nan,1,0,322
674,20220.0,G02,G,-2024.6295,-40.832423,0.0000,0.0000,16.248,20000.0000,nan,nan,1,0,323
675,20250.0,G02,G,-1942.7176,-40.160051,0.0000,0.0000,16.145,20000.0000,nan,nan,1,0,324
676,20280.0,G02,G,-1886.5080,-40.628240,0.0000,0.0000,16.042,20000.0000,nan,nan,1,0,325
677,20310.0,G02,G,-1822.1793,-40.775723,0.0000,0.0000,15.938,20000.0000,nan,nan,1,0,326
678,20340.0,G02,G,-1760.4036,-40.608020,0.0000,0.0000,15.833,20000.0000,nan,nan,1,0,327
679,20370.0,G02,G,-1696.6616,-40.986217,0.0000,0.0000,15.728,20000.0000,nan,nan,1,0,328
681,20430.0,G02,G,-1555.0862,-40.405581,0.0000,0.0000,15.515,616.4665,17.0985,0.0000,2,0,329
682,20460.0,G02,G,-1499.1209,-39.851249,0.0000,0.0000,15.408,20000.0000,nan,nan,1,0,330
683,20490.0,G02,G,-1390.8501,-40.036887,0.0000,0.0000,15.300,20000.0000,nan,nan,1,0,331
684,20520.0,G02,G,-1313.9366,-41.410591,0.0000,0.0000,15.191,20000.0000,nan,nan,1,0,332
689,20670.0,E25,E,16942.5407,30.368161,0.0000,0.0000,34.765,54.9411,23.1270,0.8000,640,1,333
695,20850.0,G09,G,7456.1723,-2.141972,0.0000,0.0000,21.773,52.1549,30.1535,0.9000,606,1,334
696,20880.0,G09,G,7497.1901,-3.762860,0.0000,0.0000,21.578,20000.0000,nan,nan,1,0,335
712,21360.0,G09,G,8120.6144,-3.028269,0.0000,0.0000,18.509,75.8044,26.8640,0.9000,16,1,336
716,21480.0,G09,G,8287.1118,-2.144310,0.0000,0.0000,17.761,20000.0000,nan,1.0000,4,1,337
721,21630.0,G09,G,8513.1649,-1.975491,0.0000,0.0000,16.837,20000.0000,nan,1.0000,5,1,338
723,21690.0,G09,G,8608.9904,-1.653519,0.0000,0.0000,16.471,20000.0000,nan,1.0000,2,0,339
725,21750.0,G09,G,8704.3529,-1.891304,0.0000,0.0000,16.106,20000.0000,nan,1.0000,2,0,340
726,21780.0,G09,G,8766.7375,-1.826691,0.0000,0.0000,15.925,20000.0000,nan,nan,1,0,341
728,21840.0,G09,G,8865.2367,-2.292110,0.0000,0.0000,15.563,20000.0000,nan,1.0000,2,0,342
729,21870.0,G09,G,8921.3289,-2.634010,0.0000,0.0000,15.383,20000.0000,nan,nan,1,0,343
731,21930.0,G09,G,9023.7831,-2.252398,0.0000,0.0000,15.025,20000.0000,nan,1.0000,2,0,344
734,22020.0,G06,G,-18345.1822,-74.833656,0.0000,0.0000,19.627,75.5564,46.8314,1.0000,42,1,345
753,22590.0,E34,E,-8656.5899,-30.669638,0.0000,0.0000,19.261,77.2194,20.6843,0.8000,26,1,346
765,22950.0,E05,E,14765.3775,23.908897,0.0000,0.0000,26.390,54.0628,29.2447,0.9000,764,1,347
775,23250.0,E05,E,15144.6179,23.596480,0.0000,0.0000,24.705,611.7037,9.3773,0.8889,10,1,348
778,23340.0,E05,E,15258.4830,22.799893,0.0000,0.0000,24.206,74.7385,26.4660,0.5000,3,0,349
780,23400.0,E05,E,15327.7880,24.082554,0.0000,0.0000,23.875,611.9933,5.1234,0.0000,2,0,350
782,23460.0,E05,E,15428.9514,23.273450,0.0000,0.0000,23.546,612.0926,28.3552,0.0000,2,0,351
787,23610.0,G01,G,-6305.0700,-43.258080,0.0000,0.0000,25.223,69.5518,26.0978,0.8000,236,0,352
789,23670.0,G01,G,-6205.6289,-43.218172,0.0000,0.0000,25.008,20000.0000,nan,1.0000,2,0,353
795,23850.0,G01,G,-5920.4326,-43.934539,0.0000,0.0000,24.345,19999.5430,nan,1.0000,6,1,354
796,23880.0,G01,G,-5863.6934,-43.463796,0.0000,0.0000,24.231,20000.0000,nan,nan,1,0,355
797,23910.0,G01,G,-5812.4251,-44.064324,0.0000,0.0000,24.117,20000.0000,nan,nan,1,0,356
798,23940.0,G01,G,-5760.3258,-43.890060,0.0000,0.0000,24.003,20000.0000,nan,nan,1,0,357
799,23970.0,G01,G,-5708.3123,-43.543954,0.0000,0.0000,23.887,20000.0000,nan,nan,1,0,358
800,24000.0,G01,G,-5653.8756,-43.251946,0.0000,0.0000,23.771,20000.0000,nan,nan,1,0,359
801,24030.0,G01,G,-5593.1180,-43.962558,0.0000,0.0000,23.653,20000.0000,nan,nan,1,0,360
802,24060.0,G01,G,-5541.5325,-43.846506,0.0000,0.0000,23.536,20000.0000,nan,nan,1,0,361
803,24090.0,G01,G,-5488.8973,-43.643092,0.0000,0.0000,23.417,20000.0000,nan,nan,1,0,362
804,24120.0,G01,G,-5435.4565,-43.977136,0.0000,0.0000,23.298,20000.0000,nan,nan,1,0,363
805,24150.0,G01,G,-5374.3500,-43.673111,0.0000,0.0000,23.178,20000.0000,nan,nan,1,0,364
807,24210.0,G01,G,-5274.7345,-43.418155,0.0000,0.0000,22.935,19999.6887,nan,1.0000,2,0,365
808,24240.0,G01,G,-5216.1240,-43.878128,0.0000,0.0000,22.813,20000.0000,nan,nan,1,0,366
810,24300.0,G01,G,-5106.3880,-43.775085,0.0000,0.0000,22.567,619.6801,18.2792,0.0000,2,0,367
811,24330.0,G01,G,-5051.2948,-44.044774,0.0000,0.0000,22.443,20000.0000,nan,nan,1,0,368
812,24360.0,G01,G,-4994.3589,-43.591995,0.0000,0.0000,22.318,20000.0000,nan,nan,1,0,369
813,24390.0,G01,G,-4934.6987,-43.539853,0.0000,0.0000,22.192,20000.0000,nan,nan,1,0,370
814,24420.0,G01,G,-4870.4777,-43.841152,0.0000,0.0000,22.066,20000.0000,nan,nan,1,0,371
815,24450.0,G01,G,-4807.8109,-43.424366,0.0000,0.0000,21.939,20000.0000,nan,nan,1,0,372
816,24480.0,G01,G,-4737.3515,-43.430405,0.0000,0.0000,21.811,20000.0000,nan,nan,1,0,373
817,24510.0,G01,G,-4669.8289,-43.017908,0.0000,0.0000,21.683,20000.0000,nan,nan,1,0,374
818,24540.0,G01,G,-4592.8615,-43.031819,0.0000,0.0000,21.554,20000.0000,nan,nan,1,0,375
819,24570.0,G01,G,-4525.6339,-44.143962,0.0000,0.0000,21.424,20000.0000,nan,nan,1,0,376
820,24600.0,G01,G,-4457.1694,-44.174540,0.0000,0.0000,21.294,20000.0000,nan,nan,1,0,377
821,24630.0,G01,G,-4380.2178,-43.665023,0.0000,0.0000,21.163,20000.0000,nan,nan,1,0,378
822,24660.0,G01,G,-4305.3436,-43.666714,0.0000,0.0000,21.032,20000.0000,nan,nan,1,0,379
823,24690.0,G01,G,-4233.3745,-43.474541,0.0000,0.0000,20.900,20000.0000,nan,nan,1,0,380
824,24720.0,G01,G,-4149.1474,-43.356025,0.0000,0.0000,20.767,20000.0000,nan,nan,1,0,381
825,24750.0,G01,G,-4083.1472,-44.257086,0.0000,0.0000,20.634,20000.0000,nan,nan,1,0,382
826,24780.0,G01,G,-3996.4779,-43.526272,0.0000,0.0000,20.500,20000.0000,nan,nan,1,0,383
827,24810.0,G01,G,-3933.5383,-43.832799,0.0000,0.0000,20.365,20000.0000,nan,nan,1,0,384
828,24840.0,G01,G,-3858.6482,-43.022013,0.0000,0.0000,20.230,20000.0000,nan,nan,1,0,385
829,24870.0,G01,G,-3776.0640,-43.552549,0.0000,0.0000,20.094,20000.0000,nan,nan,1,0,386
830,24900.0,G01,G,-3696.8637,-43.595939,0.0000,0.0000,19.958,20000.0000,nan,nan,1,0,387
831,24930.0,G01,G,-3626.2140,-43.925083,0.0000,0.0000,19.821,20000.0000,nan,nan,1,0,388
832,24960.0,G01,G,-3550.3154,-44.583040,0.0000,0.0000,19.684,20000.0000,nan,nan,1,0,389
833,24990.0,G01,G,-3475.6315,-43.960065,0.0000,0.0000,19.546,20000.0000,nan,nan,1,0,390
834,25020.0,G01,G,-3385.1373,-43.003088,0.0000,0.0000,19.407,20000.0000,nan,nan,1,0,391
835,25050.0,G01,G,-3306.2067,-43.360568,0.0000,0.0000,19.268,20000.0000,nan,nan,1,0,392
836,25080.0,G01,G,-3215.8425,-43.225394,0.0000,0.0000,19.128,20000.0000,nan,nan,1,0,393
837,25110.0,G01,G,-3144.7742,-44.534390,0.0000,0.0000,18.988,20000.0000,nan,nan,1,0,394
838,25140.0,G01,G,-3063.3666,-44.021106,0.0000,0.0000,18.847,20000.0000,nan,nan,1,0,395
839,25170.0,G01,G,-2975.2891,-44.570456,0.0000,0.0000,18.706,20000.0000,nan,nan,1,0,396
840,25200.0,G01,G,-2898.5215,-44.639482,0.0000,0.0000,18.564,20000.0000,nan,nan,1,0,397
841,25230.0,G01,G,-2812.7371,-44.236661,0.0000,0.0000,18.422,20000.0000,nan,nan,1,0,398
842,25260.0,G01,G,-2722.1288,-44.330956,0.0000,0.0000,18.279,20000.0000,nan,nan,1,0,399
843,25290.0,G01,G,-2644.2321,-44.693688,0.0000,0.0000,18.136,20000.0000,nan,nan,1,0,400
844,25320.0,G01,G,-2559.4721,-44.695521,0.0000,0.0000,17.992,20000.0000,nan,nan,1,0,401
845,25350.0,G01,G,-2476.7261,-43.632723,0.0000,0.0000,17.847,20000.0000,nan,nan,1,0,402
846,25380.0,G01,G,-2387.6337,-43.544161,0.0000,0.0000,17.702,20000.0000,nan,nan,1,0,403
847,25410.0,G01,G,-2298.1577,-44.539573,0.0000,0.0000,17.557,20000.0000,nan,nan,1,0,404
848,25440.0,G01,G,-2217.4287,-43.419946,0.0000,0.0000,17.411,20000.0000,nan,nan,1,0,405
849,25470.0,G01,G,-2120.4900,-43.291694,0.0000,0.0000,17.265,20000.0000,nan,nan,1,0,406
850,25500.0,G01,G,-2038.4100,-43.631360,0.0000,0.0000,17.118,20000.0000,nan,nan,1,0,407
851,25530.0,G01,G,-1933.3298,-43.801319,0.0000,0.0000,16.971,20000.0000,nan,nan,1,0,408
852,25560.0,G01,G,-1840.2508,-44.257437,0.0000,0.0000,16.823,20000.0000,nan,nan,1,0,409
853,25590.0,G01,G,-1744.3301,-43.911498,0.0000,0.0000,16.674,20000.0000,nan,nan,1,0,410
854,25620.0,G01,G,-1647.7910,-43.679948,0.0000,0.0000,16.526,20000.0000,nan,nan,1,0,411
855,25650.0,G01,G,-1553.2658,-43.228467,0.0000,0.0000,16.377,20000.0000,nan,nan,1,0,412
856,25680.0,G01,G,-1451.9027,-43.420148,0.0000,0.0000,16.227,20000.0000,nan,nan,1,0,413
857,25710.0,G01,G,-1353.6287,-44.227907,0.0000,0.0000,16.077,20000.0000,nan,nan,1,0,414
858,25740.0,G01,G,-1249.6395,-44.505664,0.0000,0.0000,15.926,20000.0000,nan,nan,1,0,415
859,25770.0,G01,G,-1155.8216,-43.289397,0.0000,0.0000,15.776,20000.0000,nan,nan,1,0,416
860,25800.0,G01,G,-1055.5146,-43.953032,0.0000,0.0000,15.624,20000.0000,nan,nan,1,0,417
861,25830.0,G01,G,-946.8855,-44.023173,0.0000,0.0000,15.472,20000.0000,nan,nan,1,0,418
862,25860.0,G01,G,-822.8520,-43.406582,0.0000,0.0000,15.320,20000.0000,nan,nan,1,0,419
863,25890.0,G01,G,-728.3363,-43.457260,0.0000,0.0000,15.168,20000.0000,nan,nan,1,0,420
864,25920.0,G01,G,-619.2759,-43.188597,0.0000,0.0000,15.015,20000.0000,nan,nan,1,0,421
888,26640.0,G11,G,-3457.5155,-16.627506,0.0000,0.0000,16.107,636.1118,48.0669,0.0000,2,0,422
890,26700.0,G11,G,-7462.3156,-32.678390,0.0000,0.0000,16.514,20000.0000,nan,1.0000,2,0,423
892,26760.0,G11,G,-7567.0311,-31.945288,0.0000,0.0000,16.922,20000.0000,nan,1.0000,2,0,424
893,26790.0,G11,G,-7633.2120,-31.427841,0.0000,0.0000,17.127,20000.0000,nan,nan,1,0,425
895,26850.0,G11,G,-7735.4219,-34.239211,0.0000,0.0000,17.537,20000.0000,nan,nan,2,0,426
896,26880.0,G11,G,-7802.8937,-32.813974,0.0000,0.0000,17.742,20000.0000,nan,nan,1,0,427
897,26910.0,G11,G,-7859.4649,-32.666183,0.0000,0.0000,17.948,20000.0000,nan,nan,1,0,428
900,27000.0,G11,G,-8006.9266,-32.523758,0.0000,0.0000,18.568,20000.0000,nan,1.0000,3,0,429
901,27030.0,G11,G,-8061.9754,-32.707915,0.0000,0.0000,18.775,20000.0000,nan,nan,1,0,430
903,27090.0,G11,G,-8179.4786,-32.100855,0.0000,0.0000,19.190,20000.0000,nan,1.0000,2,0,431
905,27150.0,G11,G,-8289.6554,-32.553162,0.0000,0.0000,19.606,20000.0000,nan,1.0000,2,0,432
906,27180.0,G11,G,-8345.0119,-32.087710,0.0000,0.0000,19.814,20000.0000,nan,nan,1,0,433
907,27210.0,G11,G,-8396.5244,-31.176534,0.0000,0.0000,20.023,20000.0000,nan,nan,1,0,434
908,27240.0,G11,G,-8465.7151,-32.892356,0.0000,0.0000,20.232,20000.0000,nan,nan,1,0,435
909,27270.0,G11,G,-8519.8822,-31.766358,0.0000,0.0000,20.441,20000.0000,nan,nan,1,0,436
911,27330.0,G11,G,-8630.3223,-31.671420,0.0000,0.0000,20.861,20000.0000,nan,1.0000,2,0,437
912,27360.0,G11,G,-8680.7375,-31.196636,0.0000,0.0000,21.071,20000.0000,nan,nan,1,0,438
913,27390.0,G11,G,-8733.9087,-31.234324,0.0000,0.0000,21.282,20000.0000,nan,nan,1,0,439
914,27420.0,G11,G,-8789.1478,-31.216238,0.0000,0.0000,21.493,20000.0000,nan,nan,1,0,440
916,27480.0,G11,G,-8900.8597,-31.167718,0.0000,0.0000,21.915,20000.0000,nan,1.0000,2,0,441
918,27540.0,G11,G,-9001.7407,-29.854551,0.0000,0.0000,22.339,20000.0000,nan,1.0000,2,0,442
919,27570.0,G07,G,10370.2916,5.952957,0.0000,0.0000,25.102,49.3192,21.8039,0.7000,817,1,443
919,27570.0,G11,G,-9054.4299,-29.664273,0.0000,0.0000,22.551,20000.0000,nan,nan,1,0,444
920,27600.0,G11,G,-9112.5868,-29.598109,0.0000,0.0000,22.763,20000.0000,nan,nan,1,0,445
922,27660.0,G11,G,-9222.4623,-29.988442,0.0000,0.0000,23.189,20000.0000,nan,1.0000,2,0,446
923,27690.0,G07,G,10561.0197,5.165230,0.0000,0.0000,24.238,20000.0000,nan,1.0000,4,1,447
924,27720.0,G11,G,-9313.1087,-30.889240,0.0000,0.0000,23.616,20000.0000,nan,1.0000,2,0,448
926,27780.0,G11,G,-9408.6266,-30.995175,0.0000,0.0000,24.044,20000.0000,nan,1.0000,2,0,449
927,27810.0,G07,G,10755.1256,5.388207,0.0000,0.0000,23.375,49.7993,36.4708,0.6667,4,1,450
929,27870.0,G07,G,10856.3301,6.228872,0.0000,0.0000,22.944,20000.0000,nan,1.0000,2,0,451
930,27900.0,G07,G,10908.4135,6.613597,0.0000,0.0000,22.729,20000.0000,nan,nan,1,0,452
931,27930.0,G07,G,10963.2498,6.546877,0.0000,0.0000,22.514,20000.0000,nan,nan,1,0,453
933,27990.0,G07,G,11066.9852,6.353286,0.0000,0.0000,22.083,20000.0000,nan,1.0000,2,0,454
935,28050.0,G07,G,11156.2108,5.004810,0.0000,0.0000,21.653,19999.4280,nan,1.0000,2,0,455
937,28110.0,G07,G,11261.8809,4.867888,0.0000,0.0000,21.224,19999.9997,nan,1.0000,2,0,456
939,28170.0,G07,G,11365.7558,4.222629,0.0000,0.0000,20.795,20000.0000,nan,1.0000,2,0,457
940,28200.0,G07,G,11416.8116,4.928617,0.0000,0.0000,20.581,20000.0000,nan,nan,1,0,458
941,28230.0,G07,G,11488.2542,4.500167,0.0000,0.0000,20.367,20000.0000,nan,nan,1,0,459
942,28260.0,G07,G,11553.9658,1.224788,0.0000,0.0000,20.153,20000.0000,nan,nan,1,0,460
985,29550.0,E03,E,4424.4520,-13.757235,0.0000,0.0000,22.758,50.6685,29.7490,0.8000,686,1,461
992,29760.0,E03,E,4677.1951,-15.233031,0.0000,0.0000,21.922,603.5334,23.9706,0.8333,7,1,462
1004,30120.0,E03,E,5131.7256,-14.257647,0.0000,0.0000,20.532,19997.4257,nan,1.0000,12,1,463
1007,30210.0,E03,E,5282.5143,-14.330669,0.0000,0.0000,20.194,19998.5117,nan,1.0000,3,0,464
1021,30630.0,G24,G,-16469.4702,-65.732605,0.0000,0.0000,19.773,52.9046,24.9877,0.8000,37,1,465
1024,30720.0,G24,G,-16611.0265,-66.155418,0.0000,0.0000,20.256,20000.0000,nan,1.0000,3,0,466
1033,30990.0,G24,G,-17021.7881,-66.006007,0.0000,0.0000,21.678,52.6963,23.2248,0.7500,9,0,467
1038,31140.0,G24,G,-17257.0323,-66.065693,0.0000,0.0000,22.451,605.4057,43.4446,0.7500,5,1,468
1040,31200.0,G24,G,-17356.6161,-65.843609,0.0000,0.0000,22.756,20000.0000,nan,1.0000,2,0,469
1041,31230.0,G24,G,-17407.2628,-66.652439,0.0000,0.0000,22.908,20000.0000,nan,nan,1,0,470
1046,31380.0,G30,G,-5132.1696,-45.401660,0.0000,0.0000,27.077,46.6386,31.0279,0.9000,621,1,471
1052,31560.0,G30,G,-4840.5477,-45.940439,0.0000,0.0000,25.768,19999.4425,nan,1.0000,6,1,472
1053,31590.0,G30,G,-4786.8849,-45.903301,0.0000,0.0000,25.551,20000.0000,nan,nan,1,0,473
1054,31620.0,G30,G,-4734.7318,-46.452774,0.0000,0.0000,25.334,20000.0000,nan,nan,1,0,474
1055,31650.0,G24,G,-18023.2846,-66.114665,0.0000,0.0000,24.972,604.9379,17.1449,0.9000,14,1,475
1056,31680.0,G30,G,-4634.1267,-45.950975,0.0000,0.0000,24.902,52.3075,41.1194,0.0000,2,0,476
1058,31740.0,G30,G,-4529.2305,-46.083726,0.0000,0.0000,24.471,19999.9707,nan,1.0000,2,0,477
