epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
367,11010.0,G03,G,998.2679,-17.073027,0.0000,0.0000,18.410,71.6342,23.5546,0.5000,3,0,54
367,11010.0,G27,G,2829.6415,-1.366677,0.0000,0.0000,23.850,20000.0000,nan,nan,1,0,55
369,11070.0,G03,G,1096.0028,-16.809976,0.0000,0.0000,18.089,19989.9524,nan,1.0000,2,0,56
370,11100.0,G03,G,1146.5479,-16.711524,0.0000,0.0000,17.930,20000.0000,nan,nan,1,0,57
370,11100.0,G27,G,2978.9935,-1.638504,0.0000,0.0000,23.360,19976.6524,nan,1.0000,3,0,58
372,11160.0,G27,G,3072.9954,-1.164341,0.0000,0.0000,23.031,20000.0000,nan,1.0000,2,0,59
373,11190.0,G03,G,1282.7728,-16.522770,0.0000,0.0000,17.454,20000.0000,nan,1.0000,3,0,60
375,11250.0,G27,G,3220.7648,-1.612445,0.0000,0.0000,22.534,20000.0000,nan,1.0000,3,0,61
376,11280.0,G03,G,6536.9112,5.440395,0.0000,0.0000,16.983,20000.0000,nan,1.0000,3,0,62
378,11340.0,G03,G,6630.5293,4.710621,0.0000,0.0000,16.671,20000.0000,nan,1.0000,2,0,63
378,11340.0,G27,G,3367.1387,-1.697560,0.0000,0.0000,22.033,612.7205,6.4054,0.5000,3,0,64
379,11370.0,G27,G,3425.6033,-1.379762,0.0000,0.0000,21.865,20000.0000,nan,nan,1,0,65
381,11430.0,G03,G,6774.7878,3.142739,0.0000,0.0000,16.207,20000.0000,nan,1.0000,3,0,66
395,11850.0,G27,G,20601.0947,83.841836,0.0000,0.0000,19.130,19990.7010,nan,1.0000,16,0,67
396,11880.0,G27,G,20677.0694,84.334986,0.0000,0.0000,18.956,20000.0000,nan,nan,1,0,68
397,11910.0,G27,G,20735.7021,83.482059,0.0000,0.0000,18.782,20000.0000,nan,nan,1,0,69
402,12060.0,G27,G,23531.8107,96.984837,0.0000,0.0000,17.906,20000.0000,nan,nan,5,0,70
403,12090.0,G27,G,23587.4463,97.057559,0.0000,0.0000,17.731,20000.0000,nan,nan,1,0,71
404,12120.0,G27,G,23646.2375,97.980261,0.0000,0.0000,17.554,20000.0000,nan,nan,1,0,72
405,12150.0,G27,G,23713.0972,98.748581,0.0000,0.0000,17.378,20000.0000,nan,nan,1,0,73
406,12180.0,G27,G,23779.5255,99.088073,0.0000,0.0000,17.201,20000.0000,nan,nan,1,0,74
407,12210.0,G27,G,23842.4081,98.348718,0.0000,0.0000,17.024,20000.0000,nan,nan,1,0,75
408,12240.0,G27,G,23892.4426,95.533708,0.0000,0.0000,16.847,20000.0000,nan,nan,1,0,76
409,12270.0,G27,G,23970.4852,97.211433,0.0000,0.0000,16.670,20000.0000,nan,nan,1,0,77
410,12300.0,G27,G,24039.0924,96.871996,0.0000,0.0000,16.492,20000.0000,nan,nan,1,0,78
411,12330.0,G27,G,24102.3873,97.488945,0.0000,0.0000,16.314,20000.0000,nan,nan,1,0,79
425,12750.0,G30,G,-9374.8495,-46.470253,0.0000,0.0000,18.117,278.9743,18.7254,0.7000,87,0,80
427,12810.0,G02,G,-5444.0039,-30.386824,0.0000,0.0000,18.164,20000.0004,nan,1.0000,411,0,81
429,12870.0,E09,E,-1841.3213,-8.611812,0.0000,0.0000,36.150,20000.0009,nan,1.0000,429,1,82
433,12990.0,E09,E,-1655.9620,-8.518541,0.0000,0.0000,35.564,20000.0000,nan,1.0000,4,1,83
437,13110.0,E09,E,-1475.6033,-8.567623,0.0000,0.0000,34.973,626.0502,40.0708,0.6667,4,1,84
437,13110.0,G02,G,-8974.7824,-44.667322,0.0000,0.0000,18.807,20000.0000,nan,1.0000,10,1,85
441,13230.0,E16,E,9696.4406,22.558964,0.0000,0.0000,30.023,20000.0009,nan,1.0000,441,1,86
443,13290.0,E09,E,-1200.0912,-8.731039,0.0000,0.0000,34.078,65.9050,22.1937,0.6000,6,0,87
446,13380.0,E16,E,9927.8311,22.883609,0.0000,0.0000,29.340,64.9230,12.2261,0.7500,5,1,88
448,13440.0,E16,E,10030.2372,22.515710,0.0000,0.0000,29.070,64.6774,0.6394,0.0000,2,0,89
