SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+529.123,+332.031,+1429.189,1559.742,10,0,0,0.1206,2616.00,nan
60.0,FWD,+223.549,+530.686,+1150.579,1286.636,10,0,0,0.1205,2501.70,nan
90.0,FWD,+149.468,+479.634,+763.823,914.230,10,0,0,0.1204,2186.00,214.539
120.0,FWD,+373.950,+131.450,+213.822,450.375,10,0,0,0.1204,2666.44,581.241
150.0,FWD,+498.339,+53.113,+131.562,518.142,10,0,0,0.1203,2143.54,269.352
180.0,FWD,+387.520,+136.586,+21.799,411.464,10,0,0,0.1203,2401.22,279.800
210.0,FWD,+368.756,+95.020,-8.359,380.893,10,0,0,0.1203,2264.52,288.060
240.0,FWD,+497.627,+4.179,-96.838,506.979,10,0,0,0.1203,2504.03,430.621
270.0,FWD,+541.585,-1.412,-108.586,552.365,11,0,0,0.1202,2485.18,341.352
300.0,FWD,+624.370,+104.341,+29.215,633.702,11,0,0,0.1202,2352.82,323.726
330.0,FWD,+478.166,+283.167,+151.991,576.132,11,0,0,0.1201,2186.93,277.766
360.0,FWD,+516.391,+282.664,+184.635,616.968,11,0,0,0.1201,2354.43,208.446
390.0,FWD,+546.851,+142.288,-139.020,581.909,11,0,0,0.1200,2611.23,397.155
420.0,FWD,+579.187,+148.450,-115.878,609.034,11,0,0,0.1200,2330.29,270.280
450.0,FWD,+572.478,+151.688,-147.634,610.357,11,0,0,0.1200,2444.70,264.852
480.0,FWD,+551.481,+158.703,-315.797,655.016,11,0,0,0.1200,2606.63,383.948
510.0,FWD,+551.404,+164.867,-335.793,666.322,11,0,0,0.1200,2506.19,346.031
540.0,FWD,+481.610,+140.421,-365.238,620.536,11,0,0,0.1200,2495.01,279.156
570.0,FWD,+423.676,+115.070,-435.719,618.541,11,0,0,0.1199,2836.57,299.067
600.0,FWD,+417.073,+72.532,-664.938,788.260,12,0,0,0.1195,2521.76,354.790
630.0,FWD,+525.404,+27.127,-513.587,735.226,12,0,0,0.1197,2623.43,376.332
660.0,FWD,+515.678,+43.587,-542.129,749.485,11,0,0,0.1203,2586.02,349.567
690.0,FWD,+509.020,+37.196,-498.426,713.382,11,0,0,0.1203,2367.37,352.897
720.0,FWD,+492.179,+31.206,-510.287,709.653,11,0,0,0.1203,2622.69,349.497
750.0,FWD,+513.035,+48.816,-440.515,677.968,11,0,0,0.1204,2462.73,367.428
780.0,FWD,+506.322,+118.724,-394.103,652.515,11,0,0,0.1204,2822.07,354.866
810.0,FWD,+512.538,+125.624,-417.137,672.666,11,0,0,0.1204,2608.28,314.461
840.0,FWD,+216.634,-77.840,-104.466,252.790,11,0,0,0.1204,2347.14,345.925
870.0,FWD,+244.153,-54.833,-220.617,333.600,11,2,0,0.1201,2571.35,356.471
900.0,FWD,+165.205,-29.579,-118.071,205.204,11,2,0,0.1201,2233.50,369.523
930.0,FWD,+165.017,-27.412,-124.246,208.372,11,2,0,0.1201,2614.30,605.794
960.0,FWD,+164.438,-28.586,-121.172,206.251,11,2,0,0.1201,2576.77,407.807
990.0,FWD,+165.288,-25.741,-130.837,212.370,12,2,0,0.1202,3173.41,501.517
1020.0,FWD,+175.280,-21.120,-119.471,213.173,12,2,0,0.1201,3070.18,381.377
1050.0,FWD,+149.457,-35.736,-118.408,193.998,12,2,0,0.1201,2818.64,374.971
1080.0,FWD,+151.621,-34.844,-115.213,193.590,14,2,0,0.1201,2454.66,350.911
1110.0,FWD,+154.523,-33.333,-112.647,194.108,14,2,0,0.1201,2287.23,359.742
