epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
133,3990.0,G03,DEGRADED,3000.0,0,1,0.471768,46.292,63.935,1,0
133,3990.0,G04,DEGRADED,3000.0,0,1,0.357530,50.040,46.094,1,0
133,3990.0,G07,ACTIVE,840.0,0,1,0.686231,-14.488,17.633,0,4
134,4020.0,G03,DEGRADED,3030.0,1,0,0.471768,273.325,63.768,1,0
134,4020.0,G04,DEGRADED,3030.0,1,0,0.357530,283.032,46.271,1,0
134,4020.0,G07,ACTIVE,870.0,1,0,0.686231,212.305,17.682,0,4
135,4050.0,G03,DEGRADED,3060.0,2,0,0.471768,166.204,63.600,1,0
135,4050.0,G04,DEGRADED,3060.0,2,0,0.357530,177.996,46.447,1,0
135,4050.0,G07,ACTIVE,900.0,0,1,0.686231,91.345,17.731,0,4
136,4080.0,G03,DEGRADED,3090.0,0,1,0.471768,108.263,63.430,1,0
136,4080.0,G04,DEGRADED,3090.0,0,1,0.357530,119.770,46.625,1,0
136,4080.0,G07,ACTIVE,930.0,0,2,0.686231,55.095,17.780,0,4
137,4110.0,G03,DEGRADED,3120.0,0,2,0.471768,124.477,63.259,1,0
137,4110.0,G04,DEGRADED,3120.0,0,2,0.357530,136.970,46.802,1,0
137,4110.0,G07,ACTIVE,960.0,0,3,0.686231,72.518,17.829,0,4
138,4140.0,G03,DEGRADED,3150.0,1,0,0.471768,-169.270,63.086,1,0
138,4140.0,G04,DEGRADED,3150.0,1,0,0.357530,-150.022,46.980,1,0
138,4140.0,G07,ACTIVE,990.0,1,0,0.686231,-231.332,17.877,0,4
139,4170.0,G03,DEGRADED,3180.0,0,1,0.471768,-21.375,62.912,1,0
139,4170.0,G04,DEGRADED,3180.0,0,1,0.357530,1.763,47.158,1,0
139,4170.0,G07,ACTIVE,1020.0,0,1,0.686231,-77.705,17.926,0,4
140,4200.0,G03,DEGRADED,3210.0,0,2,0.471768,101.852,62.737,1,0
140,4200.0,G04,DEGRADED,3210.0,0,2,0.357530,124.716,47.336,1,0
140,4200.0,G07,ACTIVE,1050.0,0,2,0.686231,40.950,17.974,0,4
141,4230.0,G03,DEGRADED,3240.0,0,3,0.471768,-94.272,62.560,1,0
141,4230.0,G04,DEGRADED,3240.0,0,3,0.357530,-71.252,47.515,1,0
141,4230.0,G07,ACTIVE,1080.0,1,0,0.686231,-151.930,18.022,0,4
142,4260.0,G03,DEGRADED,3270.0,1,0,0.471768,182.097,62.382,1,0
142,4260.0,G04,DEGRADED,3270.0,1,0,0.357530,208.083,47.694,1,0
142,4260.0,G07,ACTIVE,1110.0,0,1,0.686231,119.682,18.070,0,4
143,4290.0,G03,DEGRADED,3300.0,2,0,0.471768,280.142,62.203,1,0
143,4290.0,G04,DEGRADED,3300.0,2,0,0.357530,304.808,47.873,1,0
143,4290.0,G07,ACTIVE,1140.0,1,0,0.686231,195.744,18.118,0,4
144,4320.0,G03,DEGRADED,3330.0,0,1,0.471768,78.888,62.022,1,0
144,4320.0,G04,DEGRADED,3330.0,0,1,0.357530,101.662,48.053,1,0
144,4320.0,G07,ACTIVE,1170.0,0,1,0.686231,-3.730,18.166,0,4
145,4350.0,G03,DEGRADED,3360.0,0,2,0.471768,-133.466,61.841,1,0
145,4350.0,G04,DEGRADED,3360.0,0,2,0.357530,-109.656,48.233,1,0
145,4350.0,G07,ACTIVE,1200.0,1,0,0.686231,-223.909,18.214,0,4
146,4380.0,G03,DEGRADED,3390.0,0,3,0.471768,82.574,61.658,1,0
146,4380.0,G04,DEGRADED,3390.0,0,3,0.357530,104.273,48.413,1,0
146,4380.0,G07,ACTIVE,1230.0,0,1,0.686231,-11.511,18.262,0,4
147,4410.0,G03,DEGRADED,3420.0,0,4,0.471768,24.028,61.474,1,0
147,4410.0,G04,DEGRADED,3420.0,0,4,0.357530,41.501,48.593,1,0
147,4410.0,G07,ACTIVE,1260.0,0,2,0.686231,-71.044,18.309,0,4
148,4440.0,G03,DEGRADED,3450.0,1,0,0.471768,-301.358,61.289,1,0
148,4440.0,G04,DEGRADED,3450.0,1,0,0.357530,-279.770,48.774,1,0
148,4440.0,G07,ACTIVE,1290.0,1,0,0.686231,-399.546,18.357,0,4
149,4470.0,G03,DEGRADED,3480.0,0,1,0.471768,37.682,61.103,1,0
149,4470.0,G04,DEGRADED,3480.0,0,1,0.357530,55.967,48.955,1,0
149,4470.0,G07,ACTIVE,1320.0,0,1,0.686231,-49.457,18.404,0,4
150,4500.0,G03,DEGRADED,3510.0,1,0,0.471768,184.037,60.915,1,0
150,4500.0,G04,DEGRADED,3510.0,1,0,0.357530,202.729,49.136,1,0
150,4500.0,G07,ACTIVE,1350.0,0,2,0.686231,111.838,18.451,0,4
151,4530.0,G03,DEGRADED,3540.0,2,0,0.471768,-320.436,60.727,1,0
151,4530.0,G04,DEGRADED,3540.0,2,0,0.357530,-299.342,49.317,1,0
151,4530.0,G07,ACTIVE,1380.0,1,0,0.686231,-372.579,18.499,0,4
152,4560.0,G03,DEGRADED,3570.0,3,0,0.471768,-185.290,60.538,1,0
152,4560.0,G04,DEGRADED,3570.0,3,0,0.357530,-163.260,49.499,1,0
