SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
82950.0,G26,-2.1966,1.3595,neg(-2.197m),1,7.339,3.000
82950.0,G31,-2.3236,1.5662,neg(-2.324m),1,6.955,3.000
82980.0,G03,-2.3017,1.6458,neg(-2.302m),1,6.844,3.000
82980.0,G16,-2.0871,1.3727,neg(-2.087m),1,7.310,3.000
82980.0,G26,-2.1291,1.3603,neg(-2.129m),1,7.336,3.000
82980.0,G31,-2.3067,1.5695,neg(-2.307m),1,6.951,3.000
83010.0,G03,-2.1293,1.6411,neg(-2.129m),1,6.849,3.000
83010.0,G16,-2.1563,1.3707,neg(-2.156m),1,7.313,3.000
83010.0,G26,-2.1736,1.3612,neg(-2.174m),1,7.333,3.000
83010.0,G31,-2.2017,1.5729,neg(-2.202m),1,6.947,3.000
83040.0,G03,-2.3016,1.6363,neg(-2.302m),1,6.854,3.000
83040.0,G16,-2.0618,1.3687,neg(-2.062m),1,7.317,3.000
83040.0,G26,-2.2018,1.3621,neg(-2.202m),1,7.331,3.000
83040.0,G31,-2.0851,1.5762,neg(-2.085m),1,6.942,3.000
83070.0,G03,-2.2530,1.6316,neg(-2.253m),1,6.858,3.000
83070.0,G16,-2.1331,1.3668,neg(-2.133m),1,7.320,3.000
83070.0,G26,-2.2143,1.3630,neg(-2.214m),1,7.328,3.000
83070.0,G31,-2.1278,1.5796,neg(-2.128m),1,6.938,3.000
83100.0,G03,-2.2871,1.6269,neg(-2.287m),1,6.863,3.000
83100.0,G26,-2.1481,1.3640,neg(-2.148m),1,7.325,3.000
83100.0,G31,-2.0355,1.5830,neg(-2.036m),1,6.934,3.000
83130.0,G03,-2.2588,1.6226,neg(-2.259m),1,6.869,3.000
83130.0,G16,-2.0207,1.3630,neg(-2.021m),1,7.327,3.000
83130.0,G26,-2.1590,1.3650,neg(-2.159m),1,7.323,3.000
83130.0,G31,-2.1545,1.5864,neg(-2.155m),1,6.930,3.000
83160.0,G03,-2.4094,1.6189,neg(-2.409m),1,6.878,3.000
83160.0,G16,-2.1035,1.3611,neg(-2.104m),1,7.330,3.000
83160.0,G26,-2.0522,1.3660,neg(-2.052m),1,7.320,3.000
83160.0,G31,-2.1621,1.5899,neg(-2.162m),1,6.926,3.000
83190.0,G03,-2.4139,1.6151,neg(-2.414m),1,6.886,3.000
83190.0,G16,-2.0826,1.3593,neg(-2.083m),1,7.334,3.000
83190.0,G26,-2.2012,1.3670,neg(-2.201m),1,7.317,3.000
83190.0,G31,-2.0112,1.5933,neg(-2.011m),1,6.921,3.000
83220.0,G03,-2.4545,1.6113,neg(-2.454m),1,6.894,3.000
