SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
24990.0,G01,0,0.0000,24.0222,1,old_I_zero,0,guarded
25080.0,G01,0,0.0000,24.3097,1,old_I_zero,0,guarded
25230.0,G01,0,0.0000,23.8042,1,old_I_zero,0,guarded
25320.0,G01,0,0.0000,24.3128,1,old_I_zero,0,guarded
25500.0,G01,0,0.0000,26.2202,1,old_I_zero,0,guarded
25590.0,G01,0,0.0000,25.8848,1,old_I_zero,0,guarded
25680.0,G01,0,0.0000,25.6653,1,old_I_zero,0,guarded
25770.0,G01,0,0.0000,26.8261,1,old_I_zero,0,guarded
25860.0,G01,0,0.0000,28.2265,1,old_I_zero,0,guarded
26100.0,G01,0,0.0000,28.0271,1,old_I_zero,0,guarded
26220.0,G01,0,0.0000,29.1107,1,old_I_zero,0,guarded
26700.0,G11,0,0.0000,18.6602,1,old_I_zero,0,guarded
27000.0,G11,0,0.0000,17.7498,1,old_I_zero,0,guarded
27090.0,G11,0,0.0000,17.1763,1,old_I_zero,0,guarded
27180.0,G11,0,0.0000,17.4669,1,old_I_zero,0,guarded
27270.0,G11,0,0.0000,16.3771,1,old_I_zero,0,guarded
27420.0,G11,0,0.0000,16.5441,1,old_I_zero,0,guarded
27750.0,G07,0,0.0000,13.2306,1,old_I_zero,0,guarded
27780.0,G11,0,0.0000,14.2471,1,old_I_zero,0,guarded
28200.0,G07,0,0.0000,15.1922,1,old_I_zero,0,guarded
31140.0,G21,0,0.0000,19.2495,1,old_I_zero,0,guarded
31140.0,G24,0,0.0000,19.5506,1,old_I_zero,0,guarded
31380.0,G21,0,0.0000,17.9109,1,old_I_zero,0,guarded
31380.0,G30,0,0.0000,12.3848,1,old_I_zero,0,guarded
31590.0,G30,0,0.0000,14.1160,1,old_I_zero,0,guarded
31920.0,G30,0,0.0000,13.5596,1,old_I_zero,0,guarded
32130.0,G21,0,0.0000,18.5183,1,old_I_zero,0,guarded
33540.0,G13,0,0.0000,19.6945,1,old_I_zero,0,guarded
34380.0,G17,0,0.0000,22.9857,1,old_I_zero,0,guarded
