SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
810.0,BWD,1337935.7859,6070317.2495,1427877.4844,1337935.5599,6070317.2377,1427877.5071,+225.989,+11.817,-22.661,-218.148,-35.638,+53.528,227.429,4,11,8,0,2.0909,0.0980,2.1889,466.35,9.473
840.0,BWD,1337935.7870,6070317.2498,1427877.4843,1337935.5599,6070317.2377,1427877.5071,+227.057,+12.137,-22.832,-219.123,-35.927,+54.018,228.525,4,11,8,0,2.0909,0.0975,2.1883,181.27,9.547
870.0,BWD,1337935.7877,6070317.2499,1427877.4845,1337935.5599,6070317.2377,1427877.5071,+227.838,+12.169,-22.625,-219.878,-35.770,+54.260,229.282,4,11,8,0,2.0909,0.0967,2.1876,709.89,4.556
900.0,BWD,1337935.7880,6070317.2498,1427877.4846,1337935.5599,6070317.2377,1427877.5071,+228.093,+12.057,-22.461,-220.151,-35.598,+54.244,229.513,4,11,8,0,2.0909,0.0964,2.1872,904.66,6.478
930.0,BWD,1337935.7887,6070317.2497,1427877.4851,1337935.5599,6070317.2377,1427877.5071,+228.753,+12.000,-22.037,-220.808,-35.204,+54.423,230.125,4,11,8,0,2.0909,0.0960,2.1869,692.56,16.301
960.0,BWD,1337935.7902,6070317.2496,1427877.4862,1337935.5599,6070317.2377,1427877.5071,+230.268,+11.872,-20.852,-222.316,-34.095,+54.886,231.515,4,11,8,0,2.0909,0.0951,2.1860,1044.56,17.596
990.0,BWD,1337935.7918,6070317.2495,1427877.4871,1337935.5599,6070317.2377,1427877.5071,+231.891,+11.805,-19.977,-223.914,-33.307,+55.360,233.049,4,11,8,0,2.0909,0.0940,2.1848,524.75,17.613
1020.0,BWD,1337935.7931,6070317.2494,1427877.4878,1337935.5599,6070317.2377,1427877.5071,+233.224,+11.677,-19.266,-225.244,-32.650,+55.677,234.309,4,11,8,0,2.0909,0.0926,2.1835,888.11,10.445
1050.0,BWD,1337935.7939,6070317.2491,1427877.4889,1337935.5599,6070317.2377,1427877.5071,+234.035,+11.388,-18.234,-226.098,-31.621,+55.805,235.020,4,11,8,0,2.0909,0.0921,2.1829,181.02,10.742
1080.0,BWD,1337935.7949,6070317.2490,1427877.4897,1337935.5599,6070317.2377,1427877.5071,+234.989,+11.283,-17.385,-227.052,-30.817,+56.097,235.901,4,11,8,0,2.0909,0.0915,2.1823,650.45,9.851
1110.0,BWD,1337935.7952,6070317.2487,1427877.4902,1337935.5599,6070317.2377,1427877.5071,+235.287,+10.975,-16.904,-227.410,-30.295,+55.974,236.149,4,11,8,0,2.0909,0.0906,2.1815,506.26,14.629
1140.0,BWD,1337935.7960,6070317.2483,1427877.4913,1337935.5599,6070317.2377,1427877.5071,+236.122,+10.575,-15.785,-228.311,-29.157,+56.021,236.885,4,11,8,0,2.0909,0.0896,2.1804,519.17,11.707
1170.0,BWD,1337935.7970,6070317.2480,1427877.4926,1337935.5599,6070317.2377,1427877.5071,+237.064,+10.295,-14.541,-229.291,-27.929,+56.233,237.732,4,11,8,0,2.0909,0.0890,2.1798,735.43,10.014
1200.0,BWD,1337935.7974,6070317.2476,1427877.4938,1337935.5599,6070317.2377,1427877.5071,+237.506,+9.864,-13.279,-229.816,-26.626,+56.199,238.081,4,11,8,0,2.0909,0.0884,2.1792,933.98,2.401
1230.0,BWD,1337935.7975,6070317.2475,1427877.4941,1337935.5599,6070317.2377,1427877.5071,+237.598,+9.810,-13.022,-229.917,-26.368,+56.225,238.156,4,11,8,0,2.0909,0.0882,2.1790,847.32,7.023
1260.0,BWD,1337935.7966,6070317.2471,1427877.4944,1337935.5599,6070317.2377,1427877.5071,+236.732,+9.384,-12.665,-229.163,-25.885,+55.719,237.256,4,11,8,0,2.0909,0.0886,2.1795,1060.50,4.969
1290.0,BWD,1337935.7960,6070317.2465,1427877.4951,1337935.5599,6070317.2377,1427877.5071,+236.058,+8.813,-11.978,-228.628,-25.057,+55.189,236.526,4,11,8,0,2.0909,0.0887,2.1795,658.07,2.698
1320.0,BWD,1337935.7956,6070317.2462,1427877.4954,1337935.5599,6070317.2377,1427877.5071,+235.737,+8.534,-11.700,-228.375,-24.709,+54.919,236.182,4,11,8,0,2.0909,0.0888,2.1796,762.45,7.258
1350.0,BWD,1337935.7946,6070317.2457,1427877.4957,1337935.5599,6070317.2377,1427877.5071,+234.660,+8.039,-11.443,-227.429,-24.298,+54.280,235.076,4,11,8,0,2.0909,0.0890,2.1799,250.91,6.266
1380.0,BWD,1337935.7936,6070317.2453,1427877.4958,1337935.5599,6070317.2377,1427877.5071,+233.735,+7.605,-11.251,-226.620,-23.970,+53.716,234.129,4,11,8,0,2.0909,0.0893,2.1801,213.90,8.160
1410.0,BWD,1337935.7925,6070317.2449,1427877.4958,1337935.5599,6070317.2377,1427877.5071,+232.643,+7.223,-11.320,-225.636,-23.900,+53.108,233.030,4,11,8,0,2.0909,0.0896,2.1805,769.95,10.055
1440.0,BWD,1337935.7914,6070317.2447,1427877.4952,1337935.5599,6070317.2377,1427877.5071,+231.524,+7.000,-11.939,-224.591,-24.400,+52.523,231.938,4,11,8,0,2.0909,0.0900,2.1809,646.14,13.851
1470.0,BWD,1337935.7900,6070317.2446,1427877.4942,1337935.5599,6070317.2377,1427877.5071,+230.084,+6.878,-12.949,-223.210,-25.287,+51.876,230.550,5,11,8,0,2.0909,0.0906,2.1815,253.92,9.034
1500.0,BWD,1337935.7887,6070317.2442,1427877.4938,1337935.5599,6070317.2377,1427877.5071,+228.818,+6.547,-13.282,-222.046,-25.478,+51.221,229.297,5,11,8,0,2.0909,0.0911,2.1820,512.02,9.930
1530.0,BWD,1337935.7875,6070317.2440,1427877.4931,1337935.5599,6070317.2377,1427877.5071,+227.559,+6.301,-13.984,-220.869,-26.046,+50.565,228.075,5,11,8,0,2.0909,0.0915,2.1823,586.33,13.477
1560.0,BWD,1337935.7860,6070317.2438,1427877.4914,1337935.5599,6070317.2377,1427877.5071,+226.142,+6.144,-15.654,-219.519,-27.571,+49.742,226.766,5,11,8,0,2.0909,0.0915,2.1824,741.71,10.195
1590.0,BWD,1337935.7849,6070317.2437,1427877.4905,1337935.5599,6070317.2377,1427877.5071,+224.966,+5.996,-16.640,-218.403,-28.442,+49.132,225.661,5,11,8,0,2.0909,0.0919,2.1828,1068.34,8.950
1620.0,BWD,1337935.7837,6070317.2435,1427877.4901,1337935.5599,6070317.2377,1427877.5071,+223.814,+5.817,-17.047,-217.316,-28.743,+48.628,224.537,5,11,8,0,2.0909,0.0925,2.1834,809.40,6.154
1650.0,BWD,1337935.7831,6070317.2432,1427877.4900,1337935.5599,6070317.2377,1427877.5071,+223.157,+5.531,-17.109,-216.736,-28.708,+48.205,223.880,5,11,8,0,2.0909,0.0928,2.1836,1421.37,7.223
1680.0,BWD,1337935.7828,6070317.2434,1427877.4907,1337935.5599,6070317.2377,1427877.5071,+222.878,+5.669,-16.442,-216.434,-28.076,+48.428,223.556,5,11,8,0,2.0909,0.0935,2.1844,642.53,6.881
1710.0,BWD,1337935.7819,6070317.2430,1427877.4913,1337935.5599,6070317.2377,1427877.5071,+221.976,+5.329,-15.756,-215.626,-27.288,+48.070,222.598,5,11,8,0,2.0909,0.0941,2.1849,527.73,6.361
1740.0,BWD,1337935.7812,6070317.2430,1427877.4910,1337935.5599,6070317.2377,1427877.5071,+221.289,+5.264,-16.055,-214.970,-27.532,+47.796,221.933,5,11,8,0,2.0909,0.0945,2.1853,458.16,7.276
1770.0,BWD,1337935.7802,6070317.2426,1427877.4912,1337935.5599,6070317.2377,1427877.5071,+220.329,+4.932,-15.926,-214.104,-27.287,+47.309,220.959,5,11,8,0,2.0909,0.0950,2.1858,655.28,6.128
1800.0,BWD,1337935.7801,6070317.2429,1427877.4911,1337935.5599,6070317.2377,1427877.5071,+220.212,+5.167,-16.027,-213.938,-27.431,+47.485,220.855,5,11,8,0,2.0909,0.0956,2.1865,1290.44,3.258
1830.0,BWD,1337935.7797,6070317.2424,1427877.4912,1337935.5599,6070317.2377,1427877.5071,+219.824,+4.696,-15.938,-213.661,-27.222,+46.975,220.451,5,11,8,0,2.0909,0.0956,2.1864,752.55,6.873
1860.0,BWD,1337935.7788,6070317.2421,1427877.4908,1337935.5599,6070317.2377,1427877.5071,+218.904,+4.366,-16.325,-212.833,-27.482,+46.382,219.555,5,11,8,0,2.0909,0.0958,2.1867,687.38,2.688
1890.0,BWD,1337935.7785,6070317.2417,1427877.4912,1337935.5599,6070317.2377,1427877.5071,+218.590,+4.048,-15.913,-212.595,-26.996,+46.106,219.205,5,11,8,0,2.0909,0.0958,2.1867,722.70,4.018
1920.0,BWD,1337935.7779,6070317.2412,1427877.4918,1337935.5599,6070317.2377,1427877.5071,+218.032,+3.504,-15.268,-212.168,-26.220,+45.616,218.594,5,11,8,0,2.0909,0.0958,2.1867,627.80,8.276
1950.0,BWD,1337935.7775,6070317.2407,1427877.4929,1337935.5599,6070317.2377,1427877.5071,+217.615,+3.026,-14.206,-211.863,-25.060,+45.314,218.100,5,11,8,0,2.0909,0.0959,2.1867,878.88,5.635
