SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
77370.0,FWD,-4.882,+12.932,-91.498,92.537,10,4,0,0.1236,2369.04,122.399
77400.0,FWD,-4.885,+12.931,-91.492,92.530,10,4,0,0.1236,2586.86,126.348
77430.0,FWD,-4.886,+12.928,-91.487,92.525,10,4,0,0.1236,2551.08,117.255
77460.0,FWD,-5.194,+12.917,-91.599,92.651,10,4,0,0.1236,2557.33,246.299
77490.0,FWD,-5.195,+12.920,-91.587,92.639,10,4,0,0.1235,2510.17,273.459
77520.0,FWD,-5.194,+12.921,-91.575,92.628,10,4,0,0.1235,2263.33,152.125
77550.0,FWD,-4.640,+12.159,-90.109,91.044,10,4,0,0.1248,2434.83,120.860
77580.0,FWD,-3.520,+11.516,-91.722,92.509,10,4,0,0.1256,2242.25,119.983
77610.0,FWD,-2.697,+11.484,-91.764,92.520,10,4,0,0.1259,2809.74,118.468
77640.0,FWD,-2.700,+11.488,-91.750,92.506,10,4,0,0.1259,2748.75,305.974
77670.0,FWD,-2.590,+11.055,-90.325,91.036,10,4,0,0.1266,2442.89,118.084
77700.0,FWD,-2.597,+11.055,-90.313,91.025,10,4,0,0.1266,2785.21,111.766
77730.0,FWD,-2.598,+11.056,-90.294,91.005,10,4,0,0.1266,2320.64,156.520
77760.0,FWD,-2.594,+11.053,-90.273,90.984,10,4,0,0.1266,2309.54,181.746
77790.0,FWD,-3.630,+10.980,-90.797,91.531,10,4,0,0.1265,2279.77,240.109
77820.0,FWD,-3.638,+10.981,-90.786,91.520,10,4,0,0.1265,2322.55,139.257
77850.0,FWD,-3.640,+10.980,-90.769,91.503,10,4,0,0.1265,2397.73,120.415
77880.0,FWD,-4.171,+10.830,-90.796,91.535,10,4,0,0.1267,2336.94,126.498
77910.0,FWD,-4.989,+10.577,-90.838,91.588,10,4,0,0.1271,2204.64,127.868
77940.0,FWD,-4.996,+10.579,-90.823,91.573,10,4,0,0.1270,2169.59,208.312
77970.0,FWD,-4.012,+6.998,-88.204,88.572,11,4,0,0.1295,2479.27,118.228
78000.0,FWD,-4.080,+6.994,-88.212,88.583,11,4,0,0.1295,2194.21,236.156
78030.0,FWD,-4.077,+6.989,-88.185,88.555,11,4,0,0.1295,2384.18,259.064
78060.0,FWD,-5.176,+7.688,-88.078,88.565,11,4,0,0.1295,2281.94,113.984
78090.0,FWD,-5.189,+7.692,-88.060,88.547,11,4,0,0.1295,2281.57,146.030
78120.0,FWD,-5.196,+7.694,-88.035,88.523,11,4,0,0.1294,2196.55,121.110
78150.0,FWD,-4.614,+7.778,-87.757,88.221,11,4,0,0.1295,2406.68,237.588
78180.0,FWD,-4.628,+7.782,-87.736,88.202,11,4,0,0.1294,2240.54,111.904
78210.0,FWD,-5.348,+7.665,-87.994,88.489,11,4,0,0.1294,2235.53,235.550
78240.0,FWD,-5.768,+7.605,-88.122,88.637,11,4,0,0.1293,2456.30,239.053
78270.0,FWD,-5.402,+7.659,-87.967,88.465,11,4,0,0.1293,2623.97,243.389
78300.0,FWD,-5.398,+7.647,-87.944,88.441,11,4,0,0.1293,2483.23,112.986
78330.0,FWD,-5.410,+7.647,-87.924,88.422,11,4,0,0.1293,2298.00,111.528
78360.0,FWD,-6.773,+4.924,-89.221,89.613,11,4,0,0.1301,2227.14,112.310
78390.0,FWD,-6.779,+4.928,-89.191,89.583,11,4,0,0.1301,2398.62,105.103
78420.0,FWD,-6.782,+4.930,-89.161,89.554,11,4,0,0.1300,2634.71,202.566
78450.0,FWD,-6.792,+4.933,-89.137,89.531,11,4,0,0.1300,2345.90,131.791
78480.0,FWD,-6.798,+4.935,-89.110,89.505,11,4,0,0.1300,2499.50,184.569
78510.0,FWD,-7.134,+6.861,-88.482,89.034,11,4,0,0.1311,2243.67,117.612
78540.0,FWD,-7.146,+6.869,-88.452,89.006,11,4,0,0.1310,2227.30,221.313
78570.0,FWD,-5.553,+9.097,-87.219,87.868,11,4,0,0.1319,2097.60,117.758
78600.0,FWD,-5.564,+9.099,-87.191,87.841,11,4,0,0.1318,2257.78,127.566
78630.0,FWD,-5.574,+9.105,-87.156,87.808,11,4,0,0.1318,2235.25,181.738
78660.0,FWD,-5.591,+9.108,-87.131,87.784,11,4,0,0.1318,2241.48,111.374
78690.0,FWD,-5.601,+9.108,-87.101,87.754,11,4,0,0.1317,2631.75,148.504
78720.0,FWD,-5.614,+9.115,-87.069,87.724,11,4,0,0.1317,2899.09,112.130
78750.0,FWD,-2.382,+10.348,-85.252,85.910,11,4,0,0.1322,2101.19,116.627
78780.0,FWD,-3.064,+8.966,-84.884,85.411,11,4,0,0.1323,2165.51,109.980
78810.0,FWD,-2.458,+7.740,-82.426,82.825,11,4,0,0.1343,2085.57,114.988
78840.0,FWD,-2.478,+7.749,-82.390,82.790,11,4,0,0.1342,2068.51,122.498
78870.0,FWD,-2.497,+7.756,-82.356,82.758,11,4,0,0.1342,2108.14,172.050
78900.0,FWD,-2.512,+7.765,-82.315,82.719,11,4,0,0.1342,2512.44,118.800
78930.0,FWD,-2.127,+7.073,-79.541,79.883,11,4,0,0.1360,2350.03,116.439
78960.0,FWD,-2.147,+7.088,-79.488,79.833,11,4,0,0.1360,2452.39,108.606
78990.0,FWD,-2.169,+7.099,-79.442,79.788,11,4,0,0.1359,2147.95,210.370
79020.0,FWD,-2.190,+7.108,-79.401,79.748,11,4,0,0.1359,1999.72,327.323
79050.0,FWD,-2.207,+7.116,-79.357,79.706,11,4,0,0.1359,2023.59,193.817
79080.0,FWD,-2.221,+7.123,-79.312,79.662,11,4,0,0.1358,2238.64,142.559
79110.0,FWD,-2.234,+7.127,-79.270,79.621,11,4,0,0.1358,2401.40,107.087
79140.0,FWD,-2.252,+7.132,-79.231,79.583,11,4,0,0.1357,2408.21,156.679
79170.0,FWD,-2.268,+7.137,-79.190,79.543,11,4,0,0.1357,2281.10,153.994
79200.0,FWD,-2.281,+7.146,-79.141,79.495,11,4,0,0.1357,2193.24,262.129
79230.0,FWD,-2.291,+7.149,-79.100,79.455,11,4,0,0.1356,2176.82,283.546
79260.0,FWD,-2.307,+7.154,-79.062,79.418,11,4,0,0.1356,2407.84,107.507
79290.0,FWD,-2.324,+7.159,-79.019,79.377,11,4,0,0.1355,2431.90,107.456
79320.0,FWD,-2.335,+7.164,-78.973,79.331,11,4,0,0.1355,2354.85,115.578
79350.0,FWD,-2.349,+7.169,-78.931,79.290,12,4,0,0.1354,2469.74,109.133
79380.0,FWD,-2.364,+7.174,-78.888,79.248,12,4,0,0.1354,2784.80,263.006
79410.0,FWD,-2.375,+7.178,-78.844,79.206,12,4,0,0.1354,2170.16,124.330
79440.0,FWD,-2.395,+7.184,-78.805,79.168,12,4,0,0.1353,2575.95,105.792
79470.0,FWD,-2.410,+7.190,-78.764,79.128,12,4,0,0.1353,2449.48,132.585
