sod,sat,const,signal_family,PIF_before_osb,PIF_after_osb,LIF_before_osb,LIF_after_osb,osb_code_L1_m,osb_code_L2_m,osb_phase_L1_m,osb_phase_L2_m,osb_IF_code_m,osb_IF_phase_m,code_shift_mm,phase_shift_mm,plaus_ok,sign_ok,PASS
60.0,G26,G,L1C+L2W,21825628.9968,21825628.9968,21825634.7057,21825634.6817,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
60.0,G27,G,L1C+L2W,23474216.5177,23474216.5177,23474226.4590,23474226.4500,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
60.0,G31,G,L1C+L2W,23131062.3988,23131062.3988,23131074.9487,23131074.9066,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
90.0,E04,E,E1+E5a,26399645.0401,26399645.0401,26399660.6533,26399660.7001,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
90.0,E05,E,E1+E5a,26846077.6056,26846077.6055,26846083.9156,26846083.9289,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
90.0,E09,E,E1+E5a,25047148.3705,25047148.3704,25047153.0925,25047153.1135,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
90.0,E16,E,E1+E5a,23790921.5353,23790921.5353,23790928.3545,23790928.3128,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
90.0,G01,G,L1C+L2W,23106577.3737,23106577.3737,23106580.9078,23106580.8961,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
90.0,G03,G,L1C+L2W,20571425.3775,20571425.3775,20571428.9482,20571428.9650,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
90.0,G04,G,L1C+L2W,23129858.8176,23129858.8176,23129863.1606,23129863.1170,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
90.0,G08,G,L1C+L2W,23920746.4495,23920746.4494,23920740.4240,23920740.4370,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
90.0,G16,G,L1C+L2W,20073243.1384,20073243.1384,20073245.8105,20073245.8561,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
90.0,G26,G,L1C+L2W,21840826.9678,21840826.9678,21840831.8618,21840831.8378,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
90.0,G27,G,L1C+L2W,23462715.0301,23462715.0301,23462725.9068,23462725.8978,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
90.0,G31,G,L1C+L2W,23144568.9842,23144568.9843,23144579.9710,23144579.9289,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
120.0,E04,E,E1+E5a,26401339.8138,26401339.8138,26401355.9685,26401356.0154,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
120.0,E05,E,E1+E5a,26838982.6955,26838982.6955,26838988.0447,26838988.0581,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
120.0,E09,E,E1+E5a,25043110.0201,25043110.0201,25043115.1978,25043115.2188,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
120.0,E16,E,E1+E5a,23782286.9489,23782286.9489,23782293.6763,23782293.6347,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
120.0,G01,G,L1C+L2W,23115368.1471,23115368.1471,23115373.1626,23115373.1510,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
120.0,G03,G,L1C+L2W,20564286.0751,20564286.0751,20564288.7310,20564288.7478,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
120.0,G04,G,L1C+L2W,23118387.7379,23118387.7379,23118391.6758,23118391.6323,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
120.0,G08,G,L1C+L2W,23907676.5218,23907676.5218,23907668.9193,23907668.9323,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
120.0,G16,G,L1C+L2W,20073691.0776,20073691.0776,20073695.3748,20073695.4203,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
120.0,G26,G,L1C+L2W,21856098.1770,21856098.1770,21856101.7827,21856101.7588,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
120.0,G27,G,L1C+L2W,23451205.6044,23451205.6044,23451220.7869,23451220.7779,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
120.0,G31,G,L1C+L2W,23158057.7260,23158057.7260,23158069.6239,23158069.5817,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
150.0,E04,E,E1+E5a,26403047.4924,26403047.4923,26403064.0938,26403064.1407,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
150.0,E05,E,E1+E5a,26831858.4986,26831858.4985,26831863.7796,26831863.7929,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
150.0,E09,E,E1+E5a,25039061.3074,25039061.3073,25039066.2843,25039066.3053,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
150.0,E16,E,E1+E5a,23773714.3184,23773714.3184,23773720.5727,23773720.5310,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
150.0,G01,G,L1C+L2W,23124179.8139,23124179.8139,23124183.1946,23124183.1829,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
150.0,G03,G,L1C+L2W,20557249.3094,20557249.3094,20557252.8103,20557252.8271,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
150.0,G04,G,L1C+L2W,23106896.1358,23106896.1358,23106899.3525,23106899.3090,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
150.0,G08,G,L1C+L2W,23894562.0934,23894562.0934,23894560.8571,23894560.8701,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
150.0,G16,G,L1C+L2W,20074262.2906,20074262.2906,20074266.1116,20074266.1571,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
150.0,G26,G,L1C+L2W,21871439.1083,21871439.1083,21871443.2151,21871443.1911,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
150.0,G27,G,L1C+L2W,23439697.3001,23439697.3001,23439710.8585,23439710.8496,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
150.0,G31,G,L1C+L2W,23171531.9037,23171531.9037,23171542.9356,23171542.8935,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
180.0,E04,E,E1+E5a,26404770.8357,26404770.8357,26404786.3603,26404786.4072,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
180.0,E05,E,E1+E5a,26824706.2851,26824706.2851,26824712.2597,26824712.2730,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0479,-13.3290,1,1,1
180.0,E09,E,E1+E5a,25035003.3282,25035003.3282,25035007.6636,25035007.6845,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
180.0,E16,E,E1+E5a,23765204.4917,23765204.4917,23765210.4208,23765210.3791,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
180.0,G01,G,L1C+L2W,23133008.3240,23133008.3240,23133011.6491,23133011.6374,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
180.0,G03,G,L1C+L2W,20550318.4567,20550318.4568,20550322.5930,20550322.6099,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
180.0,G04,G,L1C+L2W,23095382.4830,23095382.4830,23095387.5156,23095387.4721,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
180.0,G08,G,L1C+L2W,23881417.5079,23881417.5079,23881417.7052,23881417.7182,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
180.0,G16,G,L1C+L2W,20074956.3432,20074956.3432,20074959.2323,20074959.2779,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
180.0,G26,G,L1C+L2W,21886852.2313,21886852.2313,21886856.7676,21886856.7437,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
180.0,G27,G,L1C+L2W,23428186.5001,23428186.5001,23428197.7758,23428197.7668,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
180.0,G31,G,L1C+L2W,23184988.7893,23184988.7893,23185000.7930,23185000.7508,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
