epoch,sod,x_isb_m,sigma_isb_m,gps_code_mean_mm,gal_code_mean_mm,phase_same_sign_percent,phase_rms_mm,demeaned_phase_rms_mm,num_phase_reject
1530,50790.0,1.088695,4.966096,nan,428.19,100.0,1246.220,379.792,3
1560,51720.0,1.088422,4.966096,nan,57.47,100.0,697.091,359.310,3
1590,52620.0,1.088547,4.965415,nan,26.36,100.0,787.303,328.812,4
1620,53520.0,1.089104,4.965415,nan,-105.50,100.0,724.712,210.076,4
1650,60480.0,1.088801,4.963376,nan,-143.90,75.0,32.610,28.762,1
1680,61380.0,1.088784,4.963375,nan,236.39,100.0,199.167,23.720,3
1710,62280.0,1.088089,4.963373,nan,26.98,100.0,191.354,55.503,4
1740,63180.0,1.088794,4.963372,nan,130.91,60.0,115.365,2271.121,3
1770,64080.0,1.088585,4.962692,nan,-95.97,80.0,247.620,1447.821,4
1800,64980.0,1.089131,4.961989,nan,-14.02,60.0,57.633,55.191,5
1830,65880.0,1.089614,4.961977,nan,-43.21,100.0,303.459,57.866,4
1860,66780.0,1.092182,4.961948,nan,22.59,50.0,90.386,70.005,4
1890,67680.0,1.088732,4.961924,nan,24.24,100.0,166.918,85.911,4
1920,68580.0,1.047323,4.962712,nan,-34.78,50.0,103.804,103.803,4
1950,69480.0,1.048673,4.962712,nan,-0.73,60.0,135.477,110.691,5
1980,70380.0,1.048125,4.962710,nan,-7.93,83.3,240.908,3651.748,5
2010,71280.0,1.030830,4.962028,nan,-14.62,66.7,126.057,115.903,6
2040,72180.0,1.022754,4.962025,nan,19.40,100.0,249.991,117.387,6
2070,73080.0,1.018156,4.962023,nan,188.43,83.3,231.748,117.659,5
2100,73980.0,1.018255,4.962022,nan,14.42,83.3,196.314,127.359,6
2130,74880.0,0.997950,4.962017,nan,124.98,83.3,393.505,390.727,6
2160,76050.0,0.997487,4.962017,nan,52.20,75.0,651.590,20072.433,3
