pass_label,epoch_sod,satellite,system,elevation_deg,azimuth_deg,raw_phase_L1_m,raw_phase_L2_m,raw_code_P1_m,raw_code_P2_m,LIF_raw_m,PIF_raw_m,sat_pco_x_mm,sat_pco_y_mm,sat_pco_z_mm,sat_apc_range_mm,sat_pcv_mm,rec_pco_x_mm,rec_pco_y_mm,rec_pco_z_mm,rec_apc_range_mm,rec_pcv_mm,osb_code_L1_mm,osb_code_L2_mm,osb_phase_L1_mm,osb_phase_L2_mm,osb_IF_code_mm,osb_IF_phase_mm,tropo_hydro_m,tropo_wet_m,sagnac_mm,relativity_mm,phase_windup_cycles,phase_windup_mm,solid_earth_tide_mm,ocean_loading_mm,geom_range_m,corrected_phase_m,corrected_code_m,predicted_phase_m,predicted_code_m,phase_residual_mm,code_residual_mm,float_ambiguity_state_m,float_ambiguity_cycles,wl_fixed,nl_fixed
GPS-only,30.0,G08,G,16.036,175.553,125841166.994000,98058061.261000,23946776.894000,23946780.675000,23946774.437328,23946771.049603,394.000,0.000,1427.680,-1351.9878,23.5000,-0.851,-2.922,45.739,-13.2326,0.3693,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.456579,0.614069,-2714.7049,7877.9562,-0.315723,-44.7936,-0.0005,-0.0109,24095179.574036,23946774.495122,23946771.049587,23946772.380596,23946768.131910,2114.5261,2917.6769,4.248686,29.946411,0,0
GPS-only,30.0,G16,G,70.650,86.226,105482826.137000,82194415.868000,20072706.846000,20072705.366000,20072712.178967,20072709.133677,12.600,-6.900,1389.150,-1383.5084,6.4000,-0.851,-2.922,45.739,-42.1709,-5.5276,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.215685,0.180996,-10064.4765,6073.1100,-0.444120,-63.0101,-0.0020,6.9259,20133568.413047,20072712.287512,20072709.133672,20072710.793575,20072705.996498,1493.9371,3137.1737,4.797076,33.811680,0,0
GPS-only,30.0,G26,G,40.113,41.507,114615047.750000,89310447.081000,21810508.944000,21810511.349000,21810510.745448,21810505.226525,394.000,0.000,1433.580,-1367.5517,23.5000,-0.851,-2.922,45.739,-27.5011,-13.0892,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.239356,0.264857,-16639.1215,-1550.9281,0.248929,35.3172,-0.0014,7.2424,21713615.384328,21810510.686173,21810505.226527,21810510.489141,21810506.285605,197.0324,-1059.0777,4.203536,29.628172,0,0
GPS-only,30.0,G27,G,22.155,144.341,123418279.133000,96170076.501000,23485713.102000,23485714.744000,23485721.829979,23485710.563915,394.000,0.000,1436.320,-1337.1920,23.5000,-0.851,-2.922,45.739,-16.3117,-5.3451,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.502424,0.451324,-19163.5074,9791.1649,-0.240194,-34.0778,-0.0008,3.2753,23475088.395458,23485721.855093,23485710.563913,23485720.149910,23485706.498212,1705.1822,4065.7015,13.651699,96.222537,0,0
GPS-only,60.0,G01,G,25.689,-128.729,121379777.577000,94581634.244000,23097803.038000,23097802.361000,23097807.687891,23097804.084458,-68.444,20.595,1965.013,-1911.7890,42.4000,-0.851,-2.922,45.739,-22.3619,-7.8982,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.796962,0.383016,24658.5677,407.2167,-0.425126,-60.3153,-0.0008,-2.2240,23198344.420711,23097807.736545,23097804.084459,23097807.308007,23097803.203894,428.5388,880.5645,4.104113,28.927398,0,0
GPS-only,60.0,G03,G,61.383,-48.122,108141664.042000,84266233.162000,20578671.590000,20578672.922000,20578673.889141,20578669.531091,394.000,0.000,1482.260,-1509.0319,23.5000,-0.851,-2.922,45.739,-40.9219,-10.0028,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.380903,0.189573,11189.3384,-4295.0418,0.470430,66.7429,-0.0017,3.7270,20751676.322837,20578673.839269,20578669.531115,20578675.050101,20578670.833807,-1210.8317,-1302.6918,4.216294,29.718097,0,0
GPS-only,60.0,G04,G,26.286,-26.535,121608427.649000,94759813.768000,23141309.764000,23141308.619000,23141314.334699,23141311.533858,-60.991,20.386,1940.252,-1896.9582,42.4000,-0.851,-2.922,45.739,-20.7436,-8.2149,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.696870,0.374967,14022.5622,2417.6332,0.402764,57.1427,-0.0009,2.0662,23154106.320284,23141314.233993,23141311.533860,23141315.954832,23141311.288594,-1720.8396,245.2659,4.666239,32.889483,0,0
GPS-only,60.0,G08,G,16.152,175.386,125772858.754000,98004834.186000,23933779.362000,23933779.525000,23933775.764271,23933779.110046,394.000,0.000,1427.680,-1352.0426,23.5000,-0.851,-2.922,45.739,-13.3135,0.2497,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.405701,0.594310,-2813.0637,7880.0169,-0.315046,-44.6976,-0.0006,0.0075,24082182.315359,23933775.821969,23933779.110030,23933774.387752,23933772.214631,1434.2170,6895.3990,2.173121,15.317012,0,0
GPS-only,60.0,G16,G,70.607,85.414,105483908.296000,82195259.115000,20072912.745000,20072910.830000,20072918.104630,20072915.705069,12.600,-6.900,1389.150,-1383.4822,6.4000,-0.851,-2.922,45.739,-42.1545,-5.5475,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.216263,0.176442,-10075.4500,6035.8359,-0.446282,-63.3168,-0.0020,6.9208,20133775.560833,20072918.213481,20072915.705064,20072918.772124,20072914.498612,-558.6426,1206.4517,4.273512,30.121389,0,0
GPS-only,60.0,G26,G,39.906,41.382,114694524.692000,89372377.163000,21825633.144000,21825635.827000,21825634.705654,21825628.996812,394.000,0.000,1433.580,-1367.4736,23.5000,-0.851,-2.922,45.739,-27.3715,-13.0571,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.253221,0.259236,-16660.2328,-1583.7342,0.247851,35.1643,-0.0014,7.2251,21728739.204914,21825634.646532,21825628.996815,21825635.857711,21825631.570986,-1211.1786,-2574.1708,4.286725,30.214521,0,0
