ep,sod,sat,const,el_deg,rng_m,scm_m,rp_m,LIF_corr_m,pre_amb_res_m,dT_est_m,res_after_clk_m,mag_ok,PASS
3,90.0,G08,G,16.2697,24069148.1475,148409.3659,23920738.2910,23920740.4816,2.1906,-0.4423,2.6329,1,1
3,90.0,G16,G,70.5603,20134104.0153,60856.6438,20073243.6019,20073245.9197,2.3178,-0.4423,2.7601,1,1
3,90.0,G26,G,39.6992,21743936.3858,-96888.1495,21840829.4414,21840831.8028,2.3614,-0.4423,2.8037,1,1
3,90.0,G27,G,22.3653,23452094.9595,-10624.2904,23462714.9458,23462725.9316,10.9859,-0.4423,11.4282,1,1
3,90.0,G31,G,24.1689,23094072.0102,-50487.3306,23144569.4966,23144579.8932,10.3966,-0.4423,10.8389,1,1
4,120.0,E04,E,24.5745,26382243.8071,-19088.9137,26401337.6084,26401356.0091,18.4007,-0.7197,19.1204,1,1
4,120.0,E05,E,19.7009,26842233.5282,3260.8354,26838978.9282,26838987.9968,9.0686,-0.7197,9.7883,1,1
4,120.0,E09,E,41.6896,24982166.6099,-60938.2968,25043108.2447,25043115.1725,6.9278,-0.7197,7.6475,1,1
4,120.0,E16,E,63.0622,23778813.0564,-3468.0557,23782283.3818,23782293.6872,10.3054,-0.7197,11.0251,1,1
4,120.0,G01,G,25.4915,23215909.3513,100545.1058,23115368.7083,23115373.2111,4.5028,-0.7197,5.2225,1,1
4,120.0,G03,G,61.7615,20737290.1991,173011.3255,20564285.5742,20564288.6810,3.1068,-0.7197,3.8265,1,1
4,120.0,G04,G,26.5349,23131182.1050,12796.9191,23118387.4641,23118391.5753,4.1112,-0.7197,4.8309,1,1
4,120.0,G08,G,16.3875,24056076.3593,148409.3184,23907666.4983,23907668.9768,2.4786,-0.7197,3.1982,1,1
4,120.0,G16,G,70.5098,20134553.3367,60856.7347,20073692.8703,20073695.4843,2.6140,-0.7197,3.3337,1,1
4,120.0,G26,G,39.4922,21759205.8961,-96888.2061,21856099.0552,21856101.7239,2.6687,-0.7197,3.3884,1,1
4,120.0,G27,G,22.4708,23440589.4811,-10624.3752,23451209.5296,23451220.8116,11.2820,-0.7197,12.0017,1,1
4,120.0,G31,G,24.0309,23107561.3070,-50487.3285,23158058.8427,23158069.5462,10.7035,-0.7197,11.4232,1,1
5,150.0,E04,E,24.5555,26383952.1684,-19089.0112,26403046.0702,26403064.1346,18.0643,-0.6403,18.7046,1,1
5,150.0,E05,E,19.7746,26835109.6707,3260.8597,26831855.0248,26831863.7318,8.7070,-0.6403,9.3472,1,1
5,150.0,E09,E,41.7469,24978117.9399,-60938.4060,25039059.6801,25039066.2592,6.5790,-0.6403,7.2193,1,1
5,150.0,E16,E,63.2741,23770240.2985,-3468.0785,23773710.6417,23773720.5836,9.9420,-0.6403,10.5822,1,1
5,150.0,G01,G,25.3924,23224719.6831,100545.0638,23124179.0954,23124183.2430,4.1476,-0.6403,4.7878,1,1
5,150.0,G03,G,61.9489,20730254.5338,173011.2260,20557250.0081,20557252.7602,2.7521,-0.6403,3.3924,1,1
5,150.0,G04,G,26.6599,23119690.1996,12796.9382,23106895.5161,23106899.2521,3.7360,-0.6403,4.3762,1,1
5,150.0,G08,G,16.5058,24042968.6625,148409.2774,23894558.7913,23894560.9146,2.1233,-0.6403,2.7636,1,1
5,150.0,G16,G,70.4554,20135124.4939,60856.8373,20074263.9632,20074266.2214,2.2583,-0.6403,2.8985,1,1
5,150.0,G26,G,39.2851,21774547.5589,-96888.2582,21871440.8170,21871443.1564,2.3394,-0.6403,2.9797,1,1
5,150.0,G27,G,22.5764,23429079.8684,-10624.4561,23439699.9757,23439710.8831,10.9075,-0.6403,11.5477,1,1
5,150.0,G31,G,23.8933,23121034.8985,-50487.3284,23171532.4855,23171542.8582,10.3726,-0.6403,11.0129,1,1
6,180.0,E04,E,24.5363,26385674.2084,-19089.1059,26404768.2079,26404786.4012,18.1933,-0.8540,19.0473,1,1
6,180.0,E05,E,19.8487,26827958.0737,3260.8849,26824703.3811,26824712.2119,8.8309,-0.8540,9.6849,1,1
6,180.0,E09,E,41.8044,24974059.0876,-60938.5144,25035000.9324,25035007.6386,6.7062,-0.8540,7.5602,1,1
6,180.0,E16,E,63.4861,23761730.0207,-3468.1002,23765200.3805,23765210.4317,10.0512,-0.8540,10.9052,1,1
6,180.0,G01,G,25.2933,23233547.9436,100545.0208,23133007.4124,23133011.6974,4.2850,-0.8540,5.1391,1,1
6,180.0,G03,G,62.1349,20723324.0982,173011.1246,20550319.6736,20550322.5429,2.8692,-0.8540,3.7233,1,1
6,180.0,G04,G,26.7853,23108178.3030,12796.9589,23095383.5754,23095387.4153,3.8399,-0.8540,4.6939,1,1
6,180.0,G08,G,16.6247,24029825.4128,148409.2320,23881415.5363,23881417.7625,2.2263,-0.8540,3.0803,1,1
6,180.0,G16,G,70.3972,20135817.4939,60856.8798,20074956.9588,20074959.3425,2.3837,-0.8540,3.2377,1,1
6,180.0,G26,G,39.0778,21789960.8553,-96888.3108,21886854.2132,21886856.7091,2.4959,-0.8540,3.3499,1,1
6,180.0,G27,G,22.6822,23417566.6283,-10624.5417,23428186.7994,23428197.8003,11.0009,-0.8540,11.8549,1,1
6,180.0,G31,G,23.7562,23134492.5547,-50487.3189,23184990.1838,23185000.7157,10.5319,-0.8540,11.3859,1,1
7,210.0,E04,E,24.5170,26387410.1552,-19089.2048,26406504.2566,26406522.2800,18.0234,-0.8352,18.8586,1,1
7,210.0,E05,E,19.9231,26820778.7404,3260.9116,26817523.9995,26817532.6270,8.6275,-0.8352,9.4627,1,1
7,210.0,E09,E,41.8621,24969990.2435,-60938.6204,25030932.1905,25030938.7019,6.5114,-0.8352,7.3466,1,1
7,210.0,E16,E,63.6982,23753282.4695,-3468.1215,23756752.8456,23756762.7004,9.8548,-0.8352,10.6900,1,1
7,210.0,G01,G,25.1940,23242393.6203,100544.9747,23141853.1488,23141857.2695,4.1207,-0.8352,4.9560,1,1
7,210.0,G03,G,62.3196,20716499.1681,173011.0235,20543494.8444,20543497.5207,2.6763,-0.8352,3.5115,1,1
7,210.0,G04,G,26.9111,23096646.6017,12796.9790,23083851.8307,23083855.4662,3.6354,-0.8352,4.4707,1,1
7,210.0,G08,G,16.7439,24016646.9713,148409.1872,23868237.0894,23868239.1062,2.0168,-0.8352,2.8520,1,1
7,210.0,G16,G,70.3350,20136632.3393,60856.9285,20075771.7941,20075773.9951,2.2009,-0.8352,3.0362,1,1
7,210.0,G26,G,38.8704,21805445.2646,-96888.3611,21902338.7201,21902341.0684,2.3483,-0.8352,3.1836,1,1
7,210.0,G27,G,22.7881,23406050.2725,-10624.6202,23416670.5006,23416681.2997,10.7991,-0.8352,11.6343,1,1
