Date,Time,SOD,X_ECEF(m),Y_ECEF(m),Z_ECEF(m),pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm,PPP_DX_cm,PPP_DY_cm,PPP_DZ_cm,RTK_DX_cm,RTK_DY_cm,RTK_DZ_cm,Delta_X_cm,Delta_Y_cm,Delta_Z_cm,PPP_3D_cm,RTK_3D_cm,PPP_RTK_3D_cm,PPP_East_cm,PPP_North_cm,PPP_Up_cm,RTK_East_cm,RTK_North_cm,RTK_Up_cm
2026/02/07,00:00:00,0.0,1337935.8735,6070318.1919,1427876.6377,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.295,9.545,-2.135,55.636,-198.218,205.889,8,0,0,2.0909,0.1207,2.2115,2404.52,,-4.220000002533197,-20.130000077188015,0.9499999927356839,31.359999999403954,95.41999995708466,-86.93999999668449,-35.58000000193715,-115.55000003427267,87.88999998942018,20.589507112001673,132.84197224972291,149.47371342881175,-0.2116958370460342,5.559430793574397,-19.823615140513642,-10.086744218847755,-107.22060359422667,77.7752489365955
2026/02/07,00:00:30,30.0,1337937.1137,6070318.3956,1427876.7386,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.135,55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2112,1419.67,1951.18,-4.220000002533197,-20.130000077188015,0.9499999927356839,155.3800000110641,115.78999999910593,-76.8500000005588,-159.6000000135973,-135.92000007629395,77.79999999329448,20.589507112001673,208.46148565938296,223.60511269654955,-0.2116958370460342,5.559430793574397,-19.823615140513642,-126.8154168579072,-107.88653417358435,125.43738196600073
2026/02/07,00:01:00,60.0,1337938.4912,6070319.6007,1427877.3161,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,2132.31,1057.641,-4.220000002533197,-20.130000077188015,0.9499999927356839,293.1300000054762,236.2999999895692,-19.100000010803342,-297.3500000080094,-256.4300000667572,20.050000003539026,20.589507112001673,376.9982717449691,393.16074313077365,-0.2116958370460342,5.559430793574397,-19.823615140513642,-235.3981271494843,-84.81761289018867,281.9953743890472
2026/02/07,00:01:30,90.0,1337938.863,6070319.9081,1427877.7865,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2113,2433.23,989.093,-4.220000002533197,-20.130000077188015,0.9499999927356839,330.309999990277,267.0399999246001,27.93999998830259,-334.5299999928102,-287.17000000178814,-26.989999995566905,20.589507112001673,425.670883726681,441.7073577562154,-0.2116958370460342,5.559430793574397,-19.823615140513642,-265.09018910184415,-47.553963456258515,329.6384587001386
2026/02/07,00:02:00,120.0,1337938.7931,6070319.9796,1427878.0634,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2114,3493.12,1232.994,-4.220000002533197,-20.130000077188015,0.9499999927356839,323.3199999900535,274.18999997898936,55.63000000547618,-327.5399999925867,-294.3200000561774,-54.68000001274049,20.589507112001673,427.56365067982057,443.73034202047216,-0.2116958370460342,5.559430793574397,-19.823615140513642,-256.7250596781681,-21.81018792955623,341.21435318341184
2026/02/07,00:02:30,150.0,1337938.4977,6070319.6379,1427878.1289,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1205,2.2113,1363.05,1216.229,-4.220000002533197,-20.130000077188015,0.9499999927356839,293.77999999560416,240.02000000327826,62.179999984800816,-297.99999999813735,-260.15000008046627,-61.22999999206513,20.589507112001673,384.4250787827203,400.2888150320775,-0.2116958370460342,5.559430793574397,-19.823615140513642,-235.23219858954008,-6.477610120630865,303.98436556993687
2026/02/07,00:03:00,180.0,1337938.1985,6070319.0524,1427878.0898,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.545,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,596.66,1317.374,-4.220000002533197,-20.130000077188015,0.9499999927356839,263.85999999474734,181.4699999988079,58.26999999117106,-268.07999999728054,-201.60000007599592,-57.31999999843538,20.589507112001673,325.49785467152697,340.2866862353038,-0.2116958370460342,5.559430793574397,-19.823615140513642,-218.61579871741114,4.046688454777548,241.1215673876247
2026/02/07,00:03:30,210.0,1337937.7737,6070318.7195,1427877.9049,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.18,-201.296,9.544,-2.136,55.636,-198.218,205.889,8,0,0,2.0909,0.1204,2.2113,1415.13,1158.308,-4.220000002533197,-20.130000077188015,0.9499999927356839,221.3800000026822,148.17999992519617,39.77999999187887,-225.6000000052154,-168.3100000023842,-38.82999999914318,20.589507112001673,269.34896543029936,284.132689078693,-0.2116958370460342,5.559430793574397,-19.823615140513642,-184.296825018965,-4.582965325186856,196.37347553865246
2026/02/07,00:04:00,240.0,1337936.9453,6070318.2263,1427877.5581,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.179,-201.297,9.544,-2.136,55.636,-198.219,205.89,8,0,0,2.0909,0.1188,2.2096,1431.06,1501.002,-4.220000002533197,-20.130000077188015,0.9499999927356839,138.54000000283122,98.8599999807775,5.099999997764826,-142.76000000536442,-118.99000005796552,-4.150000005029142,20.589507112001673,170.2722560987579,185.89314192666717,-0.2116958370460342,5.559430793574397,-19.823615140513642,-114.01414250265245,-23.501943510666393,124.26212277909674
2026/02/07,00:04:30,270.0,1337936.006,6070317.4807,1427877.3881,RTS,1337935.5177,6070317.0364,1427877.5166,1337935.5599,6070317.2377,1427877.5071,-42.179,-201.297,9.544,-2.137,55.635,-198.219,205.89,8,0,0,2.0909,0.1189,2.2097,879.25,1710.045,-4.220000002533197,-20.130000077188015,0.9499999927356839,44.61000000592321,24.299999978393316,-11.899999994784594,-48.83000000845641,-44.43000005558133,12.849999987520278,20.589507112001673,52.17424747281227,67.25709111643233,-0.2116958370460342,5.559430793574397,-19.823615140513642,-38.334057787805364,-19.104150442413932,29.794018674040462
