SOD,nGPS,nGal,GPS_NE_up,Gal_NE_up,GPS_NE_frac,ISB_val,ISB_P,ISB_delta,ISB_P_reduction,ISB_gain_proxy,GPS_only_sigma_U_mm,combined_sigma_U_mm,Gal_leverage_ratio,GPS_ph_rms_mm,Gal_ph_rms_mm,gal_sig_scale,nml_sc_gps,nml_sc_gal,ISB_observable
13740.0,10,6,141.3676,50.7825,0.7357,+1.798873,0.004478,+0.003062,+0.000050,+0.0360,1234.68,80.58,15.3233,86.774,44.865,1.0000,1.0088,0.9912,1
13800.0,9,6,68.7671,51.1218,0.5736,+1.796134,0.004490,-0.002740,+0.000048,-0.0404,1817.34,80.48,22.5805,93.776,115.630,1.0000,1.0134,0.9866,1
13860.0,9,6,228.5693,113.1816,0.6688,+1.796571,0.004496,+0.000437,+0.000054,+0.0154,915.13,80.36,11.3876,64.055,71.353,1.0000,1.0000,1.0000,1
13920.0,8,6,65.8179,49.9193,0.5687,+1.795560,0.004505,-0.001011,+0.000050,-0.0375,2360.36,80.26,29.4079,69.244,65.459,1.0000,1.0050,0.9950,1
13980.0,8,6,103.2308,50.2604,0.6726,+1.794093,0.004514,-0.001467,+0.000051,-0.0987,2325.56,80.16,29.0102,64.813,24.851,1.0000,1.0098,0.9902,1
14040.0,8,6,113.6447,1205.1868,0.0862,+1.791012,0.004482,-0.003081,+0.000092,-4.2372,2239.39,80.05,27.9762,70.277,99.261,1.0000,1.0000,1.0000,1
14100.0,9,6,113.0822,49.4216,0.6959,+1.794051,0.004481,+0.003039,+0.000060,+0.2499,1664.91,79.94,20.8261,62.387,30.339,1.0000,0.9950,1.0050,1
14160.0,9,6,112.4467,48.7557,0.6975,+1.795974,0.004487,+0.001923,+0.000055,+0.0442,1801.19,79.84,22.5587,47.839,81.967,1.0000,0.9902,1.0098,1
14220.0,9,6,110.2897,48.1190,0.6962,+1.796619,0.004494,+0.000644,+0.000053,+0.0113,1995.76,79.74,25.0279,94.345,152.192,1.0000,0.9858,1.0142,1
14280.0,9,6,108.6906,126.4813,0.4622,+1.801634,0.004501,+0.005015,+0.000052,+0.8502,2152.86,79.63,27.0353,73.693,118.572,1.0000,1.0000,1.0000,1
14340.0,9,6,1059.5576,48.6805,0.9561,+1.802944,0.004457,+0.001310,+0.000105,+0.0193,661.04,79.45,8.3207,104.012,150.658,1.0000,1.0000,1.0000,1
14400.0,8,6,81.4237,48.4820,0.6268,+1.798154,0.004456,-0.004789,+0.000060,-0.7319,2508.34,79.32,31.6215,52.193,82.324,1.0000,1.0050,0.9950,1
14460.0,8,6,77.7569,48.7648,0.6146,+1.797289,0.004462,-0.000865,+0.000055,-0.0107,2578.02,79.21,32.5449,115.894,182.395,1.0000,1.0098,0.9902,1
14520.0,8,6,74.2947,49.0209,0.6025,+1.794190,0.004470,-0.003099,+0.000052,-0.0169,2647.05,79.11,33.4596,150.772,177.689,1.0000,1.0143,0.9857,1
14580.0,8,6,94.0982,150.8370,0.3842,+1.792793,0.004472,-0.001398,+0.000058,-0.0137,2533.69,78.92,32.1046,170.405,171.940,1.0000,1.0000,1.0000,1
14640.0,9,6,191.0875,150.6633,0.5591,+1.792327,0.004476,-0.000466,+0.000056,-0.0057,1702.38,78.80,21.6038,78.856,92.464,1.0000,1.0000,1.0000,1
14700.0,9,6,68.2550,47.4150,0.5901,+1.789956,0.004480,-0.002371,+0.000056,-0.0472,1739.66,78.65,22.1182,172.925,94.050,1.0000,1.0050,0.9950,1
14760.0,8,6,219.6702,159.4463,0.5794,+1.793895,0.004491,+0.003940,+0.000049,+0.0229,1395.81,78.56,17.7674,129.443,163.090,1.0000,1.0000,1.0000,1
14820.0,8,6,113.1666,46.6309,0.7082,+1.795512,0.004498,+0.001617,+0.000052,+0.0129,2700.76,78.45,34.4281,96.331,73.370,1.0000,1.0050,0.9950,1
14880.0,8,6,762.0669,46.8083,0.9421,+1.802913,0.004474,+0.007401,+0.000084,+0.0491,2582.18,78.25,32.9996,78.270,38.032,1.0000,1.0000,1.0000,1
14940.0,8,6,58.9810,46.4802,0.5593,+1.798270,0.004480,-0.004643,+0.000054,-0.3454,2963.55,78.15,37.9219,53.780,16.825,1.0000,1.0050,0.9950,1
15000.0,8,6,56.3928,46.7022,0.5470,+1.797610,0.004489,-0.000660,+0.000050,-0.0775,3015.44,78.06,38.6287,186.743,127.629,1.0000,1.0098,0.9902,1
15060.0,9,6,55.0390,46.8990,0.5399,+1.796119,0.004501,-0.001492,+0.000049,-0.0236,1885.41,77.98,24.1792,167.242,108.585,1.0000,1.0143,0.9857,1
15120.0,10,6,52.7899,47.0710,0.5286,+1.797705,0.004512,+0.001586,+0.000049,+0.0451,1730.10,77.89,22.2125,138.300,87.982,1.0000,1.0185,0.9815,1
15180.0,10,6,50.2301,47.2190,0.5154,+1.799009,0.004523,+0.001304,+0.000049,+0.0405,2014.68,77.80,25.8953,186.724,131.919,1.0000,1.0226,0.9774,1
15240.0,10,6,34.0037,23.9086,0.5872,+1.798859,0.004557,-0.000150,+0.000025,-0.0032,2865.89,77.72,36.8722,110.971,87.537,1.0000,1.0265,0.9735,1
15300.0,10,6,32.5744,24.0361,0.5754,+1.798245,0.004591,-0.000614,+0.000026,-0.0197,2966.71,77.65,38.2069,126.105,52.267,1.0000,1.0302,0.9698,1
15360.0,10,6,236.3460,317.6334,0.4266,+1.797723,0.004614,-0.000522,+0.000037,-0.0058,2028.79,77.56,26.1569,143.623,76.643,1.0000,1.0000,1.0000,1
15420.0,10,6,32.0834,22.6697,0.5860,+1.795227,0.004646,-0.002496,+0.000028,-0.0568,3090.80,77.48,39.8901,82.768,45.530,1.0000,1.0050,0.9950,1
15480.0,10,6,30.7674,22.8474,0.5739,+1.793359,0.004678,-0.001868,+0.000028,-0.0432,3220.43,77.40,41.6054,116.363,78.233,1.0000,1.0098,0.9902,1
15540.0,10,6,29.5608,23.0191,0.5622,+1.795050,0.004710,+0.001690,+0.000028,+0.0122,3359.35,77.33,43.4440,173.287,107.654,1.0000,1.0143,0.9857,1
15600.0,10,6,69.8754,44.6647,0.6101,+1.793070,0.004733,-0.001980,+0.000037,-0.0207,2297.02,77.26,29.7318,254.251,71.906,1.0000,1.0185,0.9815,1
15660.0,10,6,67.3421,44.7767,0.6006,+1.791420,0.004755,-0.001650,+0.000038,-0.7205,2394.96,77.19,31.0269,122.578,66.826,1.0000,1.0226,0.9774,1
15720.0,10,6,65.7775,44.8672,0.5945,+1.789455,0.004777,-0.001965,+0.000038,-0.0316,2360.13,77.12,30.6027,101.154,89.533,1.0000,1.0265,0.9735,1
15780.0,10,6,62.6875,44.9370,0.5825,+1.790020,0.004798,+0.000565,+0.000039,+0.0029,2594.60,77.05,33.6727,57.702,31.233,1.0000,1.0302,0.9698,1
15840.0,10,6,355.5524,163.7856,0.6846,+1.789391,0.004810,-0.000628,+0.000048,-0.0028,1485.78,76.98,19.3001,541.665,86.998,1.0000,1.0000,1.0000,1
15900.0,10,6,62.5382,42.0382,0.5980,+1.790099,0.004829,+0.000708,+0.000041,+0.0026,2700.89,76.91,35.1158,68.225,347.952,1.0000,1.0050,0.9950,1
15960.0,10,5,60.2848,41.8913,0.5900,+1.788816,0.004848,-0.001284,+0.000041,-0.0461,2797.34,76.85,36.4006,87.042,61.975,1.0000,1.0098,0.9902,1
16020.0,10,4,93.8028,41.9605,0.6909,+1.785707,0.004869,-0.003109,+0.000040,-0.1342,3117.07,76.79,40.5930,61.206,14.042,1.0000,1.0143,0.9857,1
16080.0,10,4,55.3973,42.0723,0.5684,+1.782037,0.004886,-0.003670,+0.000042,-0.0593,3417.18,76.73,44.5378,259.119,36.015,1.0000,1.0185,0.9815,1
16140.0,10,4,54.5060,42.1640,0.5638,+1.781174,0.004904,-0.000862,+0.000043,-0.0379,3421.78,76.66,44.6348,78.294,34.478,1.0000,1.0226,0.9774,1
16200.0,10,4,51.9519,42.2361,0.5516,+1.778892,0.004921,-0.002282,+0.000043,-0.0899,3790.63,76.60,49.4877,601.532,39.822,1.0000,1.0265,0.9735,1
16260.0,10,4,78.7694,42.2894,0.6507,+1.776417,0.004937,-0.002475,+0.000043,-0.0230,4268.97,76.53,55.7786,419.203,68.192,1.0000,1.0302,0.9698,1
16320.0,11,4,49.4518,42.3248,0.5388,+1.773013,0.004953,-0.003404,+0.000044,-0.0349,2571.99,76.47,33.6356,256.995,62.800,1.0000,1.0337,0.9663,1
16380.0,11,4,430.1869,443.1619,0.4926,+1.771284,0.004937,-0.001730,+0.000076,-0.1132,2493.63,76.36,32.6571,163.712,30.429,1.0000,1.0000,1.0000,1
16440.0,11,4,297.7081,420.6222,0.4144,+1.771093,0.004934,-0.000191,+0.000063,-0.0060,2733.91,76.28,35.8399,131.830,28.936,1.0000,1.0000,1.0000,1
16500.0,11,4,210.3166,160.4817,0.5672,+1.773845,0.004927,+0.002753,+0.000067,+0.0405,2571.58,76.19,33.7508,107.738,39.634,1.0000,1.0000,1.0000,1
16560.0,11,4,48.1416,38.7326,0.5542,+1.773661,0.004935,-0.000185,+0.000052,-0.0023,2877.57,76.12,37.8044,59.848,49.091,1.0000,1.0000,1.0000,1
16620.0,11,4,288.9630,318.0739,0.4760,+1.771624,0.004935,-0.002037,+0.000059,-0.0212,2842.12,76.04,37.3781,59.352,49.649,1.0000,1.0000,1.0000,1
