SOD,sat,event_type,corr_frac,sigma
5580.0,G03,SKIP_SIGMA,+0.2638,0.0755
5610.0,G03,SKIP_SIGMA,+0.2385,0.0753
5640.0,G03,SKIP_SIGMA,+0.0876,0.0752
5670.0,G03,SKIP_SIGMA,+0.0651,0.0750
5700.0,G03,SKIP_SIGMA,+0.0608,0.0748
5730.0,G03,SKIP_SIGMA,+0.0367,0.0746
5760.0,G03,SKIP_SIGMA,+0.0582,0.0744
5790.0,G03,SKIP_SIGMA,+0.0469,0.0743
5820.0,G03,SKIP_SIGMA,+0.0306,0.0741
5850.0,G03,SKIP_SIGMA,+0.0020,0.0739
5880.0,G03,SKIP_SIGMA,-0.0001,0.0738
5910.0,G03,SKIP_SIGMA,-0.0082,0.0736
5940.0,G03,SKIP_SIGMA,-0.0220,0.0734
5970.0,G03,SKIP_SIGMA,-0.0403,0.0733
6000.0,G03,SKIP_SIGMA,-0.0418,0.0731
6030.0,G03,SKIP_SIGMA,-0.0527,0.0729
6060.0,G03,SKIP_SIGMA,-0.0433,0.0728
6090.0,G03,SKIP_SIGMA,-0.0303,0.0726
6120.0,G03,SKIP_SIGMA,-0.0251,0.0724
6150.0,G03,SKIP_SIGMA,-0.0047,0.0723
6180.0,G03,SKIP_SIGMA,+0.0101,0.0721
6210.0,G03,SKIP_SIGMA,+0.0035,0.0720
6240.0,G03,SKIP_SIGMA,-0.0353,0.0718
6270.0,G03,SKIP_SIGMA,-0.0764,0.0716
6300.0,G03,SKIP_SIGMA,-0.0604,0.0715
6330.0,G03,SKIP_SIGMA,-0.0305,0.0713
6360.0,G03,SKIP_SIGMA,+0.0336,0.0711
6390.0,G03,SKIP_SIGMA,-0.0127,0.0709
6420.0,G03,SKIP_SIGMA,-0.0237,0.0707
6450.0,G03,SKIP_SIGMA,-0.0182,0.0706
6480.0,G03,SKIP_SIGMA,-0.0399,0.0704
6510.0,G03,SKIP_SIGMA,-0.0401,0.0702
6540.0,G03,SKIP_SIGMA,-0.0375,0.0700
7410.0,G03,FIX,+0.0000,0.0659
7560.0,G03,RELEASE,+0.4376,0.0405
9030.0,G03,SKIP_HALFCYCLE,+0.0090,0.0393
9060.0,G03,SKIP_HALFCYCLE,+0.0188,0.0393
9090.0,G03,SKIP_FRAC,+0.0243,0.0392
9120.0,G03,SKIP_FRAC,+0.0276,0.0392
9150.0,G03,SKIP_FRAC,+0.0303,0.0392
9180.0,G03,SKIP_FRAC,+0.0272,0.0392
9210.0,G03,SKIP_FRAC,+0.0293,0.0392
9240.0,G03,SKIP_FRAC,+0.0352,0.0391
9270.0,G03,SKIP_FRAC,+0.0417,0.0391
9300.0,G03,SKIP_FRAC,+0.0411,0.0391
9330.0,G03,SKIP_FRAC,+0.0405,0.0391
9360.0,G03,SKIP_FRAC,+0.0461,0.0390
9390.0,G03,SKIP_FRAC,+0.0622,0.0390
9420.0,G03,SKIP_FRAC,+0.0706,0.0390
9450.0,G03,SKIP_FRAC,+0.0752,0.0390
9480.0,G03,SKIP_FRAC,+0.0765,0.0389
9510.0,G03,SKIP_FRAC,+0.0813,0.0389
9540.0,G03,SKIP_FRAC,+0.0835,0.0389
9570.0,G03,SKIP_FRAC,+0.0877,0.0388
9600.0,G03,SKIP_FRAC,+0.0940,0.0388
9630.0,G03,SKIP_FRAC,+0.1029,0.0388
9660.0,G03,SKIP_FRAC,+0.0875,0.0387
9690.0,G03,SKIP_FRAC,+0.0840,0.0387
9720.0,G03,SKIP_FRAC,+0.0835,0.0386
9750.0,G03,SKIP_FRAC,+0.0898,0.0386
9780.0,G03,SKIP_FRAC,+0.0966,0.0386
9810.0,G03,SKIP_FRAC,+0.0975,0.0385
9840.0,G03,SKIP_FRAC,+0.0958,0.0385
9870.0,G03,SKIP_FRAC,+0.0984,0.0385
10440.0,E25,SKIP_SIGMA,-0.0929,0.0514
10470.0,E25,SKIP_SIGMA,-0.1016,0.0513
10500.0,E25,SKIP_SIGMA,-0.1043,0.0512
10530.0,E25,SKIP_SIGMA,-0.1338,0.0510
10560.0,E25,SKIP_SIGMA,-0.1370,0.0509
10590.0,E25,SKIP_SIGMA,-0.1403,0.0508
10620.0,E25,SKIP_SIGMA,-0.1520,0.0507
10650.0,E25,SKIP_SIGMA,-0.1543,0.0506
10680.0,E25,SKIP_SIGMA,-0.1446,0.0505
10710.0,E25,SKIP_SIGMA,-0.1226,0.0504
10740.0,E25,SKIP_SIGMA,-0.1193,0.0503
10770.0,E25,SKIP_SIGMA,-0.1122,0.0502
10800.0,E25,SKIP_SIGMA,-0.1058,0.0501
11070.0,E09,FIX,-0.0160,0.0479
11100.0,E05,SKIP_FRAC,+0.0653,0.0384
11190.0,E05,FIX,-0.0018,0.0356
11310.0,E16,FIX,-0.0002,0.0216
11940.0,E25,SKIP_FRAC,-0.0481,0.0280
11970.0,E25,SKIP_FRAC,-0.0373,0.0280
12000.0,E25,SKIP_FRAC,-0.0424,0.0278
12390.0,E25,SKIP_FRAC,+0.0275,0.0272
12420.0,E25,SKIP_FRAC,+0.0353,0.0272
12450.0,E25,SKIP_FRAC,+0.0383,0.0272
13020.0,E25,FIX,-0.0108,0.0265
16230.0,G04,SKIP_HALFCYCLE,+0.0016,0.0316
16260.0,G04,SKIP_HALFCYCLE,+0.0019,0.0316
16290.0,G04,SKIP_HALFCYCLE,-0.0036,0.0316
16320.0,G04,SKIP_HALFCYCLE,-0.0126,0.0316
16350.0,G04,SKIP_FRAC,-0.0214,0.0316
16380.0,G04,SKIP_FRAC,-0.0208,0.0316
16410.0,G04,SKIP_HALFCYCLE,-0.0179,0.0315
16440.0,G04,SKIP_HALFCYCLE,-0.0156,0.0315
16470.0,G04,SKIP_HALFCYCLE,-0.0167,0.0315
16500.0,G04,SKIP_HALFCYCLE,-0.0153,0.0315
16530.0,G04,SKIP_FRAC,-0.0231,0.0315
16560.0,G04,SKIP_FRAC,-0.0262,0.0315
16590.0,G04,SKIP_FRAC,-0.0283,0.0314
16620.0,G04,SKIP_FRAC,-0.0265,0.0314
16710.0,G04,SKIP_FRAC,-0.0235,0.0314
16770.0,G04,SKIP_FRAC,-0.0211,0.0314
16800.0,G04,SKIP_FRAC,-0.0217,0.0313
16830.0,G04,SKIP_FRAC,-0.0236,0.0313
16860.0,G04,SKIP_FRAC,-0.0268,0.0313
19800.0,E03,FIX,+0.0099,0.0263
23250.0,E25,SKIP_SIGMA,-0.4174,0.0540
23280.0,E25,SKIP_SIGMA,-0.4361,0.0538
23310.0,E25,SKIP_SIGMA,-0.4629,0.0537
23340.0,E25,SKIP_SIGMA,-0.4862,0.0535
23370.0,E25,SKIP_SIGMA,+0.4954,0.0534
23400.0,E25,SKIP_SIGMA,+0.4971,0.0533
23430.0,E25,SKIP_SIGMA,+0.4916,0.0532
23460.0,E25,SKIP_SIGMA,+0.4798,0.0532
23490.0,E25,SKIP_SIGMA,+0.4831,0.0531
23520.0,E25,SKIP_SIGMA,+0.4842,0.0530
23550.0,E25,SKIP_SIGMA,+0.4883,0.0530
23580.0,E25,SKIP_SIGMA,+0.4859,0.0529
23610.0,E25,SKIP_SIGMA,+0.4801,0.0529
23640.0,E25,SKIP_SIGMA,+0.4735,0.0528
23670.0,E25,SKIP_SIGMA,+0.4651,0.0527
23700.0,E25,SKIP_SIGMA,+0.4573,0.0527
23730.0,E25,SKIP_SIGMA,+0.4594,0.0526
23760.0,E25,SKIP_SIGMA,+0.4598,0.0526
23760.0,G17,FIX,+0.0129,0.0298
23790.0,E25,SKIP_SIGMA,+0.4345,0.0525
23820.0,E25,SKIP_SIGMA,+0.4173,0.0524
23850.0,E25,SKIP_SIGMA,+0.4204,0.0523
23880.0,E25,SKIP_SIGMA,+0.4251,0.0523
23910.0,E25,SKIP_SIGMA,+0.4242,0.0522
25560.0,E25,SKIP_FRAC,+0.0220,0.0405
25590.0,E25,SKIP_FRAC,+0.0258,0.0402
25620.0,E25,SKIP_FRAC,+0.0218,0.0401
25650.0,E25,SKIP_FRAC,+0.0248,0.0400
25680.0,E25,SKIP_FRAC,+0.0395,0.0399
25800.0,E25,SKIP_FRAC,+0.0204,0.0396
25950.0,E25,FIX,+0.0038,0.0394
26100.0,E25,RELEASE,+0.6305,0.0243
27630.0,E25,FIX,+0.0140,0.0230
32070.0,E34,FIX,-0.0144,0.0234
36240.0,G11,SKIP_HALFCYCLE,+0.0106,0.0280
36270.0,G11,SKIP_HALFCYCLE,+0.0103,0.0280
36300.0,G11,SKIP_HALFCYCLE,+0.0038,0.0273
36330.0,G11,SKIP_FRAC,+0.0208,0.0273
36360.0,G11,SKIP_FRAC,+0.0237,0.0271
36390.0,G11,SKIP_FRAC,+0.0247,0.0271
36420.0,G11,SKIP_FRAC,+0.0225,0.0270
36450.0,G11,SKIP_FRAC,+0.0215,0.0270
36480.0,G11,SKIP_HALFCYCLE,+0.0174,0.0269
36510.0,G11,SKIP_HALFCYCLE,+0.0048,0.0268
36540.0,G11,SKIP_HALFCYCLE,-0.0140,0.0268
36570.0,G11,SKIP_FRAC,-0.0204,0.0267
36600.0,G11,SKIP_HALFCYCLE,-0.0159,0.0267
36630.0,G11,SKIP_HALFCYCLE,-0.0154,0.0266
36660.0,G11,SKIP_HALFCYCLE,-0.0122,0.0266
36690.0,G11,SKIP_HALFCYCLE,-0.0075,0.0265
36720.0,G11,SKIP_HALFCYCLE,-0.0078,0.0265
36750.0,G11,SKIP_HALFCYCLE,+0.0005,0.0264
36780.0,G11,SKIP_HALFCYCLE,+0.0020,0.0264
36810.0,G11,SKIP_HALFCYCLE,-0.0071,0.0264
36840.0,G11,SKIP_HALFCYCLE,-0.0130,0.0263
36870.0,G11,SKIP_HALFCYCLE,-0.0164,0.0263
36900.0,G11,SKIP_HALFCYCLE,-0.0140,0.0263
36930.0,G11,SKIP_HALFCYCLE,-0.0082,0.0263
36960.0,G11,SKIP_HALFCYCLE,-0.0047,0.0262
36990.0,G11,SKIP_HALFCYCLE,-0.0023,0.0262
37020.0,G11,SKIP_HALFCYCLE,-0.0017,0.0262
37050.0,G11,SKIP_HALFCYCLE,+0.0019,0.0262
37080.0,G11,SKIP_HALFCYCLE,+0.0002,0.0262
37110.0,G11,SKIP_HALFCYCLE,-0.0045,0.0262
37140.0,G11,SKIP_HALFCYCLE,-0.0070,0.0262
37170.0,G11,SKIP_HALFCYCLE,-0.0094,0.0262
37200.0,G11,SKIP_HALFCYCLE,-0.0079,0.0261
37230.0,G11,SKIP_HALFCYCLE,+0.0055,0.0261
37260.0,G11,SKIP_HALFCYCLE,-0.0033,0.0260
37290.0,G11,SKIP_HALFCYCLE,-0.0075,0.0260
37320.0,G11,SKIP_HALFCYCLE,-0.0032,0.0260
37350.0,G11,SKIP_HALFCYCLE,+0.0006,0.0260
37380.0,G11,SKIP_HALFCYCLE,+0.0035,0.0259
37410.0,G11,SKIP_HALFCYCLE,+0.0074,0.0259
37440.0,G11,SKIP_HALFCYCLE,+0.0114,0.0258
37470.0,G11,SKIP_HALFCYCLE,+0.0067,0.0258
37500.0,G11,SKIP_HALFCYCLE,-0.0069,0.0257
37530.0,G11,SKIP_HALFCYCLE,-0.0131,0.0257
37560.0,G11,SKIP_HALFCYCLE,-0.0122,0.0257
37590.0,G11,SKIP_HALFCYCLE,-0.0134,0.0257
37620.0,G11,SKIP_HALFCYCLE,-0.0136,0.0256
37650.0,G11,SKIP_HALFCYCLE,-0.0121,0.0256
37680.0,G11,SKIP_HALFCYCLE,-0.0155,0.0256
37710.0,G11,SKIP_HALFCYCLE,-0.0176,0.0256
37740.0,G11,SKIP_HALFCYCLE,-0.0159,0.0256
37770.0,G11,SKIP_FRAC,-0.0210,0.0256
37800.0,G11,SKIP_FRAC,-0.0214,0.0256
37830.0,G11,SKIP_HALFCYCLE,-0.0191,0.0255
37860.0,G11,SKIP_HALFCYCLE,-0.0193,0.0255
37890.0,G11,SKIP_FRAC,-0.0204,0.0255
37920.0,G11,SKIP_FRAC,-0.0206,0.0255
37950.0,G11,SKIP_FRAC,-0.0240,0.0255
37980.0,G11,SKIP_FRAC,-0.0285,0.0255
38010.0,G11,SKIP_FRAC,-0.0453,0.0253
