SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
2730.0,G16,-0.41632,+0.00000,-0.41632,0.1492,5,0
2760.0,G16,-0.48815,+0.00000,-0.48815,0.1474,5,0
2790.0,G16,+0.47924,+0.00000,+0.47924,0.1456,5,0
2820.0,G16,-0.45525,+0.00000,-0.45525,0.1439,5,0
2850.0,G16,-0.46758,+0.00000,-0.46758,0.1422,6,0
2880.0,G16,-0.46911,+0.00000,-0.46911,0.1406,7,0
2910.0,G16,-0.45863,+0.00000,-0.45863,0.1393,8,0
2940.0,G16,+0.46468,+0.00000,+0.46468,0.1381,8,0
2970.0,G16,+0.38028,+0.00000,+0.38028,0.1369,8,0
3000.0,G16,+0.34214,+0.00000,+0.34214,0.1357,0,0
3030.0,G16,+0.33798,+0.00000,+0.33798,0.1346,1,0
3060.0,G16,+0.33236,+0.00000,+0.33236,0.1335,2,0
3090.0,G16,+0.32680,+0.00000,+0.32680,0.1324,3,0
3120.0,G16,+0.29359,+0.00000,+0.29359,0.1313,3,0
3150.0,G16,+0.28905,+0.00000,+0.28905,0.1302,4,0
3180.0,G16,+0.30153,+0.00000,+0.30153,0.1292,5,0
3210.0,G16,+0.30848,+0.00000,+0.30848,0.1282,6,0
3240.0,G16,+0.31117,+0.00000,+0.31117,0.1272,7,0
3270.0,G03,+0.24374,+0.00000,+0.24374,0.1495,0,0
3270.0,G16,+0.29299,+0.00000,+0.29299,0.1262,8,0
3300.0,G03,+0.25318,+0.00000,+0.25318,0.1485,1,0
3300.0,G16,+0.28538,+0.00000,+0.28538,0.1252,9,0
3330.0,G03,+0.32911,+0.00000,+0.32911,0.1478,1,0
3330.0,G16,+0.28063,+0.00000,+0.28063,0.1242,10,0
3360.0,G03,+0.40610,+0.00000,+0.40610,0.1470,1,0
3360.0,G16,+0.28163,+0.00000,+0.28163,0.1233,11,0
3390.0,G03,+0.47984,+0.00000,+0.47984,0.1462,1,0
3390.0,G16,+0.26176,+0.00000,+0.26176,0.1223,12,0
3420.0,G03,+0.43188,+0.00000,+0.43188,0.1454,1,0
3420.0,G16,+0.22412,+0.00000,+0.22412,0.1214,12,0
3450.0,G03,+0.43411,+0.00000,+0.43411,0.1446,2,0
3450.0,G16,+0.18493,+0.00000,+0.18493,0.1204,12,0
3480.0,G03,+0.32127,+0.00000,+0.32127,0.1439,2,0
3480.0,G16,+0.15541,+0.00000,+0.15541,0.1195,12,0
3510.0,G03,-0.46370,+0.00000,-0.46370,0.1431,2,0
3510.0,G16,+0.13442,+0.00000,+0.13442,0.1186,12,0
3540.0,G03,-0.48990,+0.00000,-0.48990,0.1423,2,0
3540.0,G16,+0.11733,+0.00000,+0.11733,0.1177,13,0
3570.0,G03,+0.37095,+0.00000,+0.37095,0.1415,2,0
3570.0,G16,+0.09640,+0.00000,+0.09640,0.1168,13,0
3600.0,G03,+0.41165,+0.00000,+0.41165,0.1407,2,0
3600.0,G16,+0.09798,+0.00000,+0.09798,0.1159,14,0
3630.0,G03,-0.03799,+0.00000,-0.03799,0.1400,2,0
3630.0,G16,+0.06640,+0.00000,+0.06640,0.1150,14,0
3660.0,G03,+0.27934,+0.00000,+0.27934,0.1392,2,0
3660.0,G16,+0.05650,+0.00000,+0.05650,0.1141,15,0
3690.0,G03,+0.27038,+0.00000,+0.27038,0.1384,3,0
3690.0,G16,+0.03585,+0.00000,+0.03585,0.1132,15,0
3720.0,G03,+0.13754,+0.00000,+0.13754,0.1376,3,0
3720.0,G16,+0.02092,+0.00000,+0.02092,0.1123,16,0
3750.0,G03,+0.16133,+0.00000,+0.16133,0.1368,3,0
3750.0,G16,+0.01208,+0.00000,+0.01208,0.1114,17,0
3780.0,G03,+0.27450,+0.00000,+0.27450,0.1360,3,0
3780.0,G16,-0.01019,+0.00000,-0.01019,0.1106,17,0
3810.0,G03,+0.32186,+0.00000,+0.32186,0.1352,3,0
3810.0,G16,-0.03460,+0.00000,-0.03460,0.1097,17,0
3840.0,G03,+0.46534,+0.00000,+0.46534,0.1343,3,0
3840.0,G16,-0.02575,+0.00000,-0.02575,0.1089,18,0
3870.0,G03,+0.43810,+0.00000,+0.43810,0.1335,3,0
3870.0,G16,-0.00722,+0.00000,-0.00722,0.1080,19,0
3900.0,G03,+0.30801,+0.00000,+0.30801,0.1327,3,0
3900.0,G16,-0.00967,+0.00000,-0.00967,0.1072,20,0
3930.0,G03,+0.27180,+0.00000,+0.27180,0.1319,3,0
3930.0,G16,-0.03537,+0.00000,-0.03537,0.1064,20,0
3960.0,G03,+0.42056,+0.00000,+0.42056,0.1311,3,0
3960.0,G16,-0.04539,+0.00000,-0.04539,0.1055,21,0
3990.0,G03,+0.42488,+0.00000,+0.42488,0.1302,4,0
3990.0,G16,-0.05757,+0.00000,-0.05757,0.1047,22,0
4020.0,G03,-0.41937,+0.00000,-0.41937,0.1294,4,0
4020.0,G16,-0.05122,+0.00000,-0.05122,0.1039,23,0
4050.0,G03,-0.34660,+0.00000,-0.34660,0.1286,4,0
4050.0,G16,-0.04681,+0.00000,-0.04681,0.1031,24,0
4080.0,G03,-0.32604,+0.00000,-0.32604,0.1278,0,0
4080.0,G16,-0.05752,+0.00000,-0.05752,0.1023,25,0
4110.0,G03,-0.30902,+0.00000,-0.30902,0.1269,1,0
4110.0,G16,-0.07872,+0.00000,-0.07872,0.1015,25,0
4140.0,G03,-0.49592,+0.00000,-0.49592,0.1261,1,0
4140.0,G16,-0.12541,+0.00000,-0.12541,0.1007,25,0
4170.0,G03,+0.43895,+0.00000,+0.43895,0.1253,1,0
4170.0,G16,-0.15028,+0.00000,-0.15028,0.0999,25,0
4200.0,G03,+0.48711,+0.00000,+0.48711,0.1244,1,0
4200.0,G16,-0.15014,+0.00000,-0.15014,0.0991,26,0
4230.0,G03,+0.40256,+0.00000,+0.40256,0.1236,0,0
4230.0,G16,-0.16737,+0.00000,-0.16737,0.0984,27,0
4260.0,G03,+0.46105,+0.00000,+0.46105,0.1228,0,0
4260.0,G16,-0.18993,+0.00000,-0.18993,0.0976,27,0
4290.0,G03,-0.44608,+0.00000,-0.44608,0.1219,0,0
4290.0,G16,-0.20642,+0.00000,-0.20642,0.0968,28,0
4320.0,G03,-0.46400,+0.00000,-0.46400,0.1211,1,0
4320.0,G16,-0.21482,+0.00000,-0.21482,0.0961,29,0
4350.0,G03,+0.41453,+0.00000,+0.41453,0.1203,1,0
4350.0,G16,-0.21739,+0.00000,-0.21739,0.0954,30,0
4380.0,G03,+0.44114,+0.00000,+0.44114,0.1194,1,0
4380.0,G16,-0.20997,+0.00000,-0.20997,0.0946,31,0
4410.0,G03,+0.42827,+0.00000,+0.42827,0.1186,2,0
4410.0,G16,-0.20255,+0.00000,-0.20255,0.0939,32,0
4440.0,G03,+0.21088,+0.00000,+0.21088,0.1178,2,0
4440.0,G16,-0.23841,+0.00000,-0.23841,0.0932,32,0
4470.0,G03,+0.21181,+0.00000,+0.21181,0.1170,3,0
4470.0,G16,-0.26053,+0.00000,-0.26053,0.0924,32,0
4500.0,G03,+0.30782,+0.00000,+0.30782,0.1161,3,0
4500.0,G16,-0.25938,+0.00000,-0.25938,0.0917,33,0
4530.0,G03,+0.11217,+0.00000,+0.11217,0.1153,3,0
4530.0,G16,-0.26436,+0.00000,-0.26436,0.0910,34,0
4560.0,G03,-0.01454,+0.00000,-0.01454,0.1145,3,0
4560.0,G16,-0.29575,+0.00000,-0.29575,0.0903,34,0
4590.0,G03,+0.09960,+0.00000,+0.09960,0.1137,3,0
4590.0,G16,-0.31003,+0.00000,-0.31003,0.0896,35,0
4620.0,G03,+0.05994,+0.00000,+0.05994,0.1129,3,0
4620.0,G16,-0.32308,+0.00000,-0.32308,0.0890,36,0
4650.0,G03,+0.05919,+0.00000,+0.05919,0.1120,4,0
4650.0,G16,-0.32276,+0.00000,-0.32276,0.0883,37,0
4680.0,G03,+0.18517,+0.00000,+0.18517,0.1112,4,0
4680.0,G16,-0.31484,+0.00000,-0.31484,0.0876,38,0
4710.0,G03,+0.22561,+0.00000,+0.22561,0.1104,4,0
4710.0,G16,-0.32787,+0.00000,-0.32787,0.0869,39,0
4740.0,G03,+0.12440,+0.00000,+0.12440,0.1096,4,0
4740.0,G16,-0.36457,+0.00000,-0.36457,0.0863,39,0
4770.0,G03,+0.16049,+0.00000,+0.16049,0.1088,4,0
4770.0,G16,-0.38096,+0.00000,-0.38096,0.0856,40,0
4800.0,G03,+0.24772,+0.00000,+0.24772,0.1080,4,0
4800.0,G16,-0.39452,+0.00000,-0.39452,0.0850,41,0
4830.0,G03,+0.17388,+0.00000,+0.17388,0.1072,4,0
4830.0,G16,-0.44080,+0.00000,-0.44080,0.0843,41,0
