SOD,sat,event_type,corr_frac,sigma
1620.0,G03,SKIP_SIGMA,+0.1573,0.3151
1650.0,G03,SKIP_SIGMA,-0.2395,0.3090
1680.0,G03,SKIP_SIGMA,-0.3952,0.3031
53400.0,G05,SKIP_FRAC,+0.0318,0.0270
53430.0,G05,SKIP_FRAC,+0.0315,0.0269
53460.0,G05,SKIP_FRAC,+0.0315,0.0269
53490.0,G05,SKIP_FRAC,+0.0320,0.0269
53520.0,G05,SKIP_FRAC,+0.0326,0.0269
53550.0,G05,SKIP_FRAC,+0.0324,0.0269
53580.0,G05,SKIP_FRAC,+0.0321,0.0269
53610.0,G05,SKIP_FRAC,+0.0328,0.0268
55890.0,G15,SKIP_FRAC,-0.0203,0.0364
55920.0,G15,SKIP_FRAC,-0.0209,0.0363
55950.0,G15,SKIP_FRAC,-0.0247,0.0363
55980.0,G15,SKIP_FRAC,-0.0276,0.0362
56010.0,G15,SKIP_FRAC,-0.0277,0.0361
56040.0,G15,SKIP_FRAC,-0.0297,0.0361
56070.0,G15,SKIP_FRAC,-0.0324,0.0360
56100.0,G15,SKIP_FRAC,-0.0338,0.0360
56130.0,G15,SKIP_FRAC,-0.0379,0.0359
56160.0,G15,SKIP_FRAC,-0.0407,0.0359
56190.0,G15,SKIP_FRAC,-0.0408,0.0358
56220.0,G15,SKIP_FRAC,-0.0426,0.0358
56250.0,G15,SKIP_FRAC,-0.0466,0.0357
56280.0,G15,SKIP_FRAC,-0.0512,0.0356
56310.0,G15,SKIP_FRAC,-0.0568,0.0356
56340.0,G15,SKIP_FRAC,-0.0597,0.0355
56370.0,G15,SKIP_FRAC,-0.0612,0.0355
56400.0,G15,SKIP_FRAC,-0.0651,0.0354
56430.0,G15,SKIP_FRAC,-0.0767,0.0354
56460.0,G15,SKIP_FRAC,-0.0840,0.0353
56490.0,G15,SKIP_FRAC,-0.0851,0.0353
56520.0,G15,SKIP_FRAC,-0.0855,0.0352
56550.0,G15,SKIP_FRAC,-0.0883,0.0352
56580.0,G15,SKIP_FRAC,-0.0970,0.0351
56610.0,G15,SKIP_FRAC,-0.1056,0.0351
56640.0,G15,SKIP_FRAC,-0.1128,0.0350
56670.0,G15,SKIP_FRAC,-0.1174,0.0350
56700.0,G15,SKIP_FRAC,-0.1265,0.0349
56730.0,G15,SKIP_FRAC,-0.1320,0.0349
