SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
2910.0,G03,-0.22977,+0.00000,-0.22977,0.1072,12,0
2910.0,G16,+0.29145,+0.00000,+0.29145,0.0976,13,0
2940.0,G03,-0.21927,+0.00000,-0.21927,0.1066,13,0
2940.0,G16,+0.30318,+0.00000,+0.30318,0.0972,14,0
2970.0,G03,-0.20014,+0.00000,-0.20014,0.1060,14,0
2970.0,G16,+0.27975,+0.00000,+0.27975,0.0967,14,0
3000.0,G03,-0.22210,+0.00000,-0.22210,0.1054,14,0
3000.0,G16,+0.21417,+0.00000,+0.21417,0.0963,14,0
3030.0,G03,-0.27266,+0.00000,-0.27266,0.1048,14,0
3030.0,G16,+0.19111,+0.00000,+0.19111,0.0959,14,0
3060.0,G03,-0.27860,+0.00000,-0.27860,0.1042,15,0
3060.0,G16,+0.19210,+0.00000,+0.19210,0.0954,15,0
3090.0,G03,-0.23564,+0.00000,-0.23564,0.1037,15,0
3090.0,G16,+0.24126,+0.00000,+0.24126,0.0950,15,0
3120.0,G03,-0.18245,+0.00000,-0.18245,0.1033,15,0
3120.0,G16,+0.30072,+0.00000,+0.30072,0.0946,15,0
3150.0,G03,-0.13193,+0.00000,-0.13193,0.1028,15,0
3150.0,G16,+0.33412,+0.00000,+0.33412,0.0942,15,0
3180.0,G03,-0.13265,+0.00000,-0.13265,0.1021,16,0
3180.0,G16,+0.38557,+0.00000,+0.38557,0.0938,15,0
3210.0,G03,-0.11051,+0.00000,-0.11051,0.1016,16,0
3210.0,G16,+0.42866,+0.00000,+0.42866,0.0934,15,0
3240.0,G03,-0.11943,+0.00000,-0.11943,0.1011,17,0
3240.0,G16,+0.43474,+0.00000,+0.43474,0.0931,16,0
3270.0,G03,-0.11049,+0.00000,-0.11049,0.1007,18,0
3270.0,G16,+0.44361,+0.00000,+0.44361,0.0927,17,0
3300.0,G03,-0.15838,+0.00000,-0.15838,0.1001,18,0
3300.0,G16,+0.41953,+0.00000,+0.41953,0.0916,17,0
3330.0,G03,-0.14268,+0.00000,-0.14268,0.0996,19,0
3330.0,G16,+0.45414,+0.00000,+0.45414,0.0911,17,0
3360.0,G03,-0.06727,+0.00000,-0.06727,0.0990,19,0
3360.0,G16,+0.49289,+0.00000,+0.49289,0.0904,17,0
3390.0,G03,-0.01169,+0.00000,-0.01169,0.0984,19,0
3390.0,G16,-0.46955,+0.00000,-0.46955,0.0899,17,0
3420.0,G03,-0.00131,+0.00000,-0.00131,0.0980,20,0
3420.0,G16,+0.49975,+0.00000,+0.49975,0.0895,17,0
3450.0,G03,-0.01129,+0.00000,-0.01129,0.0976,21,0
3450.0,G16,+0.47501,+0.00000,+0.47501,0.0891,17,0
3480.0,G03,+0.01783,+0.00000,+0.01783,0.0972,21,0
3480.0,G16,+0.47457,+0.00000,+0.47457,0.0887,18,0
3510.0,G03,+0.00162,+0.00000,+0.00162,0.0968,22,0
3510.0,G16,+0.43234,+0.00000,+0.43234,0.0883,18,0
3540.0,G03,+0.01277,+0.00000,+0.01277,0.0965,23,0
3540.0,G16,+0.42109,+0.00000,+0.42109,0.0880,19,0
3570.0,G03,+0.07165,+0.00000,+0.07165,0.0961,23,0
3570.0,G16,+0.45057,+0.00000,+0.45057,0.0876,19,0
3600.0,G03,+0.06082,+0.00000,+0.06082,0.0955,24,0
3600.0,G16,+0.45860,+0.00000,+0.45860,0.0867,20,0
3630.0,G03,+0.04229,+0.00000,+0.04229,0.0951,25,0
3630.0,G16,+0.41309,+0.00000,+0.41309,0.0863,20,0
3660.0,G03,+0.05007,+0.00000,+0.05007,0.0947,26,0
3660.0,G16,+0.40486,+0.00000,+0.40486,0.0859,21,0
3690.0,G03,+0.01607,+0.00000,+0.01607,0.0944,26,0
3690.0,G16,+0.38297,+0.00000,+0.38297,0.0855,21,0
3720.0,G03,-0.01487,+0.00000,-0.01487,0.0941,26,0
3720.0,G16,+0.35993,+0.27143,+0.08850,0.0852,21,0
3750.0,G03,-0.11263,-0.14220,+0.02957,0.0932,26,0
3750.0,G16,+0.28495,+0.27143,+0.01352,0.0842,21,0
3780.0,G03,-0.07480,-0.14220,+0.06740,0.0929,26,0
3780.0,G16,+0.32310,+0.27143,+0.05167,0.0839,21,0
3810.0,G03,-0.10019,-0.14220,+0.04201,0.0925,26,0
3810.0,G16,+0.29372,+0.27143,+0.02229,0.0835,21,0
3840.0,G03,-0.10712,-0.12869,+0.02157,0.0922,27,0
3840.0,G16,+0.29371,+0.28840,+0.00531,0.0832,22,0
3870.0,G03,-0.09712,-0.11734,+0.02021,0.0919,28,0
3870.0,G16,+0.34270,+0.28840,+0.05431,0.0829,22,0
3900.0,G03,-0.07586,-0.11734,+0.04148,0.0915,28,0
3900.0,G16,+0.40213,+0.28840,+0.11374,0.0826,22,0
3930.0,G03,-0.03900,-0.11734,+0.07833,0.0912,28,0
3930.0,G16,+0.42351,+0.28840,+0.13511,0.0823,22,0
3960.0,G03,-0.06059,-0.11734,+0.05675,0.0909,28,0
3960.0,G16,+0.32521,+0.28840,+0.03681,0.0817,22,0
3990.0,G03,-0.05678,-0.10449,+0.04772,0.0906,29,0
3990.0,G16,+0.29128,+0.28840,+0.00288,0.0814,22,0
4020.0,G03,-0.11831,-0.10449,-0.01382,0.0900,29,0
4020.0,G16,+0.25325,+0.28840,-0.03515,0.0807,22,0
4050.0,G03,-0.05940,-0.10449,+0.04509,0.0896,29,0
4050.0,G16,+0.31558,+0.28840,+0.02718,0.0800,22,0
4080.0,G03,-0.04256,-0.09186,+0.04930,0.0891,30,0
4080.0,G16,+0.32649,+0.30472,+0.02177,0.0797,23,0
4110.0,G03,-0.03405,-0.07979,+0.04574,0.0888,31,0
4110.0,G16,+0.33721,+0.32024,+0.01697,0.0794,24,0
4140.0,G03,-0.05474,-0.07979,+0.02505,0.0884,31,0
4140.0,G16,+0.29572,+0.32024,-0.02452,0.0791,24,0
4170.0,G03,-0.06272,-0.06985,+0.00713,0.0881,32,0
4170.0,G16,+0.28466,+0.32456,-0.03990,0.0788,25,0
