SOD,ISB_E_m,P_ISB_m2,NL_count,isb_reinitialized
9540.0,+1.771816,0.005522,0,0
9600.0,+1.774317,0.005511,0,0
9660.0,+1.781027,0.005501,0,0
9720.0,+1.779094,0.005491,0,0
9780.0,+1.784088,0.005480,0,0
9840.0,+1.788418,0.005409,0,0
9900.0,+1.785231,0.005390,0,0
9960.0,+1.785362,0.005364,0,0
10020.0,+1.792617,0.005331,0,0
10080.0,+1.788212,0.005313,0,0
10140.0,+1.784312,0.005134,0,0
10200.0,+1.784104,0.005090,0,0
10260.0,+1.782028,0.005057,0,0
10320.0,+1.777982,0.005029,0,0
10380.0,+1.780971,0.005019,0,0
10440.0,+1.780806,0.005015,0,0
10500.0,+1.782389,0.005014,0,0
10560.0,+1.784876,0.004987,0,0
10620.0,+1.789516,0.004977,0,0
10680.0,+1.790288,0.004972,0,0
10740.0,+1.795942,0.004964,0,0
10800.0,+1.796658,0.004960,0,0
10860.0,+1.797396,0.004950,0,0
10920.0,+1.796068,0.004935,0,0
10980.0,+1.796222,0.004899,0,0
11040.0,+1.795153,0.004867,0,0
11100.0,+1.793597,0.004855,0,0
11160.0,+1.790577,0.004832,0,0
11220.0,+1.794030,0.004825,0,0
11280.0,+1.792687,0.004823,0,0
11340.0,+1.791014,0.004829,0,0
11400.0,+1.791213,0.004828,0,0
11460.0,+1.793228,0.004828,0,0
11520.0,+1.793353,0.004825,0,0
11580.0,+1.794737,0.004813,0,0
11640.0,+1.793109,0.004815,0,0
11700.0,+1.790682,0.004818,0,0
11760.0,+1.793873,0.004793,0,0
11820.0,+1.793513,0.004778,0,0
11880.0,+1.793746,0.004771,0,0
11940.0,+1.796748,0.004769,0,0
12000.0,+1.795714,0.004763,0,0
12060.0,+1.800596,0.004766,0,0
12120.0,+1.800589,0.004769,0,0
12180.0,+1.808390,0.004751,0,0
12240.0,+1.803681,0.004769,0,0
12300.0,+1.803076,0.004788,0,0
12360.0,+1.800519,0.004808,0,0
12420.0,+1.799717,0.004827,0,0
12480.0,+1.796253,0.004846,0,0
12540.0,+1.797670,0.004850,0,0
12600.0,+1.801638,0.004851,0,0
12660.0,+1.802521,0.004854,0,0
12720.0,+1.803774,0.004850,0,0
12780.0,+1.800843,0.004852,0,0
12840.0,+1.800656,0.004765,0,0
